Setup title,"2-terminal dual Vsweep"
Application test name,"2-terminal dual Vsweep"
Test date,1/25/2023
Test time,17:41:53
Device ID,
Count,1
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,1,0.01,-1,0.01,MEDIUM,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
-0.45,-2.099E-11
-0.46,-2.696E-11
-0.47,-2.054E-11
-0.48,-2.628E-11
-0.49,-2.098E-11
-0.5,-2.637E-11
-0.51,-2.15E-11
-0.52,-2.783E-11
-0.53,-2.204E-11
-0.54,-2.88E-11
-0.55,-2.207E-11
-0.56,-2.961E-11
-0.57,-2.36E-11
-0.58,-2.872E-11
-0.59,-2.217E-11
-0.6,-2.809E-11
-0.61,-2.303E-11
-0.62,-2.826E-11
-0.63,-2.259E-11
-0.64,-2.847E-11
-0.65,-2.355E-11
-0.66,-2.831E-11
-0.67,-2.482E-11
-0.68,-2.825E-11
-0.69,-2.395E-11
-0.7,-2.747E-11
-0.71,-2.337E-11
-0.72,-2.87E-11
-0.73,-2.246E-11
-0.74,-2.753E-11
-0.75,-2.336E-11
-0.76,-2.609E-11
-0.77,-2.291E-11
-0.78,-2.789E-11
-0.79,-2.346E-11
-0.8,-2.777E-11
-0.81,-2.326E-11
-0.82,-2.8E-11
-0.83,-2.348E-11
-0.84,-2.828E-11
-0.85,-2.297E-11
-0.86,-2.784E-11
-0.87,-2.36E-11
-0.88,-2.912E-11
-0.89,-2.41E-11
-0.9,-2.915E-11
-0.91,-2.445E-11
-0.92,-2.899E-11
-0.93,-2.543E-11
-0.94,-3.128E-11
-0.95,-2.677E-11
-0.96,-3.003E-11
-0.97,-2.795E-11
-0.98,-3.328E-11
-0.99,-2.801E-11
-1,-3.343E-11
-0.99,-2.198E-11
-0.98,-2.199E-11
-0.97,-1.486E-11
-0.96,-1.285E-11
-0.95,-5.05E-12
-0.94,-7.85E-12
-0.93,6.5E-13
-0.92,-7.8E-13
-0.91,6.26E-12
-0.9,1.09E-12
-0.89,7.55E-12
-0.88,4.79E-12
-0.87,9.33E-12
-0.86,5.17E-12
-0.85,1.054E-11
-0.84,5.75E-12
-0.83,1.181E-11
-0.82,6.5E-12
-0.81,1.156E-11
-0.8,7.38E-12
-0.79,1.251E-11
-0.78,7.63E-12
-0.77,1.309E-11
-0.76,9.76E-12
-0.75,1.338E-11
-0.74,9.59E-12
-0.73,1.443E-11
-0.72,1.114E-11
-0.71,1.659E-11
-0.7,1.304E-11
-0.69,1.804E-11
-0.68,1.275E-11
-0.67,1.721E-11
-0.66,1.334E-11
-0.65,1.75E-11
-0.64,1.615E-11
-0.63,2.045E-11
-0.62,1.586E-11
-0.61,1.866E-11
-0.6,1.645E-11
-0.59,2.045E-11
-0.58,1.724E-11
-0.57,2.22E-11
-0.56,1.739E-11
-0.55,2.208E-11
-0.54,1.809E-11
-0.53,2.278E-11
-0.52,1.865E-11
-0.51,2.338E-11
-0.5,1.949E-11
-0.49,2.458E-11
-0.48,1.993E-11
-0.47,2.645E-11
-0.46,2.15E-11
-0.45,2.69E-11
-0.44,2.407E-11
-0.43,2.709E-11
-0.42,2.409E-11
-0.41,2.811E-11
-0.4,2.613E-11
-0.39,3.065E-11
-0.38,2.642E-11
-0.37,3.16E-11
-0.36,2.929E-11
-0.35,3.272E-11
-0.34,3.016E-11
-0.33,3.437E-11
-0.32,3.103E-11
-0.31,3.537E-11
-0.3,3.261E-11
-0.29,3.59E-11
-0.28,3.34E-11
-0.27,3.933E-11
-0.26,3.62E-11
-0.25,4.002E-11
-0.24,3.726E-11
-0.23,4.268E-11
-0.22,3.936E-11
-0.21,4.406E-11
-0.2,4.036E-11
-0.19,4.556E-11
-0.18,4.228E-11
-0.17,4.881E-11
-0.16,4.634E-11
-0.15,4.954E-11
-0.14,4.691E-11
-0.13,5.295E-11
-0.12,5.099E-11
-0.11,5.626E-11
-0.1,5.325E-11
-0.09,5.817E-11
-0.08,5.644E-11
-0.07,6.199E-11
-0.06,6.018E-11
-0.05,6.555E-11
-0.04,6.364E-11
-0.03,6.848E-11
-0.02,6.627E-11
-0.01,7.099E-11
0,7.11E-11
