V1,I1
0,9E-14
0.007,1.0961E-10
0.014,2.3671E-10
0.021,3.8556E-10
0.028,5.5664E-10
0.035,7.5868E-10
0.042,9.9615E-10
0.049,1.27704E-09
0.056,1.60639E-09
0.063,1.99192E-09
0.07,2.45104E-09
0.077,2.99417E-09
0.084,3.6379E-09
0.091,4.39998E-09
0.098,5.30395E-09
0.105,6.36186E-09
0.112,7.63244E-09
0.119,9.142E-09
0.126,1.09284E-08
0.133,1.30513E-08
0.14,1.55466E-08
0.147,1.85367E-08
0.154,2.20765E-08
0.161,2.62862E-08
0.168,3.12931E-08
0.175,3.72462E-08
0.182,4.4236E-08
0.189,5.26385E-08
0.196,6.26297E-08
0.203,7.45234E-08
0.21,8.86801E-08
0.217,1.053627E-07
0.224,1.25474E-07
0.231,1.49477E-07
0.238,1.7812E-07
0.245,2.1244E-07
0.252,2.53567E-07
0.259,3.02239E-07
0.266,3.61289E-07
0.273,4.3224E-07
0.28,5.17638E-07
0.287,6.20487E-07
0.294,7.43076E-07
0.301,8.92622E-07
0.308,1.07323E-06
0.315,1.29214E-06
0.322,1.55617E-06
0.329,1.87609E-06
0.336,2.26306E-06
0.343,2.73239E-06
0.35,3.29386E-06
0.357,3.98004E-06
0.364,4.8101E-06
0.371,5.81399E-06
0.378,7.02566E-06
0.385,8.48533E-06
0.392,1.023754E-05
0.399,1.2341E-05
0.406,1.48604E-05
0.413,1.78616E-05
0.42,2.13922E-05
0.427,2.56138E-05
0.434,3.06001E-05
0.441,3.64559E-05
0.448,4.33169E-05
0.455,5.13196E-05
0.462,6.06127E-05
0.469,7.13189E-05
0.476,8.36946E-05
0.483,9.78987E-05
0.49,0.000113923
0.497,0.000132473
0.504,0.000153419
0.511,0.00017712
0.518,0.000203821
0.525,0.000233857
0.532,0.000267529
0.539,0.000305099
0.546,0.000346846
0.553,0.000392726
0.56,0.000443972
0.567,0.000500381
0.574,0.000562382
0.581,0.000630191
0.588,0.000704023
0.595,0.000784158
0.602,0.000870839
0.609,0.000964272
0.616,0.001064391
0.623,0.00117
0.63,0.00128393
0.637,0.00140481
0.644,0.00153234
0.651,0.00166662
0.658,0.00180745
0.665,0.00195311
0.672,0.00210674
0.679,0.00226653
0.686,0.00243249
0.693,0.0026038
0.7,0.00278041
