V1,I1
0,1.8E-13
0.007,1.117E-10
0.014,2.4119E-10
0.021,3.9242E-10
0.028,5.6685E-10
0.035,7.7313E-10
0.042,1.01452E-09
0.049,1.29942E-09
0.056,1.63464E-09
0.063,2.02491E-09
0.07,2.49078E-09
0.077,3.04081E-09
0.084,3.69131E-09
0.091,4.46223E-09
0.098,5.37632E-09
0.105,6.44562E-09
0.112,7.72687E-09
0.119,9.2482E-09
0.126,1.10522E-08
0.133,1.31927E-08
0.14,1.57081E-08
0.147,1.8724E-08
0.154,2.22948E-08
0.161,2.65432E-08
0.168,3.15996E-08
0.175,3.76108E-08
0.182,4.46654E-08
0.189,5.31484E-08
0.196,6.32424E-08
0.203,7.5267E-08
0.21,8.95833E-08
0.217,1.064666E-07
0.224,1.26818E-07
0.231,1.51114E-07
0.238,1.80137E-07
0.245,2.14913E-07
0.252,2.56605E-07
0.259,3.05956E-07
0.266,3.65871E-07
0.273,4.37886E-07
0.28,5.24593E-07
0.287,6.29084E-07
0.294,7.53753E-07
0.301,9.05781E-07
0.308,1.089584E-06
0.315,1.31249E-06
0.322,1.58134E-06
0.329,1.90725E-06
0.336,2.30143E-06
0.343,2.77975E-06
0.35,3.35211E-06
0.357,4.05191E-06
0.364,4.89805E-06
0.371,5.92155E-06
0.378,7.15696E-06
0.385,8.64456E-06
0.392,1.042971E-05
0.399,1.25726E-05
0.406,1.51365E-05
0.413,1.81879E-05
0.42,2.1775E-05
0.427,2.60586E-05
0.434,3.11099E-05
0.441,3.70356E-05
0.448,4.39666E-05
0.455,5.20351E-05
0.462,6.13878E-05
0.469,7.21339E-05
0.476,8.45273E-05
0.483,9.8723E-05
0.49,0.0001146945
0.497,0.000133118
0.504,0.000153857
0.511,0.000177253
0.518,0.000203497
0.525,0.000232901
0.532,0.000265709
0.539,0.000302158
0.546,0.000342478
0.553,0.00038654
0.56,0.00043552
0.567,0.000489127
0.574,0.000547681
0.581,0.00061132
0.588,0.000680217
0.595,0.000754558
0.602,0.00083446
0.609,0.00092004
0.616,0.00101126
0.623,0.001106982
0.63,0.00120952
0.637,0.00131776
0.644,0.00143138
0.651,0.00155062
0.658,0.00167509
0.665,0.00180324
0.672,0.0019379
0.679,0.00207739
0.686,0.00222169
0.693,0.00237013
0.7,0.00252311
0.7,0.00252291
0.693,0.00237008
0.686,0.00222145
0.679,0.00207721
0.672,0.00193769
0.665,0.00180306
0.658,0.00167461
0.651,0.0015501
0.644,0.00143089
0.637,0.0013171
0.63,0.00120891
0.623,0.00110633
0.616,0.00101044
0.609,0.000919267
0.602,0.000833715
0.595,0.000753775
0.588,0.000679412
0.581,0.000610514
0.574,0.000546879
0.567,0.000488348
0.56,0.000434759
0.553,0.00038578
0.546,0.000341746
0.539,0.000301449
0.532,0.000265021
0.525,0.000232245
0.518,0.000202884
0.511,0.000176676
0.504,0.00015332
0.497,0.000132606
0.49,0.000114303
0.483,9.82888E-05
0.476,8.41268E-05
0.469,7.17674E-05
0.462,6.10541E-05
0.455,5.17307E-05
0.448,4.36899E-05
0.441,3.67848E-05
0.434,3.08862E-05
0.427,2.58582E-05
0.42,2.15969E-05
0.413,1.80316E-05
0.406,1.50004E-05
0.399,1.24537E-05
0.392,1.03259E-05
0.385,8.55592E-06
0.378,7.08052E-06
0.371,5.85665E-06
0.364,4.84307E-06
0.357,4.00521E-06
0.35,3.31264E-06
0.343,2.74663E-06
0.336,2.27356E-06
0.329,1.88388E-06
0.322,1.56176E-06
0.315,1.29612E-06
0.308,1.07708E-06
0.301,8.94482E-07
0.294,7.4441E-07
0.287,6.21333E-07
0.28,5.18162E-07
0.273,4.32557E-07
0.266,3.61429E-07
0.259,3.02261E-07
0.252,2.53534E-07
0.245,2.12359E-07
0.238,1.78009E-07
0.231,1.49348E-07
0.224,1.25342E-07
0.217,1.05223E-07
0.21,8.85532E-08
0.203,7.44115E-08
0.196,6.25295E-08
0.189,5.25559E-08
0.182,4.4172E-08
0.175,3.71996E-08
0.168,3.12614E-08
0.161,2.62678E-08
0.154,2.20697E-08
0.147,1.85427E-08
0.14,1.55607E-08
0.133,1.30741E-08
0.126,1.09575E-08
0.119,9.1716E-09
0.112,7.66547E-09
0.105,6.39674E-09
0.098,5.33732E-09
0.091,4.4313E-09
0.084,3.66638E-09
0.077,3.02081E-09
0.07,2.47448E-09
0.063,2.01181E-09
0.056,1.62328E-09
0.049,1.2906E-09
0.042,1.00764E-09
0.035,7.6702E-10
0.028,5.6153E-10
0.021,3.8846E-10
0.014,2.3832E-10
0.007,1.097E-10
0,-8E-13
