Setup title,"2-terminal dual Vsweep"
Application test name,"2-terminal dual Vsweep"
Test date,2/1/2023
Test time,17:01:13
Device ID,
Count,2
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,1,0.01,-1,0.01,MEDIUM,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
-0.54,1.77E-12
-0.55,-2.01E-12
-0.56,3.8E-13
-0.57,-1.63E-12
-0.58,1.16E-12
-0.59,-1.35E-12
-0.6,8E-13
-0.61,-2.65E-12
-0.62,7E-13
-0.63,-2.45E-12
-0.64,1.53E-12
-0.65,-1.51E-12
-0.66,2.1E-13
-0.67,-2.79E-12
-0.68,-8.5E-13
-0.69,-3.02E-12
-0.7,2.5E-13
-0.71,-3.57E-12
-0.72,-4E-13
-0.73,-3.78E-12
-0.74,-6.3E-13
-0.75,-4.43E-12
-0.76,-1.51E-12
-0.77,-4.51E-12
-0.78,-2.36E-12
-0.79,-3.71E-12
-0.8,-1.74E-12
-0.81,-5.57E-12
-0.82,-1.72E-12
-0.83,-5.6E-12
-0.84,-4.45E-12
-0.85,-6.76E-12
-0.86,-4.53E-12
-0.87,-7.45E-12
-0.88,-4.32E-12
-0.89,-7.4E-12
-0.9,-4.96E-12
-0.91,-1.021E-11
-0.92,-7.15E-12
-0.93,-1.018E-11
-0.94,-7.34E-12
-0.95,-1.183E-11
-0.96,-9.79E-12
-0.97,-1.216E-11
-0.98,-9.8E-12
-0.99,-1.306E-11
-1,-1.031E-11
-0.99,-1.23E-11
-0.98,-8.19E-12
-0.97,-8.72E-12
-0.96,-4.6E-12
-0.95,-4.69E-12
-0.94,6.3E-13
-0.93,1.4E-12
-0.92,9.09E-12
-0.91,9.07E-12
-0.9,1.42E-11
-0.89,1.276E-11
-0.88,1.766E-11
-0.87,1.638E-11
-0.86,1.72E-11
-0.85,1.378E-11
-0.84,1.53E-11
-0.83,1.042E-11
-0.82,1.07E-11
-0.81,5.86E-12
-0.8,7.44E-12
-0.79,4.25E-12
-0.78,5.76E-12
-0.77,2.67E-12
-0.76,4.72E-12
