V1,I1
0,-6E-14
0.01,-2E-14
0.02,-1.7E-13
0.03,-2.4E-13
0.04,1.5E-13
0.05,-2E-13
0.06,-2E-14
0.07,3E-14
0.08,-3E-14
0.09,-2.8E-13
0.1,-1.4E-13
0.11,1.7E-13
0.12,-2.1E-13
0.13,1.2E-13
0.14,-1.3E-13
0.15,3E-14
0.16,-2.8E-13
0.17,-3E-14
0.18,1E-13
0.19,4E-14
0.2,-2.6E-13
0.21,-2.1E-13
0.22,1.8E-13
0.23,-9E-14
0.24,-5E-14
0.25,1.3E-13
0.26,-4E-14
0.27,-2.5E-13
0.28,-2.1E-13
0.29,1E-14
0.3,-2.4E-13
0.31,-1E-13
0.32,-9E-14
0.33,-6E-14
0.34,-1E-13
0.35,-4E-14
0.36,-3E-14
0.37,-2.5E-13
0.38,-1.9E-13
0.39,8E-14
0.4,2.7E-13
0.41,-1.9E-13
0.42,-1E-13
0.43,3E-14
0.44,-1.6E-13
0.45,-3E-14
0.46,-6E-14
0.47,-1E-13
0.48,-1.8E-13
0.49,-6E-14
0.5,-4E-14
0.51,2.1E-13
0.52,-1.4E-13
0.53,-8E-14
0.54,-3E-14
0.55,-1.4E-13
0.56,-1.5E-13
0.57,0
0.58,-4E-14
0.59,-1.4E-13
0.6,-1.8E-13
0.61,4E-14
0.62,-1.1E-13
0.63,-1.9E-13
0.64,-9E-14
0.65,8E-14
0.66,2.3E-13
0.67,-2.3E-13
0.68,3E-14
0.69,-5E-14
0.7,-4E-14
0.71,-2E-14
0.72,-1.1E-13
0.73,-5E-14
0.74,-1.9E-13
0.75,-1.2E-13
0.76,-3E-14
0.77,4E-14
0.78,-1.8E-13
0.79,-1.8E-13
0.8,3E-14
0.81,2E-14
0.82,-1.5E-13
0.83,-4E-14
0.84,-1E-14
0.85,-1.4E-13
0.86,-1E-13
0.87,0
0.88,7E-14
0.89,-1.8E-13
0.9,-5E-14
0.91,-2E-14
0.92,0
0.93,-1.1E-13
0.94,-1.6E-13
0.95,7E-14
0.96,-1E-13
0.97,-2.4E-13
0.98,-1.8E-13
0.99,1.8E-13
1,-9E-14
1,-4E-14
0.99,-2.1E-13
0.98,-2.5E-13
0.97,-4E-14
0.96,-2.6E-13
0.95,-3E-13
0.94,-3.2E-13
0.93,-1.7E-13
0.92,1.4E-13
0.91,5E-14
0.9,3E-14
0.89,-1.2E-13
0.88,-3E-14
0.87,-1.4E-13
0.86,-2.1E-13
0.85,-1.8E-13
0.84,-1.7E-13
0.83,-2.4E-13
0.82,-4E-14
0.81,-1E-14
0.8,1.2E-13
0.79,-1.3E-13
0.78,-9E-14
0.77,-2E-14
0.76,-4.1E-13
0.75,-1.9E-13
0.74,1.1E-13
0.73,-2.5E-13
0.72,-2.3E-13
0.71,-5E-14
0.7,-5E-14
0.69,-1.7E-13
0.68,-7E-14
0.67,-1.2E-13
0.66,-1.6E-13
0.65,-1.6E-13
0.64,-1.1E-13
0.63,2E-14
0.62,-1.5E-13
0.61,-7E-14
0.6,-7E-14
0.59,-2.9E-13
0.58,-2.8E-13
0.57,-6E-14
0.56,-1.2E-13
0.55,1E-14
0.54,-2.7E-13
0.53,-1.8E-13
0.52,1E-14
0.51,-9E-14
0.5,-1.3E-13
0.49,-1.9E-13
0.48,0
0.47,-2.2E-13
0.46,-2.6E-13
0.45,-1.7E-13
0.44,-1.6E-13
0.43,-2.1E-13
0.42,-1E-14
0.41,-3.4E-13
0.4,-8E-14
0.39,-1.3E-13
0.38,3E-14
0.37,-2.3E-13
0.36,-5E-14
0.35,-1.6E-13
0.34,-2.2E-13
0.33,-1.7E-13
0.32,-1.2E-13
0.31,1.1E-13
0.3,-2.3E-13
0.29,-1.2E-13
0.28,-7E-14
0.27,1.4E-13
0.26,-2.1E-13
0.25,-1.4E-13
0.24,-9E-14
0.23,-3.3E-13
0.22,-1.3E-13
0.21,-5E-14
0.2,7E-14
0.19,-1.1E-13
0.18,-2.9E-13
0.17,-2.3E-13
0.16,1.3E-13
0.15,-1.1E-13
0.14,-1.6E-13
0.13,-1.6E-13
0.12,-7E-14
0.11,-1.2E-13
0.1,-1E-13
0.09,-7E-14
0.08,-1.7E-13
0.07,-1E-13
0.06,-1.6E-13
0.05,-1E-13
0.04,-1.7E-13
0.03,-2.5E-13
0.02,-1E-13
0.01,-1E-14
0,-7E-14
