Setup title,I_V_Dark_0-2
0.94,-8.1E-12
0.95,-2.9E-12
0.96,2.3E-12
0.97,5.3E-12
0.98,4.2E-12
0.99,2.1E-12
1,-3.3E-12
1.01,-6.7E-12
1.02,-7.3E-12
1.03,-6.9E-12
1.04,-6.1E-12
1.05,3.6E-12
1.06,4.2E-12
1.07,4.2E-12
1.08,3.5E-12
1.09,-5.6E-12
1.1,-7.3E-12
1.11,-7.8E-12
1.12,-7.5E-12
1.13,-6.9E-12
1.14,-2.6E-12
1.15,2.6E-12
1.16,3.1E-12
1.17,5.6E-12
1.18,2.6E-12
1.19,2.9E-12
1.2,3.1E-12
1.21,5.5E-12
1.22,-6.2E-12
1.23,-7.8E-12
1.24,-8.4E-12
1.25,-4.7E-12
1.26,3E-12
1.27,3.2E-12
1.28,5.3E-12
1.29,2.5E-12
1.3,-5.6E-12
1.31,-8E-12
1.32,-7.3E-12
1.33,-6.1E-12
1.34,2.8E-12
1.35,4.2E-12
1.36,4.8E-12
1.37,3.6E-12
1.38,-4.7E-12
1.39,-6E-12
1.4,-7.3E-12
1.41,-7.7E-12
1.42,3.7E-12
1.43,4.1E-12
1.44,4.1E-12
1.45,5.6E-12
1.46,-3E-12
1.47,-7.5E-12
1.48,-8.6E-12
1.49,-7.9E-12
1.5,1.8E-12
1.51,3.9E-12
1.52,5E-12
1.53,5.7E-12
1.54,-5E-13
1.55,-7E-12
1.56,-7.4E-12
1.57,-7.1E-12
1.58,-1.9E-12
1.59,4.5E-12
1.6,4.3E-12
1.61,5E-12
1.62,4.3E-12
1.63,-5.8E-12
1.64,-7.7E-12
1.65,-7.3E-12
1.66,-8.1E-12
1.67,3.9E-12
1.68,4.5E-12
1.69,3.9E-12
1.7,5.3E-12
1.71,-8.2E-12
1.72,-5.5E-12
1.73,-6.4E-12
1.74,-7.8E-12
1.75,4.6E-12
1.76,4.9E-12
1.77,2.6E-12
1.78,4.2E-12
1.79,-6.2E-12
1.8,-6.5E-12
1.81,-8.8E-12
1.82,-7.2E-12
1.83,3.7E-12
1.84,4.4E-12
1.85,2.6E-12
1.86,3.7E-12
1.87,0
1.88,-6.1E-12
1.89,-7.6E-12
1.9,-6.9E-12
1.91,-7.7E-12
1.92,-8.5E-12
1.93,-6.4E-12
1.94,5E-13
1.95,3.2E-12
1.96,3.5E-12
1.97,1.8E-12
1.98,2.7E-12
1.99,2.4E-12
2,-2.2E-12
2,5E-12
1.99,4.1E-12
1.98,-3E-12
1.97,-5.5E-12
1.96,-7.1E-12
1.95,-8.6E-12
1.94,-7.5E-12
1.93,-8E-12
1.92,-4E-13
1.91,3.8E-12
1.9,5.1E-12
1.89,5.3E-12
1.88,3.6E-12
1.87,-3.5E-12
1.86,-7E-12
1.85,-7.7E-12
1.84,-5.9E-12
1.83,2.9E-12
1.82,3.8E-12
1.81,4.5E-12
1.8,1.7E-12
1.79,-6E-12
1.78,-8.6E-12
1.77,-7.8E-12
1.76,-3.7E-12
1.75,3.2E-12
1.74,-2.5E-12
1.73,2.9E-12
1.72,4.3E-12
1.71,-6E-12
1.7,-8.5E-12
1.69,-8.8E-12
1.68,0
1.67,3.9E-12
1.66,-1E-12
1.65,3.1E-12
1.64,4.1E-12
1.63,3.5E-12
1.62,3.6E-12
1.61,-3.6E-12
1.6,-7.1E-12
1.59,-7.3E-12
1.58,-9E-12
1.57,-7.5E-12
1.56,-7.6E-12
1.55,-8.6E-12
1.54,-4.3E-12
1.53,3.1E-12
1.52,4E-12
1.51,5.6E-12
1.5,-1E-12
1.49,-7.2E-12
1.48,-7.3E-12
1.47,-7.6E-12
1.46,-1.8E-12
1.45,4.1E-12
1.44,-1E-13
1.43,3.2E-12
1.42,3.5E-12
1.41,-5E-12
1.4,-7.7E-12
1.39,-6.9E-12
1.38,-9E-13
1.37,3.6E-12
1.36,5.4E-12
1.35,5.7E-12
1.34,1.6E-12
1.33,-3.7E-12
1.32,-7.2E-12
1.31,-7.3E-12
1.3,-9.2E-12
1.29,-6.8E-12
1.28,-1.7E-12
1.27,2.3E-12
1.26,3.6E-12
1.25,3.6E-12
1.24,-8.9E-12
1.23,-5.4E-12
1.22,-7.3E-12
1.21,-8E-12
1.2,1.6E-12
1.19,3.4E-12
1.18,4.1E-12
1.17,4.3E-12
1.16,3.9E-12
1.15,4.3E-12
1.14,-6E-13
1.13,-5.9E-12
1.12,-8.2E-12
1.11,-8.4E-12
1.1,-7.6E-12
1.09,-9.3E-12
1.08,-1E-11
1.07,-3.4E-12
1.06,2.4E-12
1.05,2.7E-12
1.04,3.4E-12
1.03,4.7E-12
1.02,-6.4E-12
1.01,-8.7E-12
1,-8.5E-12
0.99,-8.7E-12
0.98,3.8E-12
0.97,2E-12
0.96,3.1E-12
0.95,3.7E-12
0.94,-9.4E-12
0.93,-6.7E-12
0.92,-7.6E-12
0.91,-9.2E-12
0.9,3.6E-12
0.89,1.5E-12
0.88,3.2E-12
0.87,3.3E-12
0.86,-1.02E-11
0.85,-6.9E-12
0.84,-8.3E-12
0.83,-8.3E-12
0.82,2.8E-12
0.81,3.2E-12
0.8,1.7E-12
0.79,2.4E-12
0.78,-8.2E-12
0.77,-1.01E-11
0.76,-6.9E-12
0.75,-8.8E-12
0.74,3.6E-12
0.73,3E-12
0.72,-3E-13
0.71,3.4E-12
0.7,2.6E-12
0.69,2E-13
0.68,-4.3E-12
0.67,-8E-12
0.66,-9.7E-12
0.65,-9.8E-12
0.64,-7.6E-12
0.63,-8.7E-12
0.62,-8.9E-12
0.61,-9.3E-12
0.6,1.4E-12
0.59,2.6E-12
0.58,3.4E-12
0.57,4E-12
0.56,-5.2E-12
0.55,-8.8E-12
0.54,-9.2E-12
0.53,-9.8E-12
0.52,-2.6E-12
0.51,2.1E-12
0.5,2.7E-12
0.49,3.8E-12
0.48,2.5E-12
0.47,-8.2E-12
0.46,-8.2E-12
0.45,-9.1E-12
0.44,-7E-12
0.43,2.4E-12
0.42,3.6E-12
0.41,3.3E-12
0.4,3.7E-12
0.39,-6.8E-12
0.38,-7.1E-12
0.37,-8.8E-12
0.36,-9.3E-12
0.35,1E-13
0.34,3.4E-12
0.33,3.6E-12
0.32,3.5E-12
0.31,-9.5E-12
0.3,-5.9E-12
0.29,-9.2E-12
0.28,-8.5E-12
0.27,2.3E-12
0.26,3E-13
0.25,1.9E-12
0.24,2.9E-12
0.23,-9.2E-12
0.22,-2.2E-12
0.21,-6.1E-12
0.2,-8.7E-12
0.19,2E-12
0.18,2.3E-12
0.17,3.2E-12
0.16,7E-13
0.15,-9.1E-12
0.14,-9.3E-12
0.13,-7.1E-12
0.12,-2.3E-12
0.11,3.6E-12
0.1,-2.1E-12
0.09,2E-12
0.08,2.9E-12
0.07,-7.5E-12
0.06,-7.6E-12
0.05,-8.5E-12
0.04,-6.7E-12
0.03,-8.5E-12
0.02,-8.2E-12
0.01,-8.2E-12
0,-8.6E-12
