Setup title,"2-terminal dual Vsweep_long_dark_-2-2V"
Application test name,"2-terminal dual Vsweep"
Test date,2/1/2023
Test time,17:14:24
Device ID,
Count,1
Flags,
Remarks,
Name,Port1,Port2,Vstart,Vstop1,Vstep1,Vstop2,Vstep2,IntegTime,HoldTime,DelayTime,Compliance,MinRange
Value,"SMU4:HR	HRSMU","SMU3:HR	HRSMU",0,2,0.01,-2,0.01,LONG,0,0,0.0005,1nA
Name,Temp
Value,0
V1,I1
1.15,-1.6E-13
1.14,-1.8E-13
1.13,-1.8E-13
1.12,-1E-13
1.11,-1.8E-13
1.1,-2.1E-13
1.09,-1.5E-13
1.08,-2.1E-13
1.07,-2E-14
1.06,-1.2E-13
1.05,-3.1E-13
1.04,-2E-14
1.03,-2.6E-13
1.02,1E-13
1.01,-2E-14
1,-1.4E-13
0.99,-2E-14
0.98,5E-14
0.97,3E-14
0.96,-1.5E-13
0.95,-1.4E-13
0.94,-3E-14
0.93,-1.2E-13
0.92,-1.8E-13
0.91,-8E-14
0.9,-3E-14
0.89,-1.3E-13
0.88,-1.9E-13
0.87,-3E-14
0.86,-2E-13
0.85,-1.6E-13
0.84,-2E-14
0.83,-1.5E-13
0.82,1E-14
0.81,-7E-14
0.8,-1.1E-13
0.79,-1.8E-13
0.78,-1.7E-13
0.77,-3E-14
0.76,-6E-14
0.75,-1.8E-13
0.74,-2E-13
0.73,9E-14
0.72,-2.5E-13
0.71,-1.3E-13
0.7,-4E-14
0.69,-1.6E-13
0.68,-1.5E-13
0.67,-1.5E-13
0.66,-1.2E-13
0.65,8E-14
0.64,-1E-13
0.63,-1.7E-13
0.62,-6E-14
0.61,-1.4E-13
0.6,-1.6E-13
0.59,-9E-14
0.58,-1E-13
0.57,-2.1E-13
0.56,-2.2E-13
0.55,-1.1E-13
0.54,-7E-14
0.53,-2.3E-13
0.52,-8E-14
0.51,-6E-14
0.5,-1.3E-13
0.49,-1.3E-13
0.48,-6E-14
0.47,-3.1E-13
0.46,-1.7E-13
0.45,-4E-14
0.44,-1E-14
0.43,-1.8E-13
0.42,-7E-14
0.41,-1.7E-13
0.4,-3E-14
0.39,-1.3E-13
0.38,-2.7E-13
0.37,-3E-14
0.36,-7E-14
0.35,-1.8E-13
0.34,-2.2E-13
0.33,-3E-13
0.32,1.3E-13
0.31,-1.5E-13
0.3,-4E-14
0.29,-2.3E-13
0.28,-4E-14
0.27,-1.5E-13
0.26,-1.8E-13
0.25,-6E-14
0.24,2E-14
0.23,-2E-13
0.22,-1.6E-13
0.21,-3E-14
0.2,2E-14
0.19,-1.7E-13
0.18,-1.1E-13
0.17,-6E-14
0.16,-2E-13
0.15,-2.5E-13
0.14,-1.1E-13
