Setup title,"I/V dark_-0.2 to 0.2V"
-0.227,-2.74327E-06
-0.226,-2.734E-06
-0.225,-2.72449E-06
-0.224,-2.71508E-06
-0.223,-2.70572E-06
-0.222,-2.6958E-06
-0.221,-2.68588E-06
-0.22,-2.67647E-06
-0.219,-2.66777E-06
-0.218,-2.65803E-06
-0.217,-2.64829E-06
-0.216,-2.63873E-06
-0.215,-2.62875E-06
-0.214,-2.61864E-06
-0.213,-2.6094E-06
-0.212,-2.59982E-06
-0.211,-2.58995E-06
-0.21,-2.58036E-06
-0.209,-2.57067E-06
-0.208,-2.56158E-06
-0.207,-2.55178E-06
-0.206,-2.54137E-06
-0.205,-2.53116E-06
-0.204,-2.52121E-06
-0.203,-2.51163E-06
-0.202,-2.50153E-06
-0.201,-2.49237E-06
-0.2,-2.48226E-06
-0.199,-2.47295E-06
-0.198,-2.4633E-06
-0.197,-2.45335E-06
-0.196,-2.44245E-06
-0.195,-2.43275E-06
-0.194,-2.42326E-06
-0.193,-2.41298E-06
-0.192,-2.40355E-06
-0.191,-2.39344E-06
-0.19,-2.38316E-06
-0.189,-2.37365E-06
-0.188,-2.36385E-06
-0.187,-2.35347E-06
-0.186,-2.34364E-06
-0.185,-2.33374E-06
-0.184,-2.32381E-06
-0.183,-2.31351E-06
-0.182,-2.30351E-06
-0.181,-2.2937E-06
-0.18,-2.28351E-06
-0.179,-2.27317E-06
-0.178,-2.26258E-06
-0.177,-2.25275E-06
-0.176,-2.2422E-06
-0.175,-2.23231E-06
-0.174,-2.22287E-06
-0.173,-2.21237E-06
-0.172,-2.2024E-06
-0.171,-2.19233E-06
-0.17,-2.18215E-06
-0.169,-2.17153E-06
-0.168,-2.16126E-06
-0.167,-2.15133E-06
-0.166,-2.14073E-06
-0.165,-2.13009E-06
-0.164,-2.1201E-06
-0.163,-2.10989E-06
-0.162,-2.09976E-06
-0.161,-2.08931E-06
-0.16,-2.07844E-06
-0.159,-2.06729E-06
-0.158,-2.05746E-06
-0.157,-2.04703E-06
-0.156,-2.03634E-06
-0.155,-2.02587E-06
-0.154,-2.01578E-06
-0.153,-2.00515E-06
-0.152,-1.9947E-06
-0.151,-1.98454E-06
-0.15,-1.9731E-06
-0.149,-1.96285E-06
-0.148,-1.95202E-06
-0.147,-1.94171E-06
-0.146,-1.93123E-06
-0.145,-1.92034E-06
-0.144,-1.90956E-06
-0.143,-1.89867E-06
-0.142,-1.88821E-06
-0.141,-1.87743E-06
-0.14,-1.86672E-06
-0.139,-1.85598E-06
-0.138,-1.84492E-06
-0.137,-1.83443E-06
-0.136,-1.82315E-06
-0.135,-1.81269E-06
-0.134,-1.8015E-06
-0.133,-1.79063E-06
-0.132,-1.77966E-06
-0.131,-1.76857E-06
-0.13,-1.75751E-06
-0.129,-1.74682E-06
-0.128,-1.7362E-06
-0.127,-1.72476E-06
-0.126,-1.71403E-06
-0.125,-1.70341E-06
-0.124,-1.69247E-06
-0.123,-1.68147E-06
-0.122,-1.67033E-06
-0.121,-1.65872E-06
-0.12,-1.6473E-06
-0.119,-1.63628E-06
-0.118,-1.6253E-06
-0.117,-1.61383E-06
-0.116,-1.60224E-06
-0.115,-1.59122E-06
-0.114,-1.58046E-06
-0.113,-1.56902E-06
-0.112,-1.55738E-06
-0.111,-1.54606E-06
-0.11,-1.53471E-06
-0.109,-1.52324E-06
-0.108,-1.51162E-06
-0.107,-1.49994E-06
-0.106,-1.4884E-06
-0.105,-1.47705E-06
-0.104,-1.46582E-06
-0.103,-1.45426E-06
-0.102,-1.4423E-06
-0.101,-1.43064E-06
-0.1,-1.41882E-06
-0.099,-1.40721E-06
-0.098,-1.39532E-06
-0.097,-1.38375E-06
-0.096,-1.37222E-06
-0.095,-1.36048E-06
-0.094,-1.34858E-06
-0.093,-1.33647E-06
-0.092,-1.32425E-06
-0.091,-1.31252E-06
-0.09,-1.30044E-06
-0.089,-1.28848E-06
-0.088,-1.27616E-06
-0.087,-1.26413E-06
-0.086,-1.252E-06
-0.085,-1.23989E-06
-0.084,-1.22784E-06
-0.083,-1.21566E-06
-0.082,-1.20352E-06
-0.081,-1.19096E-06
-0.08,-1.17867E-06
-0.079,-1.16663E-06
-0.078,-1.15393E-06
-0.077,-1.14128E-06
-0.076,-1.12855E-06
-0.075,-1.1159E-06
-0.074,-1.10361E-06
-0.073,-1.09111E-06
-0.072,-1.07829E-06
-0.071,-1.06558E-06
-0.07,-1.05294E-06
-0.069,-1.03986E-06
-0.068,-1.02674E-06
-0.067,-1.013372E-06
-0.066,-1.000624E-06
-0.065,-9.87604E-07
-0.064,-9.74659E-07
-0.063,-9.61708E-07
-0.062,-9.48583E-07
-0.061,-9.35771E-07
-0.06,-9.22449E-07
-0.059,-9.09159E-07
-0.058,-8.95599E-07
-0.057,-8.82359E-07
-0.056,-8.68542E-07
-0.055,-8.55014E-07
-0.054,-8.41731E-07
-0.053,-8.28136E-07
-0.052,-8.14607E-07
-0.051,-8.00893E-07
-0.05,-7.86878E-07
-0.049,-7.72983E-07
-0.048,-7.59575E-07
-0.047,-7.45613E-07
-0.046,-7.31446E-07
-0.045,-7.17466E-07
-0.044,-7.03076E-07
-0.043,-6.88741E-07
-0.042,-6.7458E-07
-0.041,-6.60315E-07
-0.04,-6.45952E-07
-0.039,-6.31524E-07
-0.038,-6.1688E-07
-0.037,-6.02258E-07
-0.036,-5.87554E-07
-0.035,-5.73023E-07
-0.034,-5.58143E-07
-0.033,-5.43436E-07
-0.032,-5.28262E-07
-0.031,-5.132E-07
-0.03,-4.98197E-07
-0.029,-4.82921E-07
-0.028,-4.67588E-07
-0.027,-4.52126E-07
-0.026,-4.36702E-07
-0.025,-4.21145E-07
-0.024,-4.05492E-07
-0.023,-3.89736E-07
-0.022,-3.74297E-07
-0.021,-3.58259E-07
-0.02,-3.4217E-07
-0.019,-3.26134E-07
-0.018,-3.09975E-07
-0.017,-2.93692E-07
-0.016,-2.77268E-07
-0.015,-2.60749E-07
-0.014,-2.44203E-07
-0.013,-2.27497E-07
-0.012,-2.10675E-07
-0.011,-1.93714E-07
-0.01,-1.76637E-07
-0.009,-1.59873E-07
-0.008,-1.42673E-07
-0.007,-1.2533E-07
-0.006,-1.07861E-07
-0.005,-9.02683E-08
-0.004,-7.26087E-08
-0.003,-5.48016E-08
-0.002,-3.68877E-08
-0.001,-1.8832E-08
0,-6.3324E-10
0.001,1.76878E-08
0.002,3.57717E-08
0.003,5.43565E-08
0.004,7.30565E-08
0.005,9.18716E-08
0.006,1.107985E-07
0.007,1.29922E-07
0.008,1.49204E-07
0.009,1.68174E-07
0.01,1.87729E-07
0.011,2.0731E-07
0.012,2.27027E-07
0.013,2.47041E-07
0.014,2.67061E-07
0.015,2.86795E-07
0.016,3.07109E-07
0.017,3.27812E-07
0.018,3.48549E-07
0.019,3.69378E-07
0.02,3.90593E-07
0.021,4.11787E-07
0.022,4.32806E-07
0.023,4.54234E-07
0.024,4.75957E-07
0.025,4.97877E-07
0.026,5.20101E-07
0.027,5.42448E-07
0.028,5.65124E-07
0.029,5.87408E-07
0.03,6.10385E-07
0.031,6.33347E-07
0.032,6.56187E-07
0.033,6.79599E-07
0.034,7.03272E-07
0.035,7.26885E-07
0.036,7.50882E-07
0.037,7.75462E-07
0.038,8.00072E-07
0.039,8.24873E-07
0.04,8.49718E-07
0.041,8.74736E-07
0.042,8.9981E-07
0.043,9.25664E-07
0.044,9.51472E-07
0.045,9.77404E-07
0.046,1.003307E-06
0.047,1.030127E-06
0.048,1.056359E-06
0.049,1.083637E-06
0.05,1.111083E-06
0.051,1.138493E-06
0.052,1.16495E-06
0.053,1.19349E-06
0.054,1.22178E-06
0.055,1.24921E-06
0.056,1.27835E-06
0.057,1.30776E-06
0.058,1.3368E-06
0.059,1.36587E-06
0.06,1.39581E-06
0.061,1.42613E-06
0.062,1.45672E-06
0.063,1.48796E-06
0.064,1.51893E-06
0.065,1.55003E-06
0.066,1.58179E-06
0.067,1.6121E-06
0.068,1.64423E-06
0.069,1.67712E-06
0.07,1.71088E-06
0.071,1.74483E-06
0.072,1.77781E-06
0.073,1.81228E-06
0.074,1.84832E-06
0.075,1.8835E-06
0.076,1.92095E-06
0.077,1.95611E-06
0.078,1.9918E-06
0.079,2.02669E-06
0.08,2.06432E-06
0.081,2.09761E-06
0.082,2.13292E-06
0.083,2.1605E-06
0.084,2.19756E-06
0.085,2.23488E-06
0.086,2.266E-06
0.087,2.28726E-06
0.088,2.30621E-06
0.089,2.30654E-06
0.09,2.32817E-06
0.091,2.31607E-06
0.092,2.23836E-06
0.093,9.0831E-07
0.094,2.94314E-08
0.095,2.51275E-08
0.096,2.89565E-08
0.097,2.88381E-08
0.098,2.94155E-08
0.099,2.9918E-08
0.1,2.51418E-08
0.101,2.63985E-08
0.102,2.40069E-08
0.103,2.68801E-08
0.104,2.1392E-08
0.105,2.34905E-08
0.106,3.04175E-08
0.107,3.22998E-08
0.108,4.10829E-08
0.109,3.17868E-08
0.11,2.8298E-08
0.111,2.39893E-08
0.112,2.2783E-08
0.113,2.52124E-08
0.114,3.31684E-08
0.115,3.29888E-08
0.116,3.09073E-08
0.117,3.41817E-08
0.118,3.04605E-08
0.119,3.62229E-08
0.12,3.38287E-08
0.121,3.42378E-08
0.122,3.16771E-08
0.123,3.83387E-08
0.124,3.7163E-08
0.125,3.65162E-08
0.126,3.97136E-08
0.127,4.40577E-08
0.128,4.02775E-08
0.129,3.03022E-08
0.13,3.32736E-08
0.131,3.3964E-08
0.132,3.26543E-08
0.133,3.37041E-08
0.134,3.82354E-08
0.135,3.97037E-08
0.136,4.11568E-08
0.137,3.08745E-08
0.138,4.17383E-08
0.139,3.9339E-08
0.14,3.52354E-08
0.141,3.64276E-08
0.142,3.47019E-08
0.143,4.02651E-08
0.144,3.77705E-08
0.145,3.9203E-08
0.146,4.2755E-08
0.147,4.61237E-08
0.148,4.67127E-08
0.149,4.6793E-08
0.15,3.93704E-08
0.151,4.10815E-08
0.152,3.77597E-08
0.153,4.07263E-08
0.154,4.23582E-08
0.155,4.82355E-08
0.156,4.4653E-08
0.157,4.64864E-08
0.158,5.40228E-08
0.159,5.7212E-08
0.16,5.31335E-08
0.161,5.49409E-08
0.162,5.25702E-08
0.163,4.13785E-08
0.164,4.99175E-08
0.165,4.87703E-08
0.166,5.88698E-08
0.167,6.23961E-08
0.168,6.26325E-08
0.169,5.72035E-08
0.17,5.2758E-08
0.171,5.38703E-08
0.172,6.25484E-08
0.173,6.67055E-08
0.174,6.28768E-08
0.175,4.57942E-08
0.176,4.5443E-08
0.177,4.31137E-08
0.178,4.97805E-08
0.179,4.92998E-08
0.18,4.7025E-08
0.181,4.33271E-08
0.182,4.46875E-08
0.183,6.61229E-08
0.184,5.39062E-08
0.185,5.81625E-08
0.186,6.016E-08
0.187,6.15488E-08
0.188,5.74386E-08
0.189,5.86819E-08
0.19,5.62022E-08
0.191,7.03818E-08
0.192,7.53233E-08
0.193,7.30387E-08
0.194,7.3499E-08
0.195,7.28721E-08
0.196,6.57688E-08
0.197,6.16721E-08
0.198,6.49409E-08
0.199,6.82786E-08
0.2,6.42991E-08
0.201,7.14542E-08
0.202,7.37929E-08
0.203,7.32308E-08
0.204,7.86584E-08
0.205,7.95218E-08
0.206,7.94299E-08
0.207,8.27185E-08
0.208,7.36601E-08
0.209,8.09091E-08
0.21,7.49483E-08
0.211,7.02051E-08
0.212,6.88311E-08
0.213,6.74676E-08
0.214,7.01467E-08
0.215,6.68948E-08
0.216,6.98279E-08
0.217,7.03884E-08
0.218,6.11314E-08
0.219,5.91194E-08
0.22,5.855E-08
0.221,6.94241E-08
0.222,6.85536E-08
0.223,6.45677E-08
0.224,6.00795E-08
0.225,5.97254E-08
0.226,6.14174E-08
0.227,6.89823E-08
0.228,6.78065E-08
0.229,7.11633E-08
0.23,5.91286E-08
0.231,7.24459E-08
0.232,6.59209E-08
0.233,5.70133E-08
0.234,6.44725E-08
0.235,6.87389E-08
0.236,7.91954E-08
0.237,7.95927E-08
0.238,7.21595E-08
0.239,8.23557E-08
0.24,7.84413E-08
0.241,8.36935E-08
0.242,7.13163E-08
0.243,7.23741E-08
0.244,6.79524E-08
0.245,7.5266E-08
0.246,7.31164E-08
0.247,7.4659E-08
0.248,7.3925E-08
0.249,8.54E-08
0.25,8.77789E-08
0.251,7.80815E-08
0.252,8.449E-08
0.253,9.583E-08
0.254,1.01176E-07
0.255,8.0633E-08
0.256,8.32426E-08
0.257,8.22214E-08
0.258,9.6615E-08
0.259,8.36754E-08
0.26,8.22655E-08
0.261,8.6021E-08
0.262,7.46117E-08
0.263,7.1977E-08
0.264,7.04946E-08
0.265,7.18095E-08
0.266,7.1576E-08
0.267,7.33469E-08
0.268,7.61639E-08
0.269,7.41314E-08
0.27,8.0157E-08
0.271,9.2221E-08
0.272,1.02953E-07
0.273,1.13578E-07
0.274,1.15602E-07
0.275,1.03979E-07
0.276,1.12198E-07
0.277,9.6392E-08
0.278,8.4834E-08
0.279,9.0854E-08
0.28,1.12112E-07
0.281,7.84551E-08
0.282,8.43564E-08
0.283,9.5891E-08
0.284,9.03056E-08
0.285,1.02324E-07
0.286,9.7444E-08
0.287,1.11336E-07
0.288,1.11606E-07
0.289,1.0928E-07
0.29,9.5014E-08
0.291,1.31317E-07
0.292,1.38773E-07
0.293,1.33081E-07
0.294,1.47027E-07
0.295,1.53413E-07
0.296,1.57924E-07
0.297,1.60069E-07
0.298,1.50808E-07
0.299,1.55623E-07
0.3,1.68303E-07
0.301,1.7516E-07
0.302,1.72282E-07
0.303,1.70756E-07
0.304,1.54205E-07
0.305,1.57035E-07
0.306,1.39973E-07
0.307,1.50751E-07
0.308,1.54518E-07
0.309,1.75264E-07
0.31,1.88879E-07
0.311,1.75286E-07
0.312,1.71204E-07
0.313,1.67884E-07
0.314,1.70678E-07
0.315,1.71079E-07
0.316,1.71693E-07
0.317,1.72858E-07
0.318,1.65248E-07
0.319,2.0423E-07
0.32,2.0454E-07
0.321,2.13127E-07
0.322,1.74E-07
0.323,2.01631E-07
0.324,1.89893E-07
0.325,2.02542E-07
0.326,2.19571E-07
0.327,2.10666E-07
0.328,2.18822E-07
0.329,1.99358E-07
0.33,2.3486E-07
0.331,2.29594E-07
0.332,2.34868E-07
0.333,2.35047E-07
0.334,2.32768E-07
0.335,2.18803E-07
0.336,2.04168E-07
0.337,2.10811E-07
0.338,2.07955E-07
0.339,2.18294E-07
0.34,2.27622E-07
0.341,2.13653E-07
0.342,1.91897E-07
0.343,1.69521E-07
0.344,1.7865E-07
0.345,1.84034E-07
0.346,1.92291E-07
0.347,1.78599E-07
0.348,1.85162E-07
0.349,1.75953E-07
0.35,1.79575E-07
0.351,1.8804E-07
0.352,1.85919E-07
0.353,1.68118E-07
0.354,1.4707E-07
0.355,1.3626E-07
0.356,1.43345E-07
0.357,1.52902E-07
0.358,1.46543E-07
0.359,1.40199E-07
0.36,1.59364E-07
0.361,1.55018E-07
0.362,1.9532E-07
0.363,1.84367E-07
0.364,1.81211E-07
0.365,1.66517E-07
0.366,1.57655E-07
0.367,1.56114E-07
0.368,1.69222E-07
0.369,1.77665E-07
0.37,1.68304E-07
0.371,1.93026E-07
0.372,1.97858E-07
0.373,2.11002E-07
0.374,2.52021E-07
0.375,2.48427E-07
0.376,2.53892E-07
0.377,2.61627E-07
0.378,2.55926E-07
0.379,2.3166E-07
0.38,2.32095E-07
0.381,1.99432E-07
0.382,2.03672E-07
0.383,2.39595E-07
0.384,2.25132E-07
0.385,2.15037E-07
0.386,2.23245E-07
0.387,2.45493E-07
0.388,2.48209E-07
0.389,2.49391E-07
0.39,2.47576E-07
0.391,2.89131E-07
0.392,3.10968E-07
0.393,2.5718E-07
0.394,2.753E-07
0.395,2.99913E-07
0.396,2.86784E-07
0.397,2.44048E-07
0.398,2.38712E-07
0.399,2.1655E-07
0.4,2.54033E-07
0.4,2.28594E-07
0.399,2.00473E-07
0.398,2.11433E-07
0.397,2.21254E-07
0.396,2.02998E-07
0.395,2.15754E-07
0.394,2.59315E-07
0.393,2.46094E-07
0.392,2.18371E-07
0.391,2.06431E-07
0.39,1.8157E-07
0.389,1.83371E-07
0.388,1.80153E-07
0.387,1.68051E-07
0.386,1.60186E-07
0.385,1.66786E-07
0.384,1.56243E-07
0.383,1.73766E-07
0.382,1.91308E-07
0.381,1.97568E-07
0.38,1.88053E-07
0.379,1.94239E-07
0.378,1.9693E-07
0.377,1.9449E-07
0.376,1.867E-07
0.375,1.90097E-07
0.374,1.90783E-07
0.373,2.01482E-07
0.372,2.01896E-07
0.371,1.83475E-07
0.37,2.00154E-07
0.369,2.11299E-07
0.368,2.08443E-07
0.367,1.67767E-07
0.366,1.62342E-07
0.365,1.67012E-07
0.364,1.70055E-07
0.363,1.63526E-07
0.362,1.59262E-07
0.361,1.55215E-07
0.36,1.70586E-07
0.359,1.75152E-07
0.358,2.04236E-07
0.357,1.76984E-07
0.356,1.82621E-07
0.355,1.85178E-07
0.354,1.79231E-07
0.353,1.78726E-07
0.352,1.77783E-07
0.351,1.75258E-07
0.35,1.73136E-07
0.349,1.65665E-07
0.348,1.67531E-07
0.347,1.97129E-07
0.346,1.94272E-07
0.345,1.8709E-07
0.344,1.82398E-07
0.343,1.89135E-07
0.342,1.88176E-07
0.341,1.96205E-07
0.34,1.99436E-07
0.339,1.9141E-07
0.338,1.86942E-07
0.337,1.80563E-07
0.336,1.84107E-07
0.335,2.09601E-07
0.334,2.24083E-07
0.333,2.03007E-07
0.332,1.80577E-07
0.331,1.87387E-07
0.33,1.92117E-07
0.329,1.59103E-07
0.328,1.57266E-07
0.327,1.67027E-07
0.326,1.60372E-07
0.325,1.64426E-07
0.324,1.61156E-07
0.323,1.66987E-07
0.322,1.70373E-07
0.321,1.65856E-07
0.32,1.6454E-07
0.319,1.6546E-07
0.318,1.57584E-07
0.317,1.51618E-07
0.316,1.37867E-07
0.315,1.58292E-07
0.314,1.32967E-07
0.313,1.33365E-07
0.312,1.35381E-07
0.311,1.31295E-07
0.31,1.32061E-07
0.309,1.40498E-07
0.308,1.44599E-07
0.307,1.39567E-07
0.306,1.56526E-07
0.305,1.4894E-07
0.304,1.45914E-07
0.303,1.44423E-07
0.302,1.35989E-07
0.301,1.45337E-07
0.3,1.35957E-07
