Setup title,"I/V dark_-0.2 to 0.2V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,17:21:07
Device ID,"FTO_Contact check"
Count,60
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU3:HR,SMU4:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU3:HR,SMU4:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-0.4
Measurement.Primary.Stop,0.4
Measurement.Primary.Step,0.001
Measurement.Primary.Compliance,5E-05
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,-0.4,0
Measurement.Bias.Compliance,5E-05,0.1
Measurement.Monitor.Unit,SMU3:HR,SMU4:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
-0.4,-4.28976E-06
-0.399,-4.2804E-06
-0.398,-4.27174E-06
-0.397,-4.26381E-06
-0.396,-4.2557E-06
-0.395,-4.24755E-06
-0.394,-4.24049E-06
-0.393,-4.23144E-06
-0.392,-4.22338E-06
-0.391,-4.21443E-06
-0.39,-4.20729E-06
-0.389,-4.19791E-06
-0.388,-4.18902E-06
-0.387,-4.17999E-06
-0.386,-4.17168E-06
-0.385,-4.16333E-06
-0.384,-4.15425E-06
-0.383,-4.14522E-06
-0.382,-4.1382E-06
-0.381,-4.12926E-06
-0.38,-4.12135E-06
-0.379,-4.1126E-06
-0.378,-4.10504E-06
-0.377,-4.09606E-06
-0.376,-4.0875E-06
-0.375,-4.07914E-06
-0.374,-4.06942E-06
-0.373,-4.06151E-06
-0.372,-4.0536E-06
-0.371,-4.04508E-06
-0.37,-4.03623E-06
-0.369,-4.02732E-06
-0.368,-4.01842E-06
-0.367,-4.00855E-06
-0.366,-4.00068E-06
-0.365,-3.99293E-06
-0.364,-3.98433E-06
-0.363,-3.97538E-06
-0.362,-3.96677E-06
-0.361,-3.95845E-06
-0.36,-3.95044E-06
-0.359,-3.94085E-06
-0.358,-3.93275E-06
-0.357,-3.92356E-06
-0.356,-3.91496E-06
-0.355,-3.90574E-06
-0.354,-3.89796E-06
-0.353,-3.88854E-06
-0.352,-3.88104E-06
-0.351,-3.87285E-06
-0.35,-3.86385E-06
-0.349,-3.85396E-06
-0.348,-3.84592E-06
-0.347,-3.83691E-06
-0.346,-3.82823E-06
-0.345,-3.81964E-06
-0.344,-3.81075E-06
-0.343,-3.80186E-06
-0.342,-3.79339E-06
-0.341,-3.78535E-06
-0.34,-3.77586E-06
-0.339,-3.7676E-06
-0.338,-3.75922E-06
-0.337,-3.75036E-06
-0.336,-3.74124E-06
-0.335,-3.73188E-06
-0.334,-3.72313E-06
-0.333,-3.71558E-06
-0.332,-3.70632E-06
-0.331,-3.69837E-06
-0.33,-3.6891E-06
-0.329,-3.68083E-06
-0.328,-3.67192E-06
-0.327,-3.6628E-06
-0.326,-3.65408E-06
-0.325,-3.64456E-06
-0.324,-3.63614E-06
-0.323,-3.62687E-06
-0.322,-3.61852E-06
-0.321,-3.60929E-06
-0.32,-3.59981E-06
-0.319,-3.59035E-06
-0.318,-3.58172E-06
-0.317,-3.57217E-06
-0.316,-3.56364E-06
-0.315,-3.55483E-06
-0.314,-3.54563E-06
-0.313,-3.53691E-06
-0.312,-3.52708E-06
-0.311,-3.51782E-06
-0.31,-3.50932E-06
-0.309,-3.49961E-06
-0.308,-3.49112E-06
-0.307,-3.48222E-06
-0.306,-3.47377E-06
-0.305,-3.46497E-06
-0.304,-3.45632E-06
-0.303,-3.44743E-06
-0.302,-3.43816E-06
-0.301,-3.42913E-06
-0.3,-3.42029E-06
-0.299,-3.41084E-06
-0.298,-3.40278E-06
-0.297,-3.39365E-06
-0.296,-3.38489E-06
-0.295,-3.37521E-06
-0.294,-3.36634E-06
-0.293,-3.35647E-06
-0.292,-3.34755E-06
-0.291,-3.33826E-06
-0.29,-3.33024E-06
-0.289,-3.32111E-06
-0.288,-3.31235E-06
-0.287,-3.30339E-06
-0.286,-3.29357E-06
-0.285,-3.28452E-06
-0.284,-3.27495E-06
-0.283,-3.26677E-06
-0.282,-3.25812E-06
-0.281,-3.24915E-06
-0.28,-3.23954E-06
-0.279,-3.23025E-06
-0.278,-3.22135E-06
-0.277,-3.21214E-06
-0.276,-3.20312E-06
-0.275,-3.19453E-06
-0.274,-3.1851E-06
-0.273,-3.17608E-06
-0.272,-3.16604E-06
-0.271,-3.15709E-06
-0.27,-3.14773E-06
-0.269,-3.13747E-06
-0.268,-3.12847E-06
-0.267,-3.11967E-06
-0.266,-3.11072E-06
-0.265,-3.10055E-06
-0.264,-3.09166E-06
-0.263,-3.0822E-06
-0.262,-3.07289E-06
-0.261,-3.063E-06
-0.26,-3.05462E-06
-0.259,-3.04586E-06
-0.258,-3.03737E-06
-0.257,-3.02744E-06
-0.256,-3.01779E-06
-0.255,-3.00887E-06
-0.254,-2.99941E-06
-0.253,-2.99022E-06
-0.252,-2.98126E-06
-0.251,-2.97196E-06
-0.25,-2.9627E-06
-0.249,-2.95313E-06
-0.248,-2.94398E-06
-0.247,-2.93483E-06
-0.246,-2.92568E-06
-0.245,-2.91544E-06
-0.244,-2.90626E-06
-0.243,-2.89623E-06
-0.242,-2.88649E-06
-0.241,-2.87662E-06
-0.24,-2.86782E-06
-0.239,-2.85802E-06
-0.238,-2.84845E-06
-0.237,-2.83906E-06
-0.236,-2.82925E-06
-0.235,-2.82041E-06
-0.234,-2.8107E-06
-0.233,-2.80111E-06
-0.232,-2.79115E-06
-0.231,-2.78194E-06
-0.23,-2.77295E-06
-0.229,-2.76302E-06
-0.228,-2.75314E-06
