Setup title,"I/V Sweep_light_part2_0_2V"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,17:24:05
Device ID,
Count,4
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-4.7E-13
0.01,3E-14
0.02,-1.3E-13
0.03,-4.7E-13
0.04,8E-14
0.05,-4.6E-13
0.06,-9E-14
0.07,3E-14
0.08,-5.3E-13
0.09,-9E-14
0.1,-1.8E-13
0.11,-4.3E-13
0.12,-2.7E-13
0.13,1E-13
0.14,-2.6E-13
0.15,-1.1E-13
0.16,1E-14
0.17,-1.3E-13
0.18,-5.5E-13
0.19,-1.3E-13
0.2,-2.2E-13
0.21,-3.7E-13
0.22,-2.8E-13
0.23,-3.6E-13
0.24,-3E-13
0.25,-2.7E-13
0.26,1.3E-13
0.27,-1.5E-13
0.28,-6E-14
0.29,-1E-14
0.3,-3.4E-13
0.31,-1.9E-13
0.32,4E-14
0.33,-7E-14
0.34,-4.4E-13
0.35,-1.3E-13
0.36,-2.1E-13
0.37,-3.8E-13
0.38,-3E-13
0.39,1.5E-13
0.4,-2.6E-13
0.41,1.2E-13
0.42,2E-14
0.43,-5.5E-13
0.44,-3E-14
0.45,-6E-14
0.46,-4.3E-13
0.47,-1.1E-13
0.48,-1.8E-13
0.49,-2.2E-13
0.5,2.2E-13
0.51,-3.8E-13
0.52,-2.7E-13
0.53,1.2E-13
0.54,-2.6E-13
0.55,-1.4E-13
0.56,2E-14
0.57,-1E-13
0.58,-5.6E-13
0.59,-3E-14
0.6,-1.5E-13
0.61,-4.2E-13
0.62,-9E-14
0.63,-1.8E-13
0.64,-5.5E-13
0.65,3E-14
0.66,-1E-13
0.67,-5.4E-13
0.68,-5E-14
0.69,-1E-13
0.7,-4.1E-13
0.71,1.4E-13
0.72,-6E-13
0.73,1E-14
0.74,1E-14
0.75,-4.2E-13
0.76,-5E-14
0.77,-4E-13
0.78,6E-14
0.79,-4.3E-13
0.8,1.3E-13
0.81,-4.6E-13
0.82,1.4E-13
0.83,-5E-13
0.84,2E-13
0.85,-4E-14
0.86,-4.4E-13
0.87,1.3E-13
0.88,-4.6E-13
0.89,1.6E-13
0.9,-5.2E-13
0.91,-5E-14
0.92,-8E-14
0.93,-4.3E-13
0.94,-1.1E-13
0.95,-9E-14
0.96,-4.2E-13
0.97,2E-13
0.98,-4.3E-13
0.99,1.5E-13
1,-4.4E-13
1.01,1.1E-13
1.02,-4.4E-13
1.03,-1.3E-13
1.04,-4.4E-13
1.05,-1.8E-13
1.06,-1.5E-13
1.07,-4.2E-13
1.08,-2.4E-13
1.09,2E-13
1.1,-2.9E-13
1.11,-2.5E-13
1.12,-2E-13
1.13,-2.6E-13
1.14,-2.7E-13
1.15,1.8E-13
1.16,-2.6E-13
1.17,-2.5E-13
1.18,2.6E-13
1.19,-4.1E-13
1.2,1E-13
1.21,1E-13
1.22,-5.3E-13
1.23,2.4E-13
1.24,3E-14
1.25,-2.8E-13
1.26,-2.1E-13
1.27,-2.8E-13
1.28,-2.9E-13
1.29,-2.5E-13
1.3,2.3E-13
1.31,-2.4E-13
1.32,-2.5E-13
1.33,1.7E-13
1.34,-3.1E-13
1.35,-2.4E-13
1.36,2.3E-13
1.37,-3E-13
1.38,1.2E-13
1.39,3E-14
1.4,-4.4E-13
1.41,9E-14
1.42,-5.9E-13
1.43,2.2E-13
1.44,-5.4E-13
1.45,5E-14
1.46,4E-14
1.47,-6.3E-13
1.48,-3E-14
1.49,-1.1E-13
1.5,-4.5E-13
1.51,3.2E-13
1.52,-2.8E-13
1.53,4.2E-13
1.54,-4.1E-13
1.55,1.4E-13
1.56,-5E-13
1.57,0
1.58,7E-14
1.59,-5.6E-13
1.6,1.1E-13
1.61,1.1E-13
1.62,-5.1E-13
1.63,1.7E-13
1.64,-5E-13
1.65,2.3E-13
1.66,8E-14
1.67,-5.5E-13
1.68,3.1E-13
1.69,9E-14
1.7,-4.6E-13
1.71,3.6E-13
1.72,-4.1E-13
1.73,6E-14
1.74,-6E-14
1.75,-4.9E-13
1.76,2.7E-13
1.77,2.1E-13
1.78,-4.5E-13
1.79,4E-13
1.8,-2.5E-13
1.81,-2.6E-13
1.82,3.4E-13
1.83,-2E-14
1.84,9.2E-13
1.85,2.4E-13
1.86,1.14E-12
1.87,7.4E-13
1.88,1.3E-13
1.89,8.6E-13
1.9,7.1E-13
1.91,8.7E-13
1.92,9.5E-13
1.93,2.6E-13
1.94,8.4E-13
1.95,9.8E-13
1.96,1.2E-13
1.97,1.04E-12
1.98,1.5E-13
1.99,7.1E-13
2,6.5E-13
2,1.3E-13
1.99,8E-14
1.98,8.7E-13
1.97,3.6E-13
1.96,2.5E-13
1.95,7.8E-13
1.94,1.2E-13
1.93,7E-13
1.92,3.9E-13
1.91,6.6E-13
1.9,6.9E-13
1.89,-1.8E-13
1.88,7.1E-13
1.87,1.6E-13
1.86,8.9E-13
1.85,4.2E-13
1.84,2.3E-13
1.83,8.3E-13
1.82,2.1E-13
1.81,7.1E-13
1.8,1E-13
1.79,4.7E-13
1.78,-3.2E-13
1.77,6E-13
1.76,-1.1E-13
1.75,6E-13
1.74,-3.1E-13
1.73,4.5E-13
1.72,-1.9E-13
1.71,6.7E-13
1.7,-3E-14
1.69,4.8E-13
1.68,-3.8E-13
1.67,7E-14
1.66,-6E-14
1.65,-1.7E-13
1.64,4.4E-13
1.63,-4.1E-13
1.62,4.7E-13
1.61,-1.4E-13
1.6,5.2E-13
1.59,-1.2E-13
1.58,-2.6E-13
1.57,3.4E-13
1.56,-7E-14
1.55,3E-13
1.54,-5.1E-13
1.53,1.1E-13
1.52,-4.5E-13
1.51,3.9E-13
1.5,-1.1E-13
1.49,3.1E-13
1.48,-4.9E-13
1.47,-4E-14
1.46,-2.2E-13
1.45,2.1E-13
1.44,7E-14
1.43,-5.6E-13
1.42,4.3E-13
1.41,-4.2E-13
1.4,4.3E-13
1.39,-4.7E-13
1.38,-4E-14
1.37,-5.5E-13
1.36,3.2E-13
1.35,-6.3E-13
1.34,2.7E-13
1.33,-3.6E-13
1.32,-3.2E-13
1.31,2.8E-13
1.3,-5E-14
1.29,1.8E-13
1.28,-4.7E-13
1.27,3E-14
1.26,2E-14
1.25,-5.4E-13
1.24,3.8E-13
1.23,-4.9E-13
1.22,-2E-14
1.21,1.1E-13
1.2,-6.7E-13
1.19,-3E-13
1.18,-5.2E-13
1.17,3.3E-13
1.16,-4.3E-13
1.15,2.2E-13
1.14,-5E-13
1.13,8E-14
1.12,1E-13
1.11,-2.9E-13
1.1,-3.7E-13
1.09,2.2E-13
1.08,4E-14
1.07,2.6E-13
1.06,-7E-13
1.05,1.4E-13
1.04,2.1E-13
1.03,-4.4E-13
1.02,-4.6E-13
1.01,2.1E-13
1,-3E-14
0.99,3.2E-13
0.98,-5.8E-13
0.97,7E-14
0.96,1.6E-13
0.95,-2.9E-13
0.94,-4.8E-13
0.93,2.1E-13
0.92,-5.7E-13
0.91,8E-14
0.9,-6.1E-13
0.89,-4.4E-13
0.88,-6.4E-13
0.87,3.1E-13
0.86,-6.5E-13
0.85,1.9E-13
0.84,-5.5E-13
0.83,2.3E-13
0.82,-7E-13
0.81,1.3E-13
0.8,-4.1E-13
0.79,-4.7E-13
0.78,1.7E-13
0.77,-3.5E-13
0.76,-4.6E-13
0.75,9E-14
0.74,-7.2E-13
0.73,3.4E-13
0.72,-6E-13
0.71,4E-14
0.7,1E-13
0.69,-5.5E-13
0.68,-6E-14
0.67,-2E-14
0.66,-7.5E-13
0.65,3.8E-13
0.64,-7.5E-13
0.63,2.1E-13
0.62,3.3E-13
0.61,-6.1E-13
0.6,1E-13
0.59,1.8E-13
0.58,-3.6E-13
0.57,-4.7E-13
0.56,2E-13
0.55,2E-13
0.54,-5.8E-13
0.53,1E-13
0.52,-6.6E-13
0.51,2.9E-13
0.5,-7.6E-13
0.49,1.8E-13
0.48,3.6E-13
