Time,I1
0.03616,2.70419E-09
0.30068,1.36694E-09
0.50067,1.01166E-09
0.70063,8.3381E-10
0.90063,7.5116E-10
1.10064,6.5008E-10
1.30068,5.5357E-10
1.50064,4.8821E-10
1.70229,4.3194E-10
1.90063,3.8785E-10
2.10067,3.5234E-10
2.30063,3.2001E-10
2.50063,2.9296E-10
2.70068,2.7379E-10
2.90068,2.5422E-10
3.10068,2.3702E-10
3.30068,2.2519E-10
3.50067,2.1305E-10
3.70063,2.0013E-10
3.90067,1.9142E-10
4.10063,1.8227E-10
4.30063,1.7204E-10
4.50064,1.6444E-10
4.70226,1.5774E-10
4.90063,1.5E-10
5.10063,1.437E-10
5.30067,1.3785E-10
5.50063,1.3293E-10
5.70067,1.2772E-10
5.90067,1.2427E-10
6.10063,1.2056E-10
6.30063,1.1667E-10
6.50063,1.1121E-10
6.70063,1.0826E-10
6.90067,1.0698E-10
7.10063,1.0461E-10
7.30089,1.0044E-10
7.50094,9.731E-11
7.70224,9.572E-11
7.90241,9.38E-11
8.10226,9.064E-11
8.3023,8.978E-11
8.5023,8.72E-11
8.7023,8.615E-11
8.90226,8.361E-11
9.10226,8.156E-11
9.30229,7.909E-11
9.5023,7.754E-11
9.70229,7.548E-11
9.90229,7.403E-11
10.10226,7.312E-11
10.30229,7.157E-11
10.5036,6.974E-11
10.80365,6.837E-11
11.10366,6.611E-11
11.40495,6.33E-11
11.70356,6.221E-11
12.00365,6.031E-11
12.30362,5.869E-11
12.60361,5.71E-11
12.90512,5.49E-11
13.20361,5.493E-11
13.50366,5.316E-11
13.80501,5.065E-11
14.1052,4.983E-11
14.40493,4.903E-11
14.70481,4.757E-11
15.00501,4.526E-11
15.30496,4.566E-11
15.60501,4.389E-11
15.90496,4.307E-11
16.20512,4.172E-11
16.50496,4.068E-11
16.80501,3.98E-11
17.10521,3.929E-11
17.40628,3.712E-11
17.70617,3.602E-11
18.00631,3.61E-11
18.30631,2.374E-11
18.6078,1.976E-11
18.90631,1.813E-11
19.20632,1.48E-11
19.50636,1.594E-11
19.80631,1.742E-11
20.10783,1.834E-11
20.40069,1.913E-11
20.60068,1.903E-11
20.80068,1.979E-11
21.00068,1.803E-11
21.20642,1.778E-11
21.50064,1.827E-11
21.70067,1.909E-11
21.90063,1.882E-11
