Time,I1
0.03644,3.13537E-09
0.50154,1.04965E-09
1.00069,5.976E-10
1.50154,5.2699E-10
2.00069,3.7387E-10
2.50152,2.9114E-10
3.00069,2.3213E-10
3.50152,2.0085E-10
4.00069,1.733E-10
4.50152,1.5371E-10
5.00065,1.3724E-10
5.50152,1.2427E-10
6.00069,1.1234E-10
6.50147,1.0526E-10
7.00069,9.931E-11
7.50146,9.094E-11
8.00065,8.46E-11
8.50219,7.941E-11
9.00065,7.35E-11
9.5022,7.158E-11
10.00069,6.689E-11
10.50219,7.089E-11
11.00065,6.449E-11
11.5022,5.996E-11
12.00069,5.53E-11
12.5022,5.112E-11
13.00065,4.905E-11
13.5022,4.65E-11
14.00069,4.357E-11
14.50214,4.156E-11
15.00069,3.989E-11
15.50219,3.806E-11
16.00069,3.606E-11
16.50218,3.461E-11
17.00065,3.315E-11
17.50219,3.186E-11
18.00069,3.051E-11
18.50219,3.089E-11
19.00069,2.955E-11
19.50216,2.839E-11
20.00069,2.581E-11
20.50214,2.625E-11
21.00069,2.424E-11
21.50214,2.418E-11
22.00065,2.363E-11
22.50213,2.244E-11
23.00065,2.128E-11
23.50213,1.964E-11
24.00095,2.113E-11
24.50242,1.971E-11
25.0023,1.87E-11
25.50244,1.963E-11
26.0023,1.811E-11
26.50244,1.725E-11
27.00226,1.674E-11
27.50244,1.779E-11
28.0023,1.395E-11
28.50241,1.504E-11
29.00365,1.606E-11
29.50379,1.364E-11
30.00361,1.469E-11
30.50379,1.228E-11
31.00365,1.228E-11
31.50379,1.136E-11
32.00501,1.363E-11
32.50515,1.351E-11
33.00501,1.112E-11
33.5051,1.206E-11
34.00497,1.227E-11
34.50511,2.86E-12
35.00636,1.215E-11
35.50646,1.05E-11
36.00069,5.12E-12
36.50215,9.92E-12
37.00069,9.68E-12
37.50213,1.049E-11
38.00069,7.99E-12
38.50213,9.95E-12
39.00069,6.89E-12
39.50209,9.47E-12
40.00065,9.51E-12
40.50215,8.75E-12
41.00069,7.85E-12
41.50208,8.78E-12
42.00069,8.9E-12
42.50209,7.4E-12
43.00065,6.67E-12
43.50211,8.51E-12
44.00226,7.85E-12
44.50235,8.43E-12
45.0023,-5.4E-13
45.50374,1.068E-11
46.00365,8.82E-12
46.50372,9.2E-13
47.00365,8.05E-12
47.5051,6.81E-12
48.00501,6.05E-12
48.50509,7.45E-12
49.00636,7.58E-12
49.50642,1.89E-12
50.00064,7.81E-12
50.50065,6.9E-12
51.00064,5.85E-12
51.50065,6.29E-12
52.00065,6.24E-12
52.50065,5.65E-12
53.00065,5.59E-12
53.50069,6.04E-12
54.00069,4.6E-12
54.50069,4.83E-12
55.00069,5.53E-12
55.50226,4.76E-12
56.0023,5.21E-12
56.5023,3.56E-12
57.00361,5.75E-12
57.50365,6.02E-12
58.00361,4.64E-12
58.50501,3.9E-12
59.00496,5.18E-12
59.50501,5.38E-12
60.00632,3.06E-12
60.50636,5.48E-12
61.00696,4.56E-12
61.50069,4.32E-12
62.00065,3.83E-12
62.50065,5.45E-12
63.00069,4.61E-12
63.50069,4.34E-12
64.00065,2.79E-12
64.50069,4.51E-12
65.00069,3.75E-12
65.50065,4.47E-12
66.0023,3.3E-12
66.50226,2.6E-12
67.0023,4.04E-12
67.50365,4.87E-12
68.00361,3.92E-12
68.50365,4.13E-12
69.00496,4.01E-12
69.505,3.2E-12
70.00636,5.33E-12
70.50631,1.35E-12
71.0069,3.24E-12
71.50065,2.25E-12
72.00069,4E-12
72.50069,2.36E-12
73.00065,3.93E-12
73.50069,3.4E-12
74.00069,2.01E-12
74.50065,2.7E-12
75.00065,2.98E-12
75.5023,2.09E-12
76.00231,1.64E-12
76.5023,3.45E-12
77.00361,2.91E-12
77.50365,2.09E-12
78.00497,-6.3E-13
78.50497,3.38E-12
79.00632,1.64E-12
79.50069,2.79E-12
80.00069,3.15E-12
80.50065,2.29E-12
81.00069,2.57E-12
81.50065,2.53E-12
82.00069,4.06E-12
82.50065,-1.46E-12
83.0023,5.43E-12
83.5023,3.14E-12
84.00365,3.75E-12
84.50361,1.47E-12
85.00501,2.76E-12
85.50501,1.96E-12
86.00636,3.22E-12
86.50065,2.51E-12
87.00065,3.51E-12
87.50065,3.03E-12
88.00065,1.76E-12
88.50069,1.39E-12
89.00065,3E-12
89.50095,2.2E-12
90.0023,2.43E-12
90.50365,1.36E-12
91.00365,2.67E-12
91.50496,2.15E-12
92.00501,3.16E-12
92.50636,2.91E-12
93.00634,3.4E-13
93.50069,3.79E-12
94.00065,3.32E-12
94.50069,2.68E-12
95.00069,-2.77E-12
95.50065,2.84E-12
96.0023,2.97E-12
96.5023,2.55E-12
97.00365,2.47E-12
97.50361,3.62E-12
98.00501,3.1E-13
98.50636,-3.45E-12
99.00627,2.45E-12
99.50065,-5.23E-12
100.00065,3.93E-12
100.50069,3.08E-12
101.00069,1.94E-12
101.50065,2.72E-12
102.00226,2.67E-12
102.5023,1.92E-12
103.00361,2.35E-12
103.50497,1.42E-12
104.00497,1.08E-12
104.50636,3.2E-13
105.0076,8.1E-13
105.50065,2.49E-12
106.00069,2.05E-12
106.50065,1.86E-12
107.00065,1.95E-12
107.5023,-4.89E-12
108.00226,-7.6E-13
108.50361,3.3E-12
109.00501,2.1E-13
109.50631,3.38E-12
110.00621,1.37E-12
110.50065,2.29E-12
111.00069,2.79E-12
111.50069,2.56E-12
112.00069,-3.386E-11
112.50095,-3.03E-11
113.0023,-2.493E-11
113.50365,-2.288E-11
114.00501,-2.199E-11
114.50501,-1.811E-11
115.00069,-1.677E-11
115.50069,-1.976E-11
116.00065,-1.473E-11
116.50069,-1.394E-11
117.00069,-1.464E-11
117.5023,-1.145E-11
118.0023,-1.175E-11
118.50361,-1.024E-11
119.00497,-8.1E-12
119.50636,-7.37E-12
120.00751,-6.66E-12
120.50065,-7.26E-12
121.00065,-6.14E-12
121.50065,-7.82E-12
122.00096,-6.27E-12
122.50231,-6.37E-12
123.00361,-4.64E-12
123.50501,-6.89E-12
124.00636,-5.53E-12
124.50069,-6.57E-12
125.00069,-4.45E-12
125.50069,-3.22E-12
126.00069,-3.24E-12
126.50069,-9.97E-12
127.00231,-2.79E-12
127.50361,-2.22E-12
128.00497,-2.33E-12
128.50636,-7.47E-12
129.00743,-3.13E-12
129.50069,-5.58E-12
130.00065,-3.68E-12
130.50069,-4.55E-12
131.00226,-1.061E-11
131.50365,-3.9E-13
132.00497,-1.21E-12
132.50636,-1.52E-12
133.00741,-9.1E-13
133.50069,-2.61E-12
134.00065,-7.6E-13
134.50065,-4.56E-12
135.0023,8.6E-13
135.50361,2.79E-12
136.00497,-1.71E-12
136.50636,-5.7E-13
137.00732,2.49E-12
137.50069,3.3E-13
138.00065,-6.37E-12
138.50065,2E-14
139.00226,2.4E-13
139.50365,-1.51E-12
140.00501,2.31E-12
140.50636,-8.1E-12
141.00167,1.73E-12
141.50069,2.7E-13
142.00065,-8.9E-13
142.50095,4.8E-13
143.0023,4.82E-12
143.50361,2.76E-12
144.00501,1.36E-12
144.50065,2.1E-12
145.00065,1.82E-12
145.50065,2.2E-12
146.00065,1.33E-12
146.50231,4E-13
147.00366,-2.97E-12
147.50501,-1.79E-12
148.00636,3.93E-12
148.50065,2.88E-12
149.00069,4.35E-12
149.50069,1.37E-12
150.00226,-6.36E-12
150.50361,6.08E-12
151.00496,6.22E-12
151.50632,1.22E-12
152.00723,6.17E-12
152.50065,-6.14E-12
153.00065,-7.8E-13
153.50069,6.32E-12
154.0023,3E-12
154.50361,3.42E-12
155.00501,-1.81E-12
155.50065,-6.88E-12
156.00065,-4.89E-12
156.50069,6.84E-12
157.00069,3.92E-12
157.50226,2E-13
158.00361,-7.72E-12
158.50501,-5.83E-12
159.00636,1.04E-11
159.50069,6.03E-12
160.00069,-9.6E-13
160.50069,6.31E-12
161.00065,8.78E-12
161.50231,3.96E-12
162.00361,5.17E-12
162.50497,4.88E-12
163.00069,2.71E-12
163.50069,8.7E-13
164.00065,7.7E-13
164.50065,2.18E-12
165.00231,2.55E-12
165.50361,6.97E-12
166.00501,2.5E-12
166.50632,5.27E-12
167.00148,7.22E-12
167.50069,-5.42E-12
168.00065,4.28E-12
168.50065,1.98E-12
169.00227,-5.49E-12
169.50366,2.65E-12
170.00501,2.98E-12
170.50636,3.79E-12
171.00142,-2.31E-12
171.50069,5.56E-12
172.00069,4.23E-12
172.5023,5.05E-12
173.00365,6.92E-12
173.50365,4.57E-12
174.00497,1.94E-12
174.50069,1.09E-12
175.00065,1.99E-12
175.50069,-1.78E-12
176.00069,4.78E-12
