Setup title,"I/V-t Sampling_3V_10S__Dark"
2.00089,-2.174E-09
2.01064,3.2538E-09
2.02069,-2.2471E-09
2.03067,3.2326E-09
2.04068,-2.2256E-09
2.05089,3.1707E-09
2.06068,-2.2345E-09
2.07068,3.2144E-09
2.08176,-1.6152E-09
2.09068,3.2061E-09
2.10068,-2.2311E-09
2.11086,3.1504E-09
2.12068,-2.2299E-09
2.13068,3.1832E-09
2.14068,-2.2426E-09
2.15067,3.1826E-09
2.16069,-2.2157E-09
2.17067,3.1595E-09
2.18069,-2.2179E-09
2.19137,2.7636E-09
2.20068,-2.2018E-09
2.21067,3.1191E-09
2.22205,-1.249E-09
2.23063,3.121E-09
2.24069,-2.2075E-09
2.25088,2.9921E-09
2.26068,-2.203E-09
2.27063,3.0829E-09
2.28068,-2.1865E-09
2.29064,3.059E-09
2.30089,-2.0795E-09
2.31064,3.0626E-09
2.32065,-2.1917E-09
2.33196,2.0928E-09
2.34068,-2.1571E-09
2.35064,3.0224E-09
2.36085,-2.0545E-09
2.37067,2.9768E-09
2.38069,-2.1183E-09
2.39063,2.9963E-09
2.40064,-2.1545E-09
2.41071,2.9341E-09
2.42067,-2.1328E-09
2.43068,2.9184E-09
2.44141,-1.6102E-09
2.45068,2.8983E-09
2.46068,-2.1029E-09
2.47204,1.8403E-09
2.48068,-2.0797E-09
2.49064,2.8904E-09
2.50093,-1.9149E-09
2.51063,2.8763E-09
2.52069,-2.0547E-09
2.53064,2.8628E-09
2.54069,-2.0338E-09
2.55089,2.6709E-09
2.56068,-2.0345E-09
2.57069,2.7862E-09
2.58194,-9.978E-10
2.59068,2.7853E-09
2.60068,-1.9876E-09
2.61086,2.6338E-09
2.62069,-1.9667E-09
2.63068,2.7381E-09
2.64064,-1.9947E-09
2.65067,2.7111E-09
2.66077,-1.8887E-09
2.67067,2.6834E-09
2.68115,-1.5667E-09
2.6914,2.0756E-09
2.70068,-1.9225E-09
2.71068,2.625E-09
2.72206,-7.736E-10
2.73067,2.6104E-09
2.74068,-1.9005E-09
2.75083,2.4797E-09
2.76064,-1.909E-09
2.77069,2.5516E-09
2.78067,-1.8721E-09
2.79067,2.5531E-09
2.80092,-1.6329E-09
2.81068,2.5202E-09
2.82068,-1.8076E-09
2.83166,1.6837E-09
2.84063,-1.8197E-09
2.85064,2.4914E-09
2.86082,-1.6582E-09
2.87068,2.4319E-09
2.88068,-1.7462E-09
2.89068,2.4157E-09
2.90064,-1.7616E-09
2.91064,2.4185E-09
2.92063,-1.7508E-09
2.93064,2.4009E-09
2.94135,-1.1313E-09
2.95064,2.3778E-09
2.96064,-1.7087E-09
2.97197,1.2986E-09
2.98068,-1.6602E-09
2.99068,2.298E-09
3.00089,-1.4135E-09
3.01072,2.2405E-09
3.02064,-1.6384E-09
3.03063,2.2865E-09
3.04072,-1.5565E-09
3.05093,2.019E-09
3.06063,-1.6156E-09
3.07064,2.2355E-09
3.08166,-7.451E-10
3.09064,2.2194E-09
3.10068,-1.5248E-09
3.11083,2.0186E-09
3.12064,-1.5472E-09
3.13064,2.1527E-09
3.14064,-1.5193E-09
3.15068,2.0967E-09
3.16068,-1.4543E-09
3.17067,2.0804E-09
3.18064,-1.4723E-09
3.19134,1.5109E-09
3.20067,-1.4215E-09
3.21068,2.0122E-09
3.22203,-3.666E-10
3.23063,2.0375E-09
3.24064,-1.4084E-09
3.25084,1.8381E-09
3.26068,-1.3516E-09
3.27068,1.9505E-09
3.28066,-1.3485E-09
3.29069,1.9382E-09
3.30081,-1.2189E-09
3.31063,1.9443E-09
3.32064,-1.3208E-09
3.33169,1.1188E-09
3.34068,-1.2671E-09
3.35088,1.6852E-09
3.36086,-1.0955E-09
3.37068,1.8187E-09
3.38064,-1.2574E-09
3.39068,1.8005E-09
3.40069,-1.1998E-09
3.41065,1.7968E-09
3.42067,-1.1869E-09
3.43068,1.7314E-09
3.44135,-6.365E-10
3.45067,1.7289E-09
3.46068,-1.1352E-09
3.47206,7.66E-10
3.48068,-1.1151E-09
3.49064,1.7005E-09
3.50096,-8.726E-10
3.51063,1.6793E-09
3.52064,-1.0852E-09
3.53067,1.6247E-09
3.54069,-1.0501E-09
3.55091,1.4127E-09
3.56068,-1.0299E-09
3.57068,1.5762E-09
3.58191,-1.712E-10
3.59067,1.5665E-09
3.60069,-9.875E-10
3.6108,1.4392E-09
3.62068,-9.639E-10
3.63068,1.5056E-09
3.64068,-9.454E-10
3.65067,1.485E-09
3.66069,-9.136E-10
3.67067,1.4757E-09
3.68069,-8.993E-10
3.69135,9.765E-10
3.70068,-8.9E-10
3.71068,1.4237E-09
3.72197,-5.95E-11
3.73067,1.4028E-09
3.74069,-8.466E-10
3.75091,1.2106E-09
3.76068,-8.254E-10
3.77063,1.3742E-09
3.78064,-8.396E-10
3.79068,1.3344E-09
3.80089,-6.487E-10
3.81067,1.3268E-09
3.82065,-7.968E-10
3.83172,5.253E-10
3.84068,-7.596E-10
3.85068,1.2682E-09
3.86085,-6.15E-10
3.87068,1.2468E-09
3.88064,-7.466E-10
3.89064,1.2481E-09
3.90068,-6.933E-10
3.91069,1.1965E-09
3.92063,-7.132E-10
3.93069,1.1727E-09
3.94137,-2.214E-10
3.95064,1.1822E-09
3.96064,-6.812E-10
3.97205,3.633E-10
3.98068,-6.256E-10
3.99068,1.1198E-09
4.00078,-5.377E-10
4.01063,1.1308E-09
4.02092,-4.307E-10
4.03067,1.0866E-09
4.04069,-5.736E-10
4.05091,9.123E-10
4.06068,-5.587E-10
4.07063,1.0758E-09
4.08763,2.9795E-09
4.10068,-5.336E-10
4.11086,8.978E-10
4.12068,-5.105E-10
4.13064,1.0166E-09
4.14084,-3.895E-10
4.1507,9.544E-10
4.16066,-4.87E-10
4.17067,9.603E-10
4.18069,-4.477E-10
4.19133,5.641E-10
4.20064,-4.626E-10
4.21068,9.248E-10
4.22641,2.6205E-09
4.23063,9.281E-10
4.24069,-4.043E-10
4.25095,7.218E-10
4.26064,-4.189E-10
4.27069,8.477E-10
4.28067,-3.841E-10
4.29068,8.331E-10
4.30093,-2.163E-10
4.31068,8.186E-10
4.32064,-3.688E-10
4.33191,1.895E-10
4.34068,-3.357E-10
4.35068,7.883E-10
4.36086,-2.066E-10
4.37064,7.971E-10
4.38064,-3.205E-10
4.39064,7.789E-10
4.40071,-2.759E-10
4.41065,7.6E-10
4.42066,-2.807E-10
4.4311,4.949E-10
4.44703,2.966E-09
4.45068,7.118E-10
4.46069,-2.225E-10
4.47205,5.99E-11
4.48068,-2.301E-10
4.49065,6.935E-10
4.50611,2.6868E-09
4.51067,6.54E-10
4.52064,-2.195E-10
4.53067,6.43E-10
4.54068,-1.897E-10
4.55094,4.884E-10
4.56067,-1.811E-10
4.57068,6.057E-10
4.58623,2.806E-09
4.59064,6.199E-10
4.6063,2.843E-09
4.61085,4.777E-10
4.62647,2.9204E-09
4.63067,5.569E-10
4.64678,2.9423E-09
4.65068,5.337E-10
4.66634,2.89E-09
4.67068,5.216E-10
4.68679,2.9398E-09
4.70693,2.9242E-09
4.71063,5.213E-10
4.7261,2.82E-09
4.73067,4.819E-10
4.7463,2.8897E-09
4.75096,3.298E-10
4.76642,2.9344E-09
4.77067,4.689E-10
4.78603,2.8388E-09
4.79064,4.679E-10
4.80661,2.9548E-09
4.81064,4.543E-10
4.8263,2.9244E-09
4.83613,-2.5185E-09
4.84713,2.8111E-09
4.85063,4.344E-10
4.86566,2.69E-09
4.87067,3.899E-10
4.88634,2.9444E-09
4.89068,3.73E-10
4.9065,2.9465E-09
4.92672,2.9113E-09
4.93067,3.469E-10
4.94568,2.7667E-09
4.95069,3.26E-10
4.96634,2.9346E-09
4.9764,-2.5907E-09
4.98774,2.2952E-09
5.00616,2.9296E-09
5.01068,2.885E-10
5.02634,2.9364E-09
5.03608,-2.5769E-09
5.04629,2.9333E-09
5.06719,2.6075E-09
5.07634,-2.5761E-09
5.08608,2.925E-09
5.09712,-2.2679E-09
5.10633,2.9284E-09
5.11564,-2.5031E-09
5.12644,2.8918E-09
5.1363,-2.5638E-09
5.14548,2.7853E-09
5.1565,-2.5096E-09
5.1766,-2.474E-09
5.18629,2.9176E-09
5.19553,-2.5056E-09
5.20655,2.8303E-09
5.2163,-2.5564E-09
5.22639,2.8704E-09
5.23773,-1.6679E-09
5.25607,-2.5895E-09
5.26499,2.5928E-09
5.2763,-2.5371E-09
5.28603,2.9334E-09
5.29633,-2.5255E-09
5.31585,-2.5922E-09
5.32494,2.5937E-09
5.33624,-2.5358E-09
5.34513,2.7394E-09
5.3563,-2.5063E-09
5.36568,2.9204E-09
5.37645,-2.4289E-09
5.38495,2.6652E-09
5.39541,-2.5462E-09
5.40499,2.7073E-09
5.4163,-2.4778E-09
5.42546,2.8996E-09
5.43633,-2.4518E-09
5.45652,-2.3356E-09
5.46494,2.7198E-09
5.47504,-2.4729E-09
5.48518,2.8418E-09
5.495,-2.4595E-09
5.50481,2.6732E-09
5.51499,-2.4719E-09
5.52498,2.7876E-09
5.53602,-2.5196E-09
5.54499,2.8013E-09
5.55522,-2.5667E-09
5.56585,2.8836E-09
5.57495,-2.4928E-09
5.58467,2.6605E-09
5.59504,-2.5403E-09
5.60495,2.8245E-09
5.61555,-2.5964E-09
5.62495,2.8319E-09
5.63495,-2.5257E-09
5.64549,2.9198E-09
5.65494,-2.5287E-09
5.66502,2.8701E-09
5.67541,-2.601E-09
5.68495,2.8473E-09
5.69568,-2.5633E-09
5.7065,2.4845E-09
5.71495,-2.563E-09
5.72503,2.8844E-09
5.73519,-2.5965E-09
5.74495,2.8845E-09
5.75473,-2.5056E-09
5.76499,2.8856E-09
5.77498,-2.5934E-09
5.78596,2.7365E-09
5.79498,-2.5978E-09
5.80498,2.8942E-09
5.81585,-2.438E-09
5.82499,2.8969E-09
5.83491,-2.5947E-09
5.84512,2.9175E-09
5.85494,-2.6074E-09
5.86428,2.6326E-09
5.87495,-2.6028E-09
5.88499,2.9047E-09
5.89543,-2.5549E-09
5.90498,2.9115E-09
5.91498,-2.6106E-09
5.92529,2.8891E-09
5.93499,-2.6111E-09
5.94433,2.7274E-09
5.95653,-1.8654E-09
5.96498,2.9086E-09
5.975,-2.6112E-09
5.98517,2.89E-09
5.99495,-2.6061E-09
6.00479,2.8999E-09
6.01499,-2.6117E-09
6.02495,2.9062E-09
6.03598,-2.2068E-09
6.04495,2.8991E-09
6.05521,-2.5716E-09
6.06587,2.561E-09
6.07496,-2.6141E-09
6.08466,2.8984E-09
6.0951,-2.5889E-09
6.10495,2.9038E-09
6.11422,-2.516E-09
6.12499,2.8867E-09
6.13494,-2.5961E-09
6.14437,2.8483E-09
6.15495,-2.5964E-09
6.165,2.8676E-09
6.17517,-2.5386E-09
6.18499,2.8723E-09
6.19412,-2.5157E-09
6.20391,2.6853E-09
6.21494,-2.5734E-09
6.22503,2.8494E-09
6.23518,-2.4978E-09
6.24495,2.8587E-09
6.25479,-2.6032E-09
6.26495,2.8451E-09
6.27498,-2.5529E-09
6.28461,2.8881E-09
6.29499,-2.5484E-09
6.30383,2.7003E-09
6.31584,-2.0352E-09
6.3236,2.5885E-09
6.33494,-2.553E-09
6.3436,2.6007E-09
6.35495,-2.5305E-09
6.36421,2.8756E-09
6.37499,-2.5074E-09
6.38365,2.6526E-09
6.39435,-2.6171E-09
6.4036,2.6553E-09
6.41498,-2.5E-09
6.42523,2.634E-09
6.43499,-2.4783E-09
6.44412,2.8689E-09
6.45392,-2.5774E-09
6.46369,2.7384E-09
6.47362,-2.4669E-09
6.48364,2.7342E-09
6.4936,-2.4823E-09
6.50476,2.7865E-09
6.51363,-2.5106E-09
6.5236,2.7356E-09
6.53464,-2.5537E-09
6.54364,2.7705E-09
6.55383,-2.5994E-09
6.56376,2.8305E-09
6.57359,-2.518E-09
6.58465,2.8075E-09
6.59363,-2.5503E-09
6.60364,2.7986E-09
6.61424,-2.6146E-09
6.62364,2.8134E-09
6.63363,-2.5716E-09
6.64433,2.8651E-09
6.6536,-2.5623E-09
6.66359,2.8108E-09
6.67512,-2.2189E-09
6.68364,2.8346E-09
6.69436,-2.5782E-09
6.70395,2.8877E-09
6.71364,-2.602E-09
6.72363,2.8434E-09
6.73359,-2.5991E-09
6.7436,2.8469E-09
6.75478,-2.3737E-09
6.76364,2.8587E-09
6.7736,-2.5962E-09
6.78459,2.7105E-09
6.79364,-2.6104E-09
6.80392,2.8745E-09
6.81373,-2.6334E-09
6.8236,2.8628E-09
6.83328,-2.5552E-09
6.84359,2.8693E-09
6.85365,-2.6205E-09
6.86292,2.5983E-09
6.8736,-2.6345E-09
6.88365,2.8823E-09
6.89433,-2.5005E-09
6.9036,2.8772E-09
6.91367,-2.6244E-09
6.9251,2.2643E-09
6.9336,-2.6338E-09
6.94296,2.6961E-09
6.95391,-2.6087E-09
6.9636,2.8764E-09
6.97365,-2.6344E-09
6.98364,2.8765E-09
6.99363,-2.6412E-09
7.00338,2.8753E-09
7.01359,-2.6287E-09
7.0236,2.8755E-09
7.03455,-2.2842E-09
7.04364,2.864E-09
7.05388,-2.6004E-09
7.06372,2.8603E-09
7.07359,-2.6396E-09
7.08326,2.8705E-09
7.09359,-2.6284E-09
7.10364,2.8629E-09
7.11304,-2.585E-09
7.12364,2.8649E-09
7.13288,-2.5503E-09
7.14404,2.7366E-09
7.1536,-2.6263E-09
7.16376,2.8196E-09
7.1752,-1.6344E-09
7.18364,2.8413E-09
7.193,-2.6064E-09
7.20392,2.747E-09
7.21364,-2.5995E-09
7.22365,2.8278E-09
7.23364,-2.6019E-09
7.2436,2.8387E-09
7.2534,-2.637E-09
7.2636,2.8231E-09
7.2736,-2.5923E-09
7.28464,2.2192E-09
7.29364,-2.5765E-09
7.30254,2.7172E-09
7.31379,-2.5002E-09
7.32364,2.7916E-09
7.33326,-2.6435E-09
7.3436,2.7988E-09
7.35363,-2.5399E-09
7.3631,2.88E-09
7.37363,-2.5275E-09
7.38229,2.6558E-09
7.39408,-2.2787E-09
7.40229,2.6583E-09
7.41359,-2.5311E-09
7.42255,2.7964E-09
7.43233,-2.4816E-09
7.443,2.8713E-09
7.45394,-2.3252E-09
7.46225,2.6767E-09
7.47361,-2.4835E-09
7.48224,2.6871E-09
7.49229,-2.5159E-09
7.50336,2.804E-09
7.51225,-2.5089E-09
7.52224,2.7188E-09
7.5324,-2.5846E-09
7.54225,2.7304E-09
7.5524,-2.5926E-09
7.56229,2.7592E-09
7.57233,-2.5805E-09
7.58358,2.6659E-09
7.59229,-2.576E-09
7.6023,2.7795E-09
7.61312,-2.5972E-09
7.62225,2.7709E-09
7.63225,-2.5769E-09
7.64374,2.5136E-09
7.65229,-2.6013E-09
7.66225,2.7866E-09
7.67249,-2.6372E-09
7.68224,2.7852E-09
7.69295,-2.617E-09
7.70223,2.7976E-09
7.71225,-2.6213E-09
7.72252,2.8665E-09
7.73229,-2.6297E-09
7.74224,2.83E-09
7.75333,-2.4434E-09
7.76225,2.8283E-09
7.77229,-2.6288E-09
7.7824,2.8612E-09
7.79229,-2.6347E-09
7.80256,2.8623E-09
7.81229,-2.6375E-09
7.82226,2.8553E-09
7.83216,-2.6189E-09
7.84225,2.851E-09
7.85226,-2.6455E-09
7.86282,2.8127E-09
7.87229,-2.6531E-09
7.88229,2.8653E-09
7.89376,-2.0409E-09
7.90225,2.8662E-09
7.91229,-2.6554E-09
7.9225,2.8544E-09
7.93229,-2.6373E-09
7.94165,2.7024E-09
7.95225,-2.643E-09
7.9623,2.8628E-09
7.97205,-2.6348E-09
7.9823,2.8559E-09
7.9923,-2.6408E-09
8.00338,2.4259E-09
8.01225,-2.6491E-09
8.0223,2.8687E-09
8.03243,-2.6345E-09
8.04226,2.8613E-09
8.05249,-2.613E-09
8.06229,2.8504E-09
8.07229,-2.6505E-09
8.0816,2.748E-09
8.0923,-2.6338E-09
8.1023,2.8536E-09
8.11285,-2.4531E-09
8.12229,2.8433E-09
8.13225,-2.6445E-09
8.14375,1.9969E-09
8.15225,-2.6379E-09
8.16229,2.8297E-09
8.17247,-2.5697E-09
8.1823,2.8281E-09
8.19165,-2.6239E-09
8.20229,2.8257E-09
8.2123,-2.6191E-09
8.22201,2.8657E-09
8.2323,-2.6083E-09
8.2423,2.8108E-09
8.25335,-1.9799E-09
8.26225,2.822E-09
8.2723,-2.5921E-09
8.28242,2.7521E-09
8.29229,-2.5825E-09
8.30116,2.6934E-09
8.31225,-2.5871E-09
8.32229,2.7871E-09
8.33188,-2.6472E-09
8.3423,2.7648E-09
8.3523,-2.5391E-09
8.36249,2.6744E-09
8.3723,-2.5487E-09
8.38089,2.5942E-09
8.3937,-1.5316E-09
8.40094,2.645E-09
8.41224,-2.546E-09
8.42094,2.6561E-09
8.4323,-2.5113E-09
8.44136,2.8291E-09
8.45229,-2.5038E-09
8.46095,2.6864E-09
8.47204,-2.5899E-09
8.48091,2.6736E-09
8.49089,-2.4977E-09
8.50095,2.712E-09
8.51095,-2.5418E-09
8.52069,2.5802E-09
8.53093,-2.5501E-09
8.54069,2.5836E-09
8.55089,-2.5302E-09
8.56068,2.5896E-09
8.57095,-2.5605E-09
8.58162,2.8394E-09
8.59095,-2.5687E-09
8.60065,2.6061E-09
8.61082,-2.5444E-09
8.62068,2.6426E-09
8.63068,-2.4838E-09
8.64085,2.7427E-09
8.65069,-2.5008E-09
8.66069,2.6794E-09
8.67063,-2.4837E-09
8.68069,2.6964E-09
8.69133,-2.6675E-09
8.70069,2.711E-09
8.71064,-2.5133E-09
8.72209,2.6347E-09
8.73068,-2.5523E-09
8.74068,2.7239E-09
8.75095,-2.6326E-09
8.76068,2.7401E-09
8.77064,-2.5494E-09
8.78064,2.7329E-09
8.79065,-2.5655E-09
8.80065,2.7434E-09
