Time,I1
0.01585,4.1019E-09
1.02535,6.5382E-10
2.00065,3.3307E-10
3.00228,2.3456E-10
4.005,1.5769E-10
5.00069,1.1531E-10
6.00069,8.317E-11
7.0023,6.432E-11
8.00365,5.833E-11
9.00635,5.098E-11
10.00065,4.391E-11
11.00069,3.708E-11
12.00231,3.229E-11
13.00366,3.022E-11
14.00636,2.681E-11
15.00127,2.293E-11
16.00065,1.478E-11
17.0023,1.936E-11
18.00361,1.742E-11
19.00635,1.753E-11
20.00069,1.626E-11
21.00065,1.745E-11
22.00231,1.444E-11
23.00361,1.112E-11
24.00635,5.77E-12
25.00766,1.223E-11
26.00069,6.75E-12
27.00095,6.22E-12
28.00365,2.53E-12
29.005,8.4E-12
30.00065,9.52E-12
31.00204,1.357E-11
32.00069,6.93E-12
33.00231,8.89E-12
34.00497,2.53E-12
35.00631,7.98E-12
36.00069,6.68E-12
37.00203,3.52E-12
38.00091,6.2E-12
39.00365,3.42E-12
40.00496,3.84E-12
41.00065,3.55E-12
42.00065,1.73E-12
43.00198,5.68E-12
44.0023,-1.21E-12
45.00361,3.21E-12
46.005,6.17E-12
47.00065,1.35E-12
48.00069,-1.2E-13
49.00193,6.03E-12
50.00091,5.86E-12
51.00365,-6.3E-13
52.005,6.82E-12
53.00635,4.81E-12
54.00069,5.2E-13
55.00189,2.24E-12
56.00069,1.66E-12
57.00226,-1.05E-12
58.00361,-4.4E-13
59.00632,1.137E-11
60.00753,5.1E-12
61.00065,3.76E-12
62.00069,6.33E-12
63.00226,1.43E-12
64.00361,2.21E-12
65.005,-2.1E-12
66.00745,1.43E-12
67.00069,8.62E-12
68.00181,-1.68E-12
69.00231,-1.9E-13
70.00361,-1.5E-12
71.005,-1.46E-12
72.00069,5.06E-12
73.00069,-2.2E-13
74.00177,-5.852E-11
75.0023,-2.547E-11
76.00361,-1.358E-11
77.00632,-1.513E-11
78.00069,-7.82E-12
79.00069,-1.201E-11
80.00172,-1.129E-11
81.00231,-8.92E-12
82.00497,-4.85E-12
83.00632,2.038E-11
84.00069,-1.846E-11
85.00065,-7.38E-12
86.00168,-5.52E-12
87.0023,2.174E-11
88.00496,2.109E-11
89.00635,1.803E-11
90.00069,1.167E-11
91.00065,9.03E-12
92.0016,1.816E-11
93.0023,1.005E-11
94.00365,1.089E-11
95.00635,5.12E-12
96.00069,-3.613E-11
97.00069,-2.277E-11
98.00158,-2.122E-11
99.00226,-1.112E-11
100.00361,-5.09E-12
101.00497,-6.66E-12
102.00065,-2.34E-12
103.00069,-2.109E-11
104.00153,1.975E-11
105.00231,1.974E-11
106.00365,1.902E-11
107.00501,1.045E-11
108.00635,1.542E-11
109.00069,-3.884E-11
110.00149,-1.716E-11
111.00065,-9.77E-12
112.00226,-7.9E-12
113.00496,-8.09E-12
