Setup title,"C-V Sweep_dark_-3_3_1K_100K_1M"
-1.69,2.77104E-13
-1.68,2.55239E-13
-1.67,2.97456E-13
-1.66,2.53889E-13
-1.65,3.03015E-13
-1.64,2.56109E-13
-1.63,2.60013E-13
-1.62,2.72922E-13
-1.61,2.22772E-13
-1.6,2.54354E-13
-1.59,2.51103E-13
-1.58,2.41942E-13
-1.57,2.66221E-13
-1.56,3.07287E-13
-1.55,2.62427E-13
-1.54,2.68802E-13
-1.53,3.10864E-13
-1.52,3.0528E-13
-1.51,2.49642E-13
-1.5,2.18792E-13
-1.49,2.88426E-13
-1.48,2.54206E-13
-1.47,2.89864E-13
-1.46,2.59841E-13
-1.45,2.94964E-13
-1.44,2.46944E-13
-1.43,2.77152E-13
-1.42,2.56492E-13
-1.41,2.53544E-13
-1.4,2.6347E-13
-1.39,2.64934E-13
-1.38,2.54806E-13
-1.37,2.60039E-13
-1.36,2.50764E-13
-1.35,2.45551E-13
-1.34,2.56602E-13
-1.33,2.07081E-13
-1.32,2.72583E-13
-1.31,3.03525E-13
-1.3,2.89703E-13
-1.29,2.73126E-13
-1.28,2.70459E-13
-1.27,2.79691E-13
-1.26,2.99704E-13
-1.25,2.39173E-13
-1.24,2.99332E-13
-1.23,2.77516E-13
-1.22,2.61892E-13
-1.21,2.68918E-13
-1.2,2.44162E-13
-1.19,2.76824E-13
-1.18,2.7191E-13
-1.17,2.81715E-13
-1.16,2.47068E-13
-1.15,2.41104E-13
-1.14,2.40425E-13
-1.13,2.54901E-13
-1.12,2.82123E-13
-1.11,2.58543E-13
-1.1,2.57196E-13
-1.09,2.7123E-13
-1.08,2.9405E-13
-1.07,2.50189E-13
-1.06,2.80446E-13
-1.05,2.53272E-13
-1.04,2.97299E-13
-1.03,2.18597E-13
-1.02,2.70004E-13
-1.01,2.5657E-13
-1,2.73519E-13
-0.99,2.62774E-13
-0.98,2.90584E-13
-0.97,2.77709E-13
-0.96,2.54079E-13
-0.95,2.6063E-13
-0.94,2.61218E-13
-0.93,2.28304E-13
-0.92,2.5411E-13
-0.91,2.51131E-13
-0.9,2.26644E-13
-0.89,2.5934E-13
-0.88,2.91461E-13
-0.87,2.60855E-13
-0.86,2.18813E-13
-0.85,2.98127E-13
-0.84,2.87407E-13
-0.83,2.62099E-13
-0.82,2.41638E-13
-0.81,2.37694E-13
-0.8,2.40731E-13
-0.79,2.10527E-13
-0.78,2.37031E-13
-0.77,3.15133E-13
-0.76,2.36706E-13
-0.75,2.75574E-13
-0.74,2.56979E-13
-0.73,2.40362E-13
-0.72,2.29104E-13
-0.71,2.47862E-13
-0.7,2.21201E-13
-0.69,2.90114E-13
-0.68,2.78493E-13
-0.67,2.96039E-13
-0.66,2.45617E-13
-0.65,2.86496E-13
-0.64,2.77576E-13
-0.63,2.93931E-13
-0.62,3.06889E-13
-0.61,2.36003E-13
-0.6,2.46566E-13
-0.59,2.48608E-13
-0.58,2.44908E-13
-0.57,2.33383E-13
-0.56,2.95777E-13
-0.55,2.22454E-13
-0.54,2.73544E-13
-0.53,2.39654E-13
-0.52,2.71065E-13
-0.51,2.51815E-13
-0.5,2.46913E-13
-0.49,2.95361E-13
-0.48,2.59656E-13
-0.47,2.88981E-13
-0.46,2.40048E-13
-0.45,2.88959E-13
-0.44,2.01328E-13
-0.43,3.0501E-13
-0.42,2.34248E-13
-0.41,2.8876E-13
-0.4,2.76197E-13
-0.39,2.27839E-13
-0.38,2.88976E-13
-0.37,2.66382E-13
-0.36,2.45882E-13
-0.35,2.44152E-13
-0.34,2.83369E-13
-0.33,2.71881E-13
-0.32,2.47662E-13
-0.31,2.50094E-13
-0.3,2.82658E-13
-0.29,2.62246E-13
-0.28,2.05493E-13
-0.27,2.37426E-13
-0.26,2.71865E-13
-0.25,2.51777E-13
-0.24,2.86983E-13
-0.23,2.90977E-13
-0.22,2.81557E-13
-0.21,2.85457E-13
-0.2,2.93905E-13
-0.19,2.57124E-13
-0.18,2.75742E-13
-0.17,2.73213E-13
-0.16,2.80159E-13
-0.15,2.20225E-13
-0.14,3.1929E-13
-0.13,2.6757E-13
-0.12,2.59312E-13
-0.11,2.16858E-13
-0.1,2.37303E-13
-0.09,2.60701E-13
-0.08,2.84558E-13
-0.07,2.82319E-13
-0.06,2.62824E-13
-0.05,2.68013E-13
-0.04,2.80223E-13
-0.03,2.60046E-13
-0.02,3.01162E-13
-0.01,2.70237E-13
0,3.01309E-13
0.01,2.56499E-13
0.02,2.88043E-13
0.03,2.84849E-13
0.04,2.61434E-13
0.05,2.84631E-13
