Setup title,"I/V Sweep_0_2_Dark[3]"
0.35,3.0009E-05
0.34,2.87076E-05
0.33,2.7448E-05
0.32,2.64198E-05
0.31,2.53344E-05
0.3,2.41499E-05
0.29,2.30897E-05
0.28,2.20563E-05
0.27,2.07839E-05
0.26,1.982E-05
0.25,1.87472E-05
0.24,1.7683E-05
0.23,1.66937E-05
0.22,1.57924E-05
0.21,1.4722E-05
0.2,1.3835E-05
0.19,1.29181E-05
0.18,1.20892E-05
0.17,1.12035E-05
0.16,1.03495E-05
0.15,9.56276E-06
0.14,8.80976E-06
0.13,8.07502E-06
0.12,7.33237E-06
0.11,6.60603E-06
0.1,5.93116E-06
0.09,5.30763E-06
0.08,4.65696E-06
0.07,4.03265E-06
0.06,3.44631E-06
0.05,2.85099E-06
0.04,2.26538E-06
0.03,1.69932E-06
0.02,1.13372E-06
0.01,5.67706E-07
0,3.1517E-09
