Setup title,"I/V Sweep_0_2_Dark[3]"
Classic test name,"I/V Sweep"
Test date,3/15/2023
Test time,16:26:55
Device ID,
Count,7
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,2
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0002
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0002,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,-5.28E-10
0.01,5.39065E-07
0.02,1.077099E-06
0.03,1.60469E-06
0.04,2.16296E-06
0.05,2.7335E-06
0.06,3.28739E-06
0.07,3.89914E-06
0.08,4.50767E-06
0.09,5.08847E-06
0.1,5.72886E-06
0.11,6.38014E-06
0.12,7.07837E-06
0.13,7.76712E-06
0.14,8.52292E-06
0.15,9.20103E-06
0.16,1.002591E-05
0.17,1.086698E-05
0.18,1.16283E-05
0.19,1.25186E-05
0.2,1.34747E-05
0.21,1.43958E-05
0.22,1.53603E-05
0.23,1.62999E-05
0.24,1.73215E-05
0.25,1.83435E-05
0.26,1.93988E-05
0.27,2.0409E-05
0.28,2.15866E-05
0.29,2.26214E-05
0.3,2.38041E-05
0.31,2.49239E-05
0.32,2.61317E-05
0.33,2.73276E-05
0.34,2.84158E-05
0.35,2.97208E-05
0.36,3.08083E-05
0.37,3.22274E-05
0.38,3.34938E-05
0.39,3.48778E-05
0.4,3.62863E-05
0.41,3.78259E-05
0.42,3.91428E-05
0.43,4.05708E-05
0.44,4.21092E-05
0.45,4.36595E-05
0.46,4.51416E-05
0.47,4.67137E-05
0.48,4.81294E-05
0.49,4.93923E-05
0.5,5.10401E-05
0.51,5.28826E-05
0.52,5.4302E-05
0.53,5.59741E-05
0.54,5.75705E-05
0.55,5.93922E-05
0.56,6.10941E-05
0.57,6.27695E-05
0.58,6.46403E-05
0.59,6.64643E-05
0.6,6.8298E-05
0.61,7.01194E-05
0.62,7.20915E-05
0.63,7.4016E-05
0.64,7.57924E-05
0.65,7.81474E-05
0.66,8.08469E-05
0.67,8.24337E-05
0.68,8.40392E-05
0.69,8.56606E-05
0.7,8.79946E-05
0.71,8.99955E-05
0.72,9.20869E-05
0.73,9.43412E-05
0.74,9.64448E-05
0.75,9.82801E-05
0.76,0.0001006563
0.77,0.0001024265
0.78,0.0001045668
0.79,0.0001068575
0.8,0.0001088368
0.81,0.0001109298
0.82,0.0001126474
0.83,0.000115186
0.84,0.000117612
0.85,0.000119928
0.86,0.000121979
0.87,0.000123811
0.88,0.000126057
0.89,0.000128337
0.9,0.000130516
0.91,0.000133338
0.92,0.000136057
0.93,0.000138349
0.94,0.000140995
0.95,0.00014325
0.96,0.0001467
0.97,0.000148935
0.98,0.000150982
0.99,0.000153314
1,0.000157307
1.01,0.000160631
1.02,0.000162755
1.03,0.000165719
1.04,0.000168434
1.05,0.000170844
1.06,0.000171997
1.07,0.000176613
1.08,0.000180962
1.09,0.000183272
1.1,0.000187323
1.11,0.000190182
1.12,0.000186406
1.13,0.000186815
1.14,0.000190783
1.15,0.000192878
1.16,0.00019291
1.17,0.000194121
1.18,0.00019999
1.19,0.00019999
1.2,0.00019999
1.21,0.000199991
1.22,0.00019999
1.23,0.000199991
1.24,0.000199991
1.25,0.000199991
1.26,0.000199991
1.27,0.000199991
1.28,0.000199991
1.29,0.000199991
1.3,0.00019999
1.31,0.000199991
1.32,0.000199991
1.33,0.000199991
1.34,0.000199991
1.35,0.000199991
1.36,0.000199991
1.37,0.000199991
1.38,0.000199991
1.39,0.000199991
1.4,0.000199992
1.41,0.000199991
1.42,0.000199991
1.43,0.000199991
1.44,0.000199992
1.45,0.000199991
1.46,0.000199991
1.47,0.000199991
1.48,0.000199991
1.49,0.000199991
1.5,0.000199991
1.51,0.000199991
1.52,0.000199992
1.53,0.000199991
1.54,0.000199991
1.55,0.000199992
1.56,0.000199991
1.57,0.000199991
1.58,0.00019999
1.59,0.000199991
1.6,0.000199991
1.61,0.000199991
1.62,0.000199991
1.63,0.000199992
1.64,0.000199991
1.65,0.000199992
1.66,0.000199991
1.67,0.000199991
1.68,0.000199991
1.69,0.000199992
1.7,0.000199992
1.71,0.000199992
1.72,0.000199991
1.73,0.000199992
1.74,0.000199992
1.75,0.000199992
1.76,0.000199991
1.77,0.000199991
1.78,0.000199992
1.79,0.000199992
1.8,0.000199992
1.81,0.000199992
1.82,0.000199992
1.83,0.000199991
1.84,0.000199992
1.85,0.000199992
1.86,0.000199993
1.87,0.000199993
1.88,0.000199993
1.89,0.000199992
1.9,0.000199992
1.91,0.000199993
1.92,0.000199992
1.93,0.000199992
1.94,0.000199992
1.95,0.000199993
1.96,0.000199992
1.97,0.000199993
1.98,0.000199993
1.99,0.000199992
2,0.000199993
2,0.000199992
1.99,0.000199993
1.98,0.000199992
1.97,0.000199992
1.96,0.000199992
1.95,0.000199993
1.94,0.000199993
1.93,0.000199993
1.92,0.000199992
1.91,0.000199993
1.9,0.000199992
1.89,0.000199992
1.88,0.000199992
1.87,0.000199992
1.86,0.000199992
1.85,0.000199992
1.84,0.000199992
1.83,0.000199992
1.82,0.000199992
1.81,0.000199992
1.8,0.000199992
1.79,0.000199991
1.78,0.000199992
1.77,0.000199991
1.76,0.000199991
1.75,0.000199991
1.74,0.000199991
1.73,0.000199992
1.72,0.000199991
1.71,0.000199991
1.7,0.000199991
1.69,0.000199991
1.68,0.000199992
1.67,0.000199991
1.66,0.000199992
1.65,0.000199992
1.64,0.000199992
1.63,0.000199991
1.62,0.000199992
1.61,0.000199991
1.6,0.000199992
1.59,0.000199992
1.58,0.000199992
1.57,0.000199992
1.56,0.000199991
1.55,0.000199991
1.54,0.000199992
1.53,0.000199992
1.52,0.000199992
1.51,0.000199992
1.5,0.000199991
1.49,0.000199992
1.48,0.000199991
1.47,0.000199992
1.46,0.000199992
1.45,0.000199992
1.44,0.000199992
1.43,0.000199992
1.42,0.000199992
1.41,0.000199992
1.4,0.000199992
1.39,0.000199992
1.38,0.000199992
1.37,0.000199991
1.36,0.000199992
1.35,0.000199992
1.34,0.000199991
1.33,0.000199992
1.32,0.000199992
1.31,0.000199992
1.3,0.000199992
1.29,0.000199992
1.28,0.000199992
1.27,0.000199991
1.26,0.000199992
1.25,0.000199992
1.24,0.000199991
1.23,0.000199993
1.22,0.000199992
1.21,0.000199992
1.2,0.000199992
1.19,0.000199992
1.18,0.000199993
1.17,0.000199992
1.16,0.000199992
1.15,0.000199992
1.14,0.000199627
1.13,0.000194866
1.12,0.000192231
1.11,0.000188573
1.1,0.000184561
1.09,0.000180392
1.08,0.000171849
1.07,0.000169149
1.06,0.000166172
1.05,0.000163953
1.04,0.000167268
1.03,0.000164296
1.02,0.000161903
1.01,0.00015977
1,0.000156853
0.99,0.000154244
0.98,0.00015173
0.97,0.000149391
0.96,0.000146815
0.95,0.000144223
0.94,0.000141371
0.93,0.000138984
0.92,0.000136334
0.91,0.000133849
0.9,0.000131587
0.89,0.000129246
0.88,0.000126876
0.87,0.000124299
0.86,0.000121734
0.85,0.000119761
0.84,0.000117275
0.83,0.000114971
0.82,0.000112751
0.81,0.000111014
0.8,0.000108546
0.79,0.000106595
0.78,0.000104418
0.77,0.000102319
0.76,0.000100331
0.75,9.79341E-05
0.74,9.58434E-05
0.73,9.37817E-05
0.72,9.16201E-05
0.71,8.96817E-05
0.7,8.74766E-05
0.69,8.54414E-05
0.68,8.36519E-05
0.67,8.15218E-05
0.66,7.96234E-05
0.65,7.782E-05
0.64,7.57318E-05
0.63,7.37932E-05
0.62,7.18665E-05
0.61,7.04172E-05
0.6,6.82472E-05
0.59,6.62705E-05
0.58,6.46851E-05
0.57,6.30235E-05
0.56,6.13232E-05
0.55,5.96195E-05
0.54,5.79239E-05
0.53,5.65773E-05
0.52,5.48311E-05
0.51,5.32276E-05
0.5,5.17546E-05
0.49,5.02054E-05
0.48,4.83492E-05
0.47,4.67784E-05
0.46,4.55951E-05
0.45,4.39062E-05
0.44,4.24432E-05
0.43,4.13788E-05
0.42,3.93517E-05
0.41,3.79477E-05
0.4,3.6817E-05
0.39,3.54306E-05
0.38,3.39876E-05
0.37,3.25988E-05
0.36,3.12944E-05
