Setup title,"C-V Sweep_Post 250s_-3V_1k,10k,100k,500k,1MHz"
Classic test name,"C-V Sweep"
Test date,3/29/2023
Test time,18:15:41
Device ID,1
Count,1
Flags,
Remarks,
Channel.UnitTyp,CMU
Channel.Unit,CMU1:MF/SC
Channel.IName,
Channel.VName,VBias
Channel.Mode,
Channel.Func,VAR1
Channel.Index,
Channel.Time,
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,-2.5
Measurement.Primary.Stop,2.5
Measurement.Primary.Step,0.006
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Secondary.ACLevel,0.03
Measurement.Secondary.FName,Freq
Measurement.Secondary.Frequency,1000,10000,100000,500000,1000000
Measurement.Bias.Source,0
Measurement.ImpedanceMode.Model,Cp-G
Measurement.ImpedanceMode.CName,C
Measurement.ImpedanceMode.LName,L
Measurement.ImpedanceMode.GName,G
Measurement.ImpedanceMode.RName,R
Measurement.ImpedanceMode.QName,Q
Measurement.ImpedanceMode.DName,D
Measurement.ImpedanceMode.YName,Y
Measurement.ImpedanceMode.ZName,Z
Measurement.ImpedanceMode.ThName,Theta
Measurement.ImpedanceMode.BName,B
Measurement.ImpedanceMode.XName,X
Measurement.Monitor.Unit,CMU1:MF/SC
Measurement.Monitor.RangingMode,AUTO
Measurement.Monitor.RangeBoundary,50
Measurement.Monitor.AcMonitorSymbol,
Measurement.Monitor.DcMonitorSymbol,
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.UnitType,Cmu,Smu
Measurement.Adc.HighResolution.Mode,AUTO,AUTO
Measurement.Adc.HighResolution.Coeff,2,10
Measurement.Adc.HighSpeed.Mode,AUTO
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,VBias
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-2.5
Output.Graph.XAxis.Right,2.5
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,C
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,0
Output.Graph.YAxis.Top,1E-10
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-2.5,1.05838E-08
-2.494,1.06464E-08
-2.488,1.06033E-08
-2.482,1.08486E-08
-2.476,1.0845E-08
-2.471,1.12445E-08
-2.465,1.10155E-08
-2.459,1.11912E-08
-2.453,1.14269E-08
-2.447,1.13976E-08
-2.441,1.15319E-08
-2.435,1.17267E-08
-2.429,1.1499E-08
-2.424,1.14652E-08
-2.418,1.14586E-08
-2.412,1.15148E-08
-2.406,1.18035E-08
-2.4,1.17827E-08
-2.394,1.18461E-08
-2.388,1.16927E-08
-2.382,1.19016E-08
-2.376,1.18265E-08
-2.371,1.21374E-08
-2.365,1.19031E-08
-2.359,1.17803E-08
-2.353,1.1829E-08
-2.347,1.19999E-08
-2.341,1.2064E-08
-2.335,1.21238E-08
-2.329,1.21145E-08
-2.324,1.22332E-08
-2.318,1.1992E-08
-2.312,1.21471E-08
-2.306,1.24108E-08
-2.3,1.2275E-08
-2.294,1.22871E-08
-2.288,1.21781E-08
-2.282,1.2187E-08
-2.276,1.21584E-08
-2.271,1.21417E-08
-2.265,1.22478E-08
-2.259,1.21908E-08
-2.253,1.21713E-08
-2.247,1.21773E-08
-2.241,1.22564E-08
-2.235,1.22916E-08
-2.229,1.2219E-08
-2.224,1.2327E-08
-2.218,1.22052E-08
-2.212,1.23049E-08
-2.206,1.22933E-08
-2.2,1.226E-08
-2.194,1.23391E-08
-2.188,1.23504E-08
-2.182,1.22183E-08
-2.176,1.2218E-08
-2.171,1.23574E-08
-2.165,1.226E-08
-2.159,1.23484E-08
-2.153,1.22337E-08
-2.147,1.22469E-08
-2.141,1.22405E-08
-2.135,1.22747E-08
-2.129,1.22695E-08
-2.124,1.22774E-08
-2.118,1.22719E-08
-2.112,1.21715E-08
-2.106,1.20336E-08
-2.1,1.2124E-08
-2.094,1.22164E-08
-2.088,1.22038E-08
-2.082,1.2088E-08
-2.076,1.21594E-08
-2.071,1.22098E-08
-2.065,1.21357E-08
-2.059,1.2021E-08
-2.053,1.20544E-08
-2.047,1.20394E-08
-2.041,1.21206E-08
-2.035,1.21173E-08
-2.029,1.20723E-08
-2.024,1.20053E-08
-2.018,1.21016E-08
-2.012,1.19805E-08
-2.006,1.19831E-08
-2,1.19284E-08
-1.994,1.19669E-08
-1.988,1.19442E-08
-1.982,1.19235E-08
-1.976,1.18525E-08
-1.971,1.18681E-08
-1.965,1.18744E-08
-1.959,1.18538E-08
-1.953,1.19392E-08
-1.947,1.17368E-08
-1.941,1.17723E-08
-1.935,1.18035E-08
-1.929,1.17103E-08
-1.924,1.17402E-08
-1.918,1.17494E-08
-1.912,1.18692E-08
-1.906,1.17701E-08
-1.9,1.16314E-08
-1.894,1.16818E-08
-1.888,1.15582E-08
-1.882,1.16523E-08
-1.876,1.13706E-08
-1.871,1.14991E-08
-1.865,1.14844E-08
-1.859,1.14736E-08
-1.853,1.1464E-08
-1.847,1.13783E-08
-1.841,1.1405E-08
-1.835,1.1241E-08
-1.829,1.13119E-08
-1.824,1.13139E-08
-1.818,1.13101E-08
-1.812,1.12833E-08
-1.806,1.13115E-08
-1.8,1.12768E-08
-1.794,1.11561E-08
-1.788,1.11834E-08
-1.782,1.11129E-08
-1.776,1.11115E-08
-1.771,1.11267E-08
-1.765,1.11069E-08
-1.759,1.10653E-08
-1.753,1.09371E-08
-1.747,1.09585E-08
-1.741,1.08806E-08
-1.735,1.08818E-08
-1.729,1.08887E-08
-1.724,1.09441E-08
-1.718,1.08445E-08
-1.712,1.07634E-08
-1.706,1.07864E-08
-1.7,1.08145E-08
-1.694,1.06915E-08
-1.688,1.06469E-08
-1.682,1.05826E-08
-1.676,1.06487E-08
-1.671,1.06098E-08
-1.665,1.05832E-08
-1.659,1.05869E-08
-1.653,1.0513E-08
-1.647,1.04155E-08
-1.641,1.03733E-08
-1.635,1.04015E-08
-1.629,1.03437E-08
-1.624,1.03441E-08
-1.618,1.03073E-08
-1.612,1.02531E-08
-1.606,1.0231E-08
-1.6,1.01837E-08
-1.594,1.01637E-08
-1.588,1.01008E-08
-1.582,1.01684E-08
-1.576,1.01383E-08
-1.571,1.00296E-08
-1.565,9.87228E-09
-1.559,9.97421E-09
-1.553,9.95323E-09
-1.547,9.96733E-09
-1.541,9.93149E-09
-1.535,9.88196E-09
-1.529,9.80189E-09
-1.524,9.83243E-09
-1.518,9.77935E-09
-1.512,9.7295E-09
-1.506,9.70616E-09
-1.5,9.6606E-09
-1.494,9.59955E-09
-1.488,9.6662E-09
-1.482,9.5411E-09
-1.476,9.50521E-09
-1.471,9.48452E-09
-1.465,9.51256E-09
-1.459,9.45728E-09
-1.453,9.38118E-09
-1.447,9.35341E-09
-1.441,9.28887E-09
-1.435,9.31012E-09
-1.429,9.26385E-09
-1.424,9.25555E-09
-1.418,9.20617E-09
-1.412,9.1839E-09
-1.406,9.21366E-09
-1.4,9.07825E-09
-1.394,9.04903E-09
-1.388,9.05371E-09
-1.382,9.00083E-09
-1.376,8.94112E-09
-1.371,8.9248E-09
-1.365,8.87806E-09
-1.359,8.83533E-09
-1.353,8.84301E-09
-1.347,8.77938E-09
-1.341,8.75133E-09
-1.335,8.73164E-09
-1.329,8.63553E-09
-1.324,8.64631E-09
-1.318,8.63102E-09
-1.312,8.53927E-09
-1.306,8.52695E-09
-1.3,8.4951E-09
-1.294,8.45937E-09
-1.288,8.45501E-09
-1.282,8.39399E-09
-1.276,8.35137E-09
-1.271,8.30257E-09
-1.265,8.25706E-09
-1.259,8.18213E-09
-1.253,8.20515E-09
-1.247,8.1442E-09
-1.241,8.11306E-09
-1.235,8.07552E-09
-1.229,7.98016E-09
-1.224,8.04032E-09
-1.218,7.95201E-09
-1.212,7.94346E-09
-1.206,7.88113E-09
-1.2,7.84129E-09
-1.194,7.823E-09
-1.188,7.7766E-09
-1.182,7.77171E-09
-1.176,7.68711E-09
-1.171,7.67295E-09
-1.165,7.63719E-09
-1.159,7.57071E-09
-1.153,7.54952E-09
-1.147,7.53655E-09
-1.141,7.46759E-09
-1.135,7.39973E-09
-1.129,7.398E-09
-1.124,7.40604E-09
-1.118,7.2264E-09
-1.112,7.25585E-09
-1.106,7.2369E-09
-1.1,7.18457E-09
-1.094,7.15791E-09
-1.088,7.11688E-09
-1.082,7.06649E-09
-1.076,7.00812E-09
-1.071,7.02267E-09
-1.065,6.99874E-09
-1.059,6.90361E-09
-1.053,6.86279E-09
-1.047,6.84013E-09
-1.041,6.77758E-09
-1.035,6.74406E-09
-1.029,6.65306E-09
-1.024,6.63989E-09
-1.018,6.54464E-09
-1.012,6.60344E-09
-1.006,6.41639E-09
-1,6.47136E-09
-0.994,6.43481E-09
-0.988,6.44577E-09
-0.982,6.35774E-09
-0.976,6.31096E-09
-0.971,6.13719E-09
-0.965,6.25427E-09
-0.959,6.18755E-09
-0.953,6.17003E-09
-0.947,6.08215E-09
-0.941,5.98109E-09
-0.935,6.03763E-09
-0.929,5.99376E-09
-0.924,5.93312E-09
-0.918,5.95002E-09
-0.912,5.80377E-09
-0.906,5.81633E-09
-0.9,5.74446E-09
-0.894,5.7155E-09
-0.888,5.58277E-09
-0.882,5.56173E-09
-0.876,5.54396E-09
-0.871,5.48659E-09
-0.865,5.38817E-09
-0.859,5.428E-09
-0.853,5.28288E-09
-0.847,5.26903E-09
-0.841,5.28308E-09
-0.835,5.24014E-09
-0.829,5.14959E-09
-0.824,5.11882E-09
-0.818,5.02126E-09
-0.812,5.01983E-09
-0.806,4.983E-09
-0.8,4.92737E-09
-0.794,4.83379E-09
-0.788,4.80011E-09
-0.782,4.73146E-09
-0.776,4.66584E-09
-0.771,4.68411E-09
-0.765,4.58878E-09
-0.759,4.55521E-09
-0.753,4.54444E-09
-0.747,4.45653E-09
-0.741,4.47016E-09
-0.735,4.38839E-09
-0.729,4.31218E-09
-0.724,4.21914E-09
-0.718,4.16372E-09
-0.712,4.13139E-09
-0.706,4.07644E-09
-0.7,4.04762E-09
-0.694,4.00568E-09
-0.688,3.91998E-09
-0.682,3.9032E-09
-0.676,3.83836E-09
-0.671,3.81248E-09
-0.665,3.77349E-09
-0.659,3.71872E-09
-0.653,3.66184E-09
-0.647,3.61574E-09
-0.641,3.55962E-09
-0.635,3.46551E-09
-0.629,3.42611E-09
-0.624,3.39856E-09
-0.618,3.35192E-09
-0.612,3.29333E-09
-0.606,3.27402E-09
-0.6,3.19305E-09
-0.594,3.14304E-09
-0.588,3.0893E-09
-0.582,3.04949E-09
-0.576,2.96601E-09
-0.571,2.96074E-09
-0.565,2.91549E-09
-0.559,2.86628E-09
-0.553,2.83809E-09
-0.547,2.75557E-09
-0.541,2.71891E-09
-0.535,2.67591E-09
-0.529,2.62581E-09
-0.524,2.59991E-09
-0.518,2.55178E-09
-0.512,2.53308E-09
-0.506,2.44935E-09
-0.5,2.3969E-09
-0.494,2.35917E-09
-0.488,2.32644E-09
-0.482,2.27019E-09
-0.476,2.23382E-09
-0.471,2.19652E-09
-0.465,2.15755E-09
-0.459,2.13376E-09
-0.453,2.08364E-09
-0.447,2.05564E-09
-0.441,2.00484E-09
-0.435,1.96921E-09
-0.429,1.94824E-09
-0.424,1.91596E-09
-0.418,1.87211E-09
-0.412,1.84408E-09
-0.406,1.8052E-09
-0.4,1.77672E-09
-0.394,1.74895E-09
-0.388,1.69135E-09
-0.382,1.66885E-09
-0.376,1.64672E-09
-0.371,1.62858E-09
-0.365,1.60289E-09
-0.359,1.58739E-09
-0.353,1.57582E-09
-0.347,1.54319E-09
-0.341,1.50985E-09
-0.335,1.49889E-09
-0.329,1.4701E-09
-0.324,1.4516E-09
-0.318,1.4392E-09
-0.312,1.41201E-09
-0.306,1.40104E-09
-0.3,1.38286E-09
-0.294,1.36708E-09
-0.288,1.34883E-09
-0.282,1.3347E-09
-0.276,1.32423E-09
-0.271,1.31375E-09
-0.265,1.30016E-09
-0.259,1.2874E-09
-0.253,1.27854E-09
-0.247,1.26804E-09
-0.241,1.26076E-09
-0.235,1.25208E-09
-0.229,1.24407E-09
-0.224,1.23678E-09
-0.218,1.23248E-09
-0.212,1.22463E-09
-0.206,1.21835E-09
-0.2,1.2133E-09
-0.194,1.20878E-09
-0.188,1.20558E-09
-0.182,1.2022E-09
-0.176,1.1992E-09
-0.171,1.19813E-09
-0.165,1.19346E-09
-0.159,1.19183E-09
-0.153,1.19072E-09
-0.147,1.18965E-09
-0.141,1.18787E-09
-0.135,1.18772E-09
-0.129,1.18743E-09
-0.124,1.18551E-09
-0.118,1.18495E-09
-0.112,1.18405E-09
-0.106,1.18293E-09
-0.1,1.18449E-09
-0.094,1.18346E-09
-0.088,1.18285E-09
-0.082,1.18321E-09
-0.076,1.18317E-09
-0.071,1.18297E-09
-0.065,1.18276E-09
-0.059,1.18293E-09
-0.053,1.18207E-09
-0.047,1.18104E-09
-0.041,1.18246E-09
-0.035,1.18071E-09
-0.029,1.18153E-09
-0.024,1.18177E-09
-0.018,1.18219E-09
-0.012,1.1824E-09
-0.006,1.18297E-09
0,1.18185E-09
0.006,1.18241E-09
0.012,1.18198E-09
0.018,1.18215E-09
0.024,1.18136E-09
0.029,1.1815E-09
0.035,1.18183E-09
0.041,1.18177E-09
0.047,1.18129E-09
0.053,1.18195E-09
0.059,1.18164E-09
0.065,1.18146E-09
0.071,1.1817E-09
0.076,1.18055E-09
0.082,1.18185E-09
0.088,1.18148E-09
0.094,1.18219E-09
0.1,1.18139E-09
0.106,1.1812E-09
0.112,1.18154E-09
