Setup title,"I/V-t Sampling_250s_dark_-3V"
2.74067,-0.00056021
2.75065,-0.00056082
2.76068,-0.0005607
2.77068,-0.00056085
2.78064,-0.00056018
2.79147,-0.00056117
2.80067,-0.00056056
2.81064,-0.00056077
2.82209,-0.00056053
2.83067,-0.00056088
2.84064,-0.00056048
2.85084,-0.0005607
2.86064,-0.00056073
2.87069,-0.00056085
2.88063,-0.00056057
2.89064,-0.00056055
2.90087,-0.00056006
2.91068,-0.00056065
2.92064,-0.00056036
2.932,-0.00056097
2.94067,-0.00056047
2.95068,-0.00056067
2.96081,-0.00056057
2.97068,-0.00056093
2.98069,-0.00056103
2.99067,-0.00056105
3.00065,-0.00056062
3.01065,-0.00056079
3.02067,-0.00056048
3.03069,-0.0005602
3.04152,-0.00056067
3.05067,-0.00056105
3.06068,-0.00056087
3.07211,-0.00056096
3.08068,-0.00056035
3.09069,-0.0005605
3.10085,-0.00056071
3.11072,-0.00056117
3.12064,-0.00056056
3.13067,-0.00056053
3.14064,-0.00055999
3.15089,-0.00056108
3.16067,-0.00056058
3.17068,-0.00056082
3.18201,-0.00056054
3.19063,-0.00056123
3.20068,-0.00056033
3.21081,-0.00056076
3.22063,-0.00056072
3.23069,-0.00056052
3.24063,-0.00056061
3.25121,-0.0005612
3.26079,-0.00056103
3.27067,-0.00056082
3.28064,-0.0005608
3.2915,-0.00056076
3.30063,-0.00055974
3.31068,-0.0005609
3.32209,-0.00056077
3.33063,-0.00056081
3.34069,-0.00055987
3.35081,-0.00056095
3.36065,-0.00056121
3.37064,-0.00056127
3.38068,-0.00056106
3.39064,-0.0005613
3.40093,-0.00056069
3.41067,-0.00056152
3.42064,-0.00056062
3.43203,-0.00056094
3.44063,-0.00056079
3.45068,-0.00056149
3.4608,-0.00056128
3.47068,-0.00056131
3.48069,-0.00056022
3.49063,-0.00056109
3.50068,-0.00056124
3.51065,-0.00056127
3.52062,-0.00056182
3.53068,-0.00056134
3.54154,-0.00056069
3.55067,-0.00056091
3.56064,-0.00056042
3.57213,-0.00056102
3.58063,-0.00055964
3.59068,-0.00056038
3.60084,-0.00056018
3.61068,-0.00056074
3.62069,-0.00056065
3.63063,-0.00056114
3.64068,-0.00056072
3.65093,-0.00056108
3.66067,-0.00056062
3.67064,-0.00056152
3.68203,-0.00056102
3.69067,-0.00056165
3.70068,-0.00056058
3.71079,-0.00056173
3.72064,-0.00056072
3.73065,-0.00056131
3.74068,-0.00056062
3.75064,-0.00056107
3.76064,-0.00056127
3.77068,-0.00056095
3.78068,-0.0005607
3.79151,-0.00056116
3.80067,-0.00056075
3.81068,-0.00056111
3.8221,-0.00056062
3.83067,-0.00056115
3.84068,-0.00056096
3.85081,-0.00056164
3.86064,-0.00056097
3.87068,-0.00056169
3.88063,-0.00056121
3.89068,-0.0005611
3.90069,-0.00056156
3.91063,-0.00056107
3.92068,-0.00056046
3.93198,-0.00056116
3.94067,-0.00056131
3.95064,-0.00056136
3.96079,-0.00056092
3.97068,-0.00056153
3.98069,-0.0005613
3.99063,-0.0005615
4.00069,-0.00056125
4.01068,-0.00056122
4.02069,-0.00056122
4.03068,-0.00056118
4.04148,-0.00056167
4.05067,-0.00056178
4.06068,-0.00056094
4.07211,-0.00056104
4.08067,-0.00056116
4.09064,-0.00056121
4.10083,-0.00056165
4.11071,-0.00056171
4.12065,-0.00056099
4.13067,-0.00056156
4.14069,-0.0005612
4.15087,-0.00056115
4.16064,-0.0005609
4.17064,-0.00056141
4.18197,-0.00056127
4.19063,-0.00056144
4.20068,-0.00056098
4.21078,-0.00056095
4.22071,-0.00056095
4.23069,-0.00056148
4.24063,-0.00056145
4.25127,-0.00056087
4.26068,-0.00056131
4.27068,-0.00056141
4.28068,-0.00056111
4.29151,-0.00056111
4.30063,-0.00056121
4.31068,-0.0005621
4.32213,-0.00056173
4.33063,-0.00056253
4.34064,-0.00056146
4.35077,-0.00056155
4.36068,-0.00056107
4.37069,-0.00056215
4.38067,-0.00056155
4.39069,-0.00056222
4.40087,-0.00056114
4.41064,-0.00056166
4.42063,-0.0005617
4.43197,-0.00056184
4.44067,-0.00056136
4.45068,-0.00056167
4.46078,-0.00056119
4.47063,-0.00056171
4.48064,-0.00056131
4.49067,-0.00056205
4.50068,-0.0005611
4.51068,-0.00056188
4.52067,-0.00056123
4.53068,-0.00056187
4.54146,-0.00056181
4.55063,-0.00056233
4.56068,-0.00056155
4.57213,-0.00056148
4.58067,-0.00056144
4.59064,-0.0005624
4.60078,-0.0005619
4.61068,-0.00056161
4.62064,-0.00056127
4.63067,-0.0005617
4.64064,-0.00056133
4.65088,-0.00056131
4.66067,-0.00056113
4.67064,-0.00056197
4.682,-0.00056192
4.69067,-0.00056172
4.70064,-0.00056056
4.71077,-0.00056206
4.72068,-0.0005614
4.73068,-0.0005617
4.74067,-0.00056119
4.75068,-0.00056204
4.76068,-0.00056188
4.77067,-0.0005621
4.78068,-0.00056123
4.79146,-0.00056153
4.80063,-0.00056172
4.81064,-0.00056231
4.82214,-0.00056194
4.83063,-0.00056195
4.84068,-0.00056148
4.8508,-0.00056185
4.86068,-0.00056118
4.87068,-0.00056274
4.88068,-0.00056186
4.89068,-0.00056173
4.90093,-0.00056167
4.91068,-0.00056218
4.92068,-0.00056176
4.93174,-0.00056186
4.94064,-0.00056116
4.95068,-0.00056163
4.96077,-0.00056114
4.97068,-0.00056093
4.98068,-0.00056152
4.99063,-0.00056115
5.00064,-0.00056177
5.01064,-0.00056224
5.02067,-0.00056035
5.03068,-0.00056129
5.04149,-0.00056129
5.05063,-0.00056097
5.06068,-0.0005618
5.07207,-0.00056219
5.08063,-0.00056169
5.09068,-0.0005617
5.10077,-0.00056173
5.11068,-0.00056208
5.12068,-0.00056175
5.13067,-0.00056212
5.14064,-0.00056192
5.15093,-0.00056175
5.16063,-0.00056194
5.17064,-0.00056206
5.18198,-0.0005618
5.19068,-0.00056183
5.20068,-0.00056173
5.21077,-0.0005619
5.22068,-0.00056118
5.23068,-0.00056188
5.24067,-0.00056141
5.25068,-0.00056183
5.26069,-0.00056198
5.27067,-0.00056209
5.28068,-0.0005611
5.29146,-0.0005616
5.30067,-0.00056119
5.31064,-0.00056206
5.32213,-0.00056192
5.33068,-0.00056178
5.34068,-0.00056131
5.35081,-0.00056197
5.36068,-0.00056155
5.37068,-0.00056154
5.38068,-0.00056173
5.39068,-0.00056175
5.40064,-0.00056186
5.41063,-0.00056185
5.42068,-0.00056188
5.43176,-0.00056207
5.44064,-0.00056141
5.45064,-0.00056225
5.4608,-0.00056153
5.47068,-0.00056215
5.48068,-0.00056246
5.49067,-0.0005621
5.50068,-0.00056169
5.51067,-0.00056213
5.52067,-0.00056106
5.53068,-0.000562
5.5412,-0.00056141
5.55063,-0.00056227
5.56068,-0.00056176
5.57212,-0.00056156
5.58067,-0.00056217
5.59064,-0.00056185
5.60081,-0.00056146
5.61068,-0.00056215
5.62068,-0.00056128
5.63063,-0.00056186
5.64069,-0.00056222
5.65064,-0.00056207
5.66068,-0.00056173
5.67064,-0.00056224
5.68181,-0.00056183
5.69068,-0.00056215
5.70069,-0.00056133
5.71078,-0.00056257
5.72069,-0.00056183
5.73068,-0.00056175
5.74068,-0.00056202
5.75068,-0.00056215
5.76079,-0.00056201
5.77063,-0.00056211
5.78069,-0.00056215
5.79149,-0.00056199
5.80063,-0.00056114
5.81068,-0.00056219
5.82207,-0.00056196
5.83064,-0.00056225
5.84064,-0.00056161
5.85079,-0.0005625
5.86064,-0.00056124
5.87064,-0.00056215
5.88067,-0.00056179
5.89069,-0.00056156
5.90064,-0.00056237
5.91064,-0.0005618
5.92068,-0.00056249
5.93179,-0.00056196
5.94064,-0.00056174
5.95064,-0.00056202
5.96081,-0.00056196
5.97068,-0.00056205
5.98069,-0.0005613
5.99067,-0.00056217
6.00064,-0.00056193
6.01071,-0.00056241
6.02067,-0.00056207
6.03068,-0.00056283
6.04121,-0.00056253
6.05068,-0.00056236
6.06069,-0.00056217
6.07213,-0.00056173
6.08068,-0.00056217
6.09068,-0.00056243
6.1008,-0.00056206
6.11068,-0.00056227
6.12065,-0.00056184
6.13067,-0.00056193
6.14068,-0.00056212
6.15069,-0.0005617
6.16064,-0.00056194
6.17069,-0.00056173
6.18203,-0.00056211
6.19068,-0.0005625
6.20065,-0.0005613
6.21079,-0.00056217
6.22064,-0.00056162
6.23064,-0.00056154
6.24068,-0.00056192
6.25092,-0.00056224
6.2607,-0.00056176
6.27063,-0.00056187
6.28068,-0.00056119
6.29152,-0.000562
6.30063,-0.00056202
6.31068,-0.00056207
6.32212,-0.00056176
6.33068,-0.00056184
6.34065,-0.00056219
6.35089,-0.00056258
6.36064,-0.00056212
6.37064,-0.00056187
6.38068,-0.00056166
6.39068,-0.00056179
6.40069,-0.00056179
6.41068,-0.00056225
6.42068,-0.00056222
6.43178,-0.00056204
6.44064,-0.0005621
6.45068,-0.00056216
6.46085,-0.00056198
6.47069,-0.00056268
6.48094,-0.0005619
6.49068,-0.00056187
6.50068,-0.00056171
6.51069,-0.00056215
6.52067,-0.00056204
6.53064,-0.00056188
6.54152,-0.00056177
6.55068,-0.00056173
6.56068,-0.00056191
6.57214,-0.00056222
6.58064,-0.00056168
6.59068,-0.000562
6.60081,-0.00056183
6.61069,-0.00056237
6.62069,-0.00056179
6.63063,-0.00056201
6.64069,-0.0005619
6.65065,-0.0005616
6.66069,-0.00056148
6.67068,-0.00056179
6.68183,-0.00056156
6.69069,-0.00056163
6.70068,-0.00056154
6.71081,-0.00056203
6.72069,-0.00056205
6.73069,-0.00056199
6.74063,-0.00056212
6.75069,-0.00056235
6.76065,-0.00056187
6.77067,-0.00056223
6.78065,-0.00056182
6.79153,-0.00056239
6.80068,-0.000562
6.81068,-0.00056253
6.82209,-0.000562
6.83069,-0.00056249
6.84067,-0.00056208
6.85081,-0.00056202
6.86069,-0.00056168
6.87069,-0.00056203
6.88067,-0.00056217
6.89069,-0.00056251
6.90065,-0.0005619
6.91069,-0.0005617
6.92064,-0.00056207
6.93176,-0.0005625
6.94064,-0.00056206
6.95063,-0.00056278
6.96081,-0.00056219
6.97065,-0.00056246
6.98069,-0.00056202
6.99067,-0.00056227
7.00069,-0.00056215
7.01073,-0.00056259
7.02067,-0.00056218
7.03069,-0.00056185
7.04153,-0.00056194
7.05064,-0.00056165
7.06068,-0.00056227
7.07213,-0.00056222
7.08069,-0.00056155
7.09063,-0.00056222
7.10084,-0.00056182
7.11065,-0.00056224
7.12069,-0.00056188
7.13067,-0.00056268
7.14069,-0.00056237
7.15069,-0.00056227
7.16064,-0.00056241
7.17064,-0.00056215
7.18198,-0.00056188
7.19068,-0.00056194
7.20068,-0.00056185
7.21081,-0.00056168
7.22072,-0.00056229
7.23069,-0.00056246
7.24067,-0.00056158
7.25069,-0.00056251
7.26088,-0.00056205
7.27067,-0.00056217
7.28069,-0.00056212
7.29152,-0.00056206
7.30064,-0.00056256
7.31068,-0.00056199
7.32213,-0.00056262
7.33068,-0.00056205
7.34064,-0.00056261
7.35081,-0.00056261
7.36064,-0.00056219
7.37065,-0.00056188
7.38067,-0.00056197
7.39065,-0.00056192
7.40069,-0.00056226
7.41069,-0.00056204
7.42065,-0.00056246
7.43182,-0.00056219
7.44064,-0.00056212
7.45068,-0.00056274
7.46076,-0.00056298
7.47065,-0.00056266
7.48069,-0.00056277
7.49067,-0.00056259
7.50069,-0.00056234
7.51065,-0.00056259
7.52069,-0.00056245
7.53065,-0.00056197
7.54153,-0.00056227
7.55068,-0.00056207
7.56064,-0.00056212
7.57215,-0.0005624
7.58068,-0.0005619
7.59068,-0.00056199
7.60081,-0.00056222
7.61065,-0.00056254
7.62069,-0.00056242
7.63067,-0.00056265
7.64069,-0.0005623
7.65085,-0.00056276
7.66068,-0.00056276
7.67064,-0.00056277
7.68179,-0.00056298
7.69064,-0.00056259
7.70068,-0.00056263
7.7108,-0.00056173
7.72064,-0.00056271
7.73065,-0.0005619
7.74063,-0.00056249
7.75065,-0.00056229
7.76069,-0.00056234
7.77067,-0.0005624
7.78069,-0.00056234
7.7915,-0.00056357
7.80068,-0.00056316
7.81064,-0.00056281
7.82211,-0.00056246
7.83069,-0.00056239
7.84064,-0.00056212
7.85082,-0.00056222
7.86069,-0.00056228
7.87065,-0.00056229
7.88063,-0.00056193
7.89069,-0.00056212
7.90065,-0.0005621
7.91069,-0.00056241
7.92068,-0.00056244
7.93179,-0.00056259
7.94068,-0.00056229
7.95068,-0.00056282
7.96079,-0.00056184
7.97073,-0.00056261
7.98065,-0.00056193
7.99067,-0.00056185
8.00069,-0.00056212
8.01072,-0.00056222
8.02067,-0.00056185
8.03065,-0.00056208
8.04153,-0.00056211
8.05064,-0.00056213
8.06068,-0.0005615
8.07215,-0.0005626
8.08068,-0.00056237
8.09064,-0.00056269
8.10081,-0.0005628
8.11069,-0.00056232
8.12069,-0.00056194
8.13063,-0.00056272
8.14069,-0.00056245
8.15093,-0.00056239
8.16064,-0.00056219
8.17064,-0.00056188
8.18182,-0.00056262
8.19068,-0.00056249
8.20064,-0.00056228
8.21085,-0.00056264
8.22069,-0.00056148
8.23069,-0.00056275
8.24067,-0.00056159
8.25069,-0.00056185
8.26076,-0.000562
8.27067,-0.00056305
8.28069,-0.00056251
8.29152,-0.0005627
8.30064,-0.00056261
8.31068,-0.00056276
8.32211,-0.00056234
8.33068,-0.0005627
8.34091,-0.00056241
8.35081,-0.00056285
8.36069,-0.00056315
8.37065,-0.00056239
8.38067,-0.00056178
8.39069,-0.00056265
8.40093,-0.00056193
8.41064,-0.00056234
8.42068,-0.00056221
8.43178,-0.00056195
8.44064,-0.0005621
8.45093,-0.00056171
8.46081,-0.00056195
8.47069,-0.0005621
8.48065,-0.00056258
8.49063,-0.00056224
8.50127,-0.00056218
8.51074,-0.00056191
8.52063,-0.00056233
8.53069,-0.00056273
8.54152,-0.00056218
8.55068,-0.00056239
8.56068,-0.00056289
8.57214,-0.00056249
8.58064,-0.00056219
8.59068,-0.00056279
8.60078,-0.00056273
8.61064,-0.00056222
8.62069,-0.00056217
8.63067,-0.00056246
8.64069,-0.0005624
8.65089,-0.00056281
8.66068,-0.00056292
8.67068,-0.00056239
8.68184,-0.00056261
8.69064,-0.000562
8.70068,-0.00056239
8.71083,-0.00056219
8.72065,-0.00056237
8.73065,-0.00056237
8.74067,-0.0005623
8.75064,-0.00056222
8.76065,-0.00056267
8.77067,-0.00056196
8.78065,-0.00056222
8.79146,-0.00056233
8.80068,-0.0005626
8.81064,-0.00056253
8.82208,-0.00056232
8.83068,-0.00056228
8.84073,-0.00056229
8.8508,-0.00056236
8.86069,-0.00056234
8.87069,-0.00056177
8.88067,-0.0005624
8.89069,-0.00056266
8.90069,-0.00056289
8.91069,-0.00056312
8.92068,-0.00056292
8.93178,-0.00056236
8.94068,-0.00056268
8.95068,-0.00056281
8.96081,-0.00056245
8.97069,-0.00056253
8.98065,-0.00056288
8.99067,-0.00056254
9.00069,-0.00056276
9.01069,-0.00056271
9.02067,-0.00056234
9.03069,-0.00056234
9.04122,-0.00056274
9.05069,-0.00056239
9.06065,-0.00056238
9.07209,-0.00056236
9.08064,-0.00056212
9.09068,-0.0005626
9.1008,-0.00056253
9.11065,-0.00056256
9.12065,-0.0005624
9.13067,-0.00056242
9.14069,-0.00056219
9.1509,-0.00056263
9.16068,-0.00056286
9.17068,-0.00056305
9.18184,-0.00056288
9.19068,-0.0005624
9.20068,-0.00056295
9.21078,-0.00056253
9.22064,-0.00056296
9.23065,-0.00056224
9.24063,-0.00056232
9.25065,-0.00056239
9.26069,-0.00056234
9.27067,-0.00056268
9.28069,-0.00056278
9.29153,-0.00056217
9.30064,-0.00056178
9.31064,-0.00056258
9.32208,-0.00056259
9.33064,-0.00056218
9.34068,-0.00056227
9.3508,-0.00056229
9.36068,-0.00056238
9.37064,-0.00056254
9.38063,-0.00056234
9.39069,-0.0005621
9.40087,-0.00056258
9.41068,-0.00056257
9.42064,-0.00056243
9.43206,-0.00056209
9.44064,-0.00056258
9.45064,-0.00056224
9.46078,-0.00056203
9.47065,-0.00056251
9.48069,-0.00056266
9.49069,-0.00056293
9.50111,-0.00056273
9.51069,-0.0005623
9.52063,-0.00056264
9.53065,-0.00056321
9.54157,-0.00056235
9.55064,-0.00056239
9.56068,-0.00056257
9.57212,-0.00056251
9.58064,-0.00056272
