Setup title,"I/V Sweep"
Classic test name,"I/V Sweep"
Test date,3/29/2023
Test time,15:33:42
Device ID,
Count,1
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,1
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.1
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.1,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,6
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,6
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.99E-11
0.01,9.3E-12
0.02,6E-13
0.03,-2.6E-12
0.04,-7.5E-12
0.05,-2.31E-11
0.06,-2.13E-11
0.07,-5.7E-12
0.08,5.9E-12
0.09,1.78E-11
0.1,3.52E-11
0.11,1.2E-11
0.12,2.33E-11
0.13,1.91E-11
0.14,2.8E-12
0.15,-7.5E-12
0.16,-1.11E-11
0.17,-1.63E-11
0.18,8.5E-12
0.19,2.3E-12
0.2,-1.3E-12
0.21,-4E-12
0.22,1.75E-11
0.23,1.42E-11
0.24,1.96E-11
0.25,1.8E-11
0.26,1.65E-11
0.27,-5E-13
0.28,-3E-12
0.29,-7.9E-12
0.3,-1.62E-11
0.31,8.1E-12
0.32,1E-12
0.33,-1E-12
0.34,1.66E-11
0.35,1.7E-11
0.36,1.6E-11
0.37,1.39E-11
0.38,1.57E-11
0.39,1.11E-11
0.4,2.7E-12
0.41,-2.3E-12
0.42,-2.8E-12
0.43,-1.18E-11
0.44,3.23E-11
0.45,2.68E-11
0.46,-1.03E-11
0.47,-1.97E-11
0.48,-2.25E-11
0.49,2.28E-11
0.5,2.77E-11
0.51,2.29E-11
0.52,2.94E-11
0.53,3.2E-11
0.54,3.49E-11
0.55,2.48E-11
0.56,3.9E-12
0.57,-7.5E-12
0.58,1.34E-11
0.59,1.53E-11
0.6,1.99E-11
0.61,3.25E-11
0.62,1.48E-11
0.63,3.5E-11
0.64,3.13E-11
0.65,1.93E-11
0.66,5E-13
0.67,-5E-13
0.68,-1.6E-12
0.69,-4E-13
0.7,-7.1E-12
0.71,5.8E-12
0.72,1.74E-11
0.73,2.87E-11
0.74,1.16E-11
0.75,3.16E-11
0.76,3.82E-11
0.77,2.87E-11
0.78,1.1E-11
0.79,-1E-13
0.8,4.5E-12
0.81,-5E-13
0.82,-1.06E-11
0.83,7.9E-12
0.84,1.45E-11
0.85,2.18E-11
0.86,2.72E-11
0.87,1.54E-11
0.88,1.96E-11
0.89,2.65E-11
0.9,2.9E-11
0.91,3.3E-11
0.92,-1.81E-11
0.93,7.1E-12
0.94,-1.75E-11
0.95,-6.2E-12
0.96,1.18E-11
0.97,1.76E-11
0.98,2.45E-11
0.99,3.57E-11
1,3.55E-11
1,-1.14E-11
0.99,-2.44E-11
0.98,-2.23E-11
0.97,-3.7E-12
0.96,1.14E-11
0.95,2.17E-11
0.94,-1.7E-12
0.93,-6.6E-12
0.92,1.05E-11
0.91,-2.8E-12
0.9,-1.46E-11
0.89,-3.5E-12
0.88,-8E-12
0.87,-2.43E-11
0.86,-1.36E-11
0.85,2.8E-12
0.84,1.13E-11
0.83,1.33E-11
0.82,1.08E-11
0.81,1.2E-12
0.8,2E-13
0.79,-7.8E-12
0.78,-1.51E-11
0.77,-6.5E-12
0.76,-1.36E-11
0.75,-2.44E-11
0.74,-9.9E-12
0.73,3.5E-12
0.72,9.6E-12
0.71,6.4E-12
0.7,1.74E-11
0.69,5.1E-12
0.68,-5.9E-12
0.67,-8.3E-12
0.66,-1.25E-11
0.65,-8.8E-12
0.64,-1.66E-11
0.63,-2.06E-11
0.62,-2.2E-12
0.61,5.9E-12
0.6,6.8E-12
0.59,7.2E-12
0.58,5.1E-12
0.57,-6.3E-12
0.56,-8.6E-12
0.55,-1.64E-11
0.54,4.2E-12
0.53,-1.7E-12
0.52,-3E-12
0.51,-1.9E-11
0.5,-2.13E-11
0.49,-2.27E-11
0.48,2.7E-12
0.47,9E-12
0.46,1.19E-11
0.45,1.91E-11
0.44,4.5E-12
0.43,2.51E-11
0.42,2.29E-11
0.41,4.6E-12
0.4,-1E-13
0.39,-1.2E-11
0.38,-7.7E-12
0.37,-1.49E-11
0.36,7.6E-12
0.35,8.6E-12
0.34,1.16E-11
0.33,4.7E-12
0.32,7E-12
0.31,2.3E-11
0.3,1.29E-11
0.29,-6.4E-12
0.28,-5.6E-12
0.27,-1.04E-11
0.26,-8.2E-12
0.25,-1.55E-11
0.24,1.9E-12
0.23,1.37E-11
0.22,1.83E-11
0.21,8.2E-12
0.2,1.37E-11
0.19,1.46E-11
0.18,-5.3E-12
0.17,-7.6E-12
0.16,-9.3E-12
0.15,-2.14E-11
0.14,2.04E-11
0.13,6.1E-12
0.12,-2.34E-11
0.11,-2.55E-11
0.1,-2.08E-11
0.09,7.1E-12
0.08,7.8E-12
0.07,-1.8E-12
0.06,-7.4E-12
0.05,-1.05E-11
