Setup title,"I/V-t Sampling_500s_dark_3V"
2.54206,1.8516E-05
2.55063,1.8492E-05
2.56064,1.8497E-05
2.57096,1.8434E-05
2.58068,1.8516E-05
2.59068,1.8501E-05
2.60067,1.8437E-05
2.61064,1.8442E-05
2.62064,1.844E-05
2.63068,1.8443E-05
2.64064,1.8429E-05
2.65194,1.8458E-05
2.66064,1.8425E-05
2.67064,1.85E-05
2.68081,1.8437E-05
2.69068,1.844E-05
2.70068,1.844E-05
2.71067,1.8413E-05
2.72068,1.844E-05
2.73068,1.8461E-05
2.74067,1.8498E-05
2.75064,1.8493E-05
2.7614,1.8487E-05
2.77063,1.8447E-05
2.78068,1.8483E-05
2.79204,1.8473E-05
2.80068,1.8486E-05
2.81064,1.8427E-05
2.82094,1.8553E-05
2.83068,1.8527E-05
2.84064,1.8559E-05
2.85068,1.8572E-05
2.86064,1.8587E-05
2.8709,1.8548E-05
2.88067,1.8536E-05
2.89064,1.8541E-05
2.9017,1.864E-05
2.91063,1.8587E-05
2.92064,1.8605E-05
2.93077,1.8579E-05
2.94068,1.8566E-05
2.95068,1.8556E-05
2.96068,1.8576E-05
2.97068,1.8596E-05
2.98068,1.8613E-05
2.99062,1.8606E-05
3.00068,1.8599E-05
3.01136,1.8545E-05
3.02067,1.8529E-05
3.03069,1.8552E-05
3.04207,1.8579E-05
3.05068,1.8557E-05
3.06064,1.8499E-05
3.07093,1.8501E-05
3.08064,1.8505E-05
3.09068,1.8473E-05
3.10063,1.8517E-05
3.11068,1.851E-05
3.12088,1.8622E-05
3.13067,1.8585E-05
3.14068,1.8558E-05
3.1517,1.8538E-05
3.16064,1.8608E-05
3.17068,1.8639E-05
3.18081,1.853E-05
3.19064,1.857E-05
3.20069,1.857E-05
3.21067,1.8526E-05
3.22064,1.8532E-05
3.23064,1.8494E-05
3.24067,1.8505E-05
3.25064,1.8509E-05
3.26136,1.8501E-05
3.27067,1.8519E-05
3.28064,1.8549E-05
3.29208,1.8496E-05
3.30063,1.8494E-05
3.31064,1.8527E-05
3.32088,1.8417E-05
3.33064,1.8485E-05
3.34093,1.8456E-05
3.35064,1.8544E-05
3.36064,1.8453E-05
3.37092,1.8458E-05
3.38067,1.8486E-05
3.39068,1.8451E-05
3.40164,1.8548E-05
3.41063,1.856E-05
3.42064,1.8386E-05
3.43081,1.8431E-05
3.44068,1.8536E-05
3.45064,1.8463E-05
3.46064,1.8515E-05
3.47068,1.8497E-05
3.48068,1.8532E-05
3.49063,1.8537E-05
3.50064,1.8541E-05
3.51141,1.8519E-05
3.52067,1.8511E-05
3.53068,1.8511E-05
3.542,1.8577E-05
3.55067,1.8527E-05
3.56084,1.8593E-05
3.57089,1.857E-05
3.58072,1.8563E-05
3.59064,1.8492E-05
3.60068,1.847E-05
3.61068,1.8538E-05
3.62088,1.8511E-05
3.63064,1.8486E-05
3.64064,1.8469E-05
3.65191,1.8512E-05
3.66064,1.85E-05
3.67068,1.8487E-05
3.68078,1.8532E-05
3.69068,1.8517E-05
3.70064,1.8457E-05
3.71067,1.8518E-05
3.72064,1.8563E-05
3.73092,1.85E-05
3.74068,1.8535E-05
3.75068,1.8523E-05
3.76141,1.8542E-05
3.77068,1.8522E-05
3.78064,1.8536E-05
3.79196,1.8518E-05
3.80068,1.8527E-05
3.81069,1.8533E-05
3.82089,1.8545E-05
3.83064,1.8596E-05
3.84064,1.8519E-05
3.85068,1.8534E-05
3.86069,1.851E-05
3.87094,1.8508E-05
3.88068,1.8527E-05
3.89064,1.8522E-05
3.90166,1.8551E-05
3.91064,1.8524E-05
3.92068,1.849E-05
3.93086,1.8524E-05
3.94069,1.8527E-05
3.95069,1.8534E-05
3.96067,1.8547E-05
3.97064,1.8522E-05
3.98094,1.8539E-05
3.99064,1.8516E-05
4.00068,1.8537E-05
4.0114,1.8524E-05
4.02068,1.8537E-05
4.03064,1.8512E-05
4.04206,1.8525E-05
4.05064,1.8522E-05
4.06064,1.8511E-05
4.07097,1.8531E-05
4.08065,1.8533E-05
4.09077,1.8513E-05
4.10067,1.8527E-05
4.11069,1.8519E-05
4.12076,1.853E-05
4.13068,1.8513E-05
4.14068,1.8524E-05
4.15168,1.8533E-05
4.16068,1.8556E-05
4.17067,1.8541E-05
4.18081,1.856E-05
4.19064,1.8524E-05
4.20068,1.8508E-05
4.21064,1.8516E-05
4.22069,1.8519E-05
4.23067,1.8527E-05
4.24068,1.8454E-05
4.25065,1.8425E-05
4.26116,1.8538E-05
4.27068,1.8581E-05
4.28067,1.852E-05
4.29203,1.8542E-05
4.30069,1.8535E-05
4.31064,1.855E-05
4.32096,1.8563E-05
4.33064,1.8527E-05
4.34065,1.8541E-05
4.35063,1.8551E-05
4.36069,1.8582E-05
4.37091,1.8576E-05
4.38067,1.855E-05
4.39069,1.8549E-05
4.40166,1.8539E-05
4.41068,1.8525E-05
4.42068,1.8544E-05
4.43083,1.8541E-05
4.44068,1.8558E-05
4.45065,1.852E-05
4.46067,1.854E-05
4.47069,1.852E-05
4.48065,1.8541E-05
4.49067,1.8552E-05
4.50065,1.8436E-05
4.51138,1.8524E-05
4.52064,1.8524E-05
4.53068,1.8544E-05
4.54201,1.8541E-05
4.55068,1.8503E-05
4.56068,1.8522E-05
4.57091,1.8492E-05
4.58067,1.8486E-05
4.59065,1.8552E-05
4.60067,1.8559E-05
4.61069,1.8579E-05
4.62069,1.852E-05
4.63068,1.8522E-05
4.64068,1.8503E-05
4.65191,1.8526E-05
4.66068,1.8525E-05
4.67068,1.8531E-05
4.68081,1.8562E-05
4.69068,1.8476E-05
4.70069,1.8557E-05
4.71063,1.852E-05
4.72068,1.8522E-05
4.73068,1.8499E-05
4.74063,1.8518E-05
4.75065,1.8544E-05
4.76134,1.8504E-05
4.77068,1.8482E-05
4.78068,1.8523E-05
4.79205,1.8527E-05
4.80064,1.8545E-05
4.81068,1.8544E-05
4.82095,1.8516E-05
4.83068,1.8534E-05
4.84064,1.8555E-05
4.85067,1.8527E-05
4.86069,1.8549E-05
4.87076,1.8556E-05
4.88068,1.8557E-05
4.89068,1.8527E-05
4.90162,1.8539E-05
4.91064,1.8474E-05
4.92064,1.8513E-05
4.93081,1.8457E-05
4.94068,1.8449E-05
4.95064,1.8506E-05
4.96084,1.8517E-05
4.97069,1.846E-05
4.98067,1.8508E-05
4.99064,1.85E-05
5.00069,1.8552E-05
5.01137,1.8511E-05
5.02065,1.8531E-05
5.03068,1.851E-05
5.04203,1.8527E-05
5.05068,1.853E-05
5.06068,1.8524E-05
5.07094,1.8552E-05
5.08065,1.8519E-05
5.09069,1.8523E-05
5.10063,1.8519E-05
5.11069,1.8549E-05
5.12093,1.8541E-05
5.13068,1.8485E-05
5.14068,1.8504E-05
5.15171,1.8511E-05
5.16068,1.8527E-05
5.17065,1.8534E-05
5.18077,1.8521E-05
5.19064,1.8541E-05
5.20068,1.8549E-05
5.21064,1.8549E-05
5.22068,1.8598E-05
5.23087,1.8553E-05
5.24067,1.8477E-05
5.25068,1.8474E-05
5.26137,1.8544E-05
5.27069,1.8602E-05
5.28064,1.8593E-05
5.29201,1.8564E-05
5.30063,1.8574E-05
5.31064,1.8611E-05
5.32088,1.8623E-05
5.33064,1.862E-05
5.34068,1.8571E-05
5.35063,1.8569E-05
5.36068,1.8561E-05
5.37074,1.8565E-05
5.38067,1.8547E-05
5.39068,1.8565E-05
5.40185,1.8555E-05
5.41067,1.8539E-05
5.42068,1.857E-05
5.43083,1.8537E-05
5.44067,1.8567E-05
5.45064,1.8519E-05
5.46068,1.8568E-05
5.47068,1.8527E-05
5.48065,1.8533E-05
5.49064,1.8522E-05
5.50064,1.8576E-05
5.5114,1.8535E-05
5.52064,1.8563E-05
5.53064,1.8571E-05
5.54201,1.851E-05
5.55064,1.8498E-05
5.56068,1.8538E-05
5.57087,1.852E-05
5.58068,1.8612E-05
5.59064,1.8568E-05
5.60063,1.856E-05
5.61068,1.8607E-05
5.62094,1.8562E-05
5.63064,1.855E-05
5.64068,1.8607E-05
5.65188,1.8539E-05
5.66064,1.8544E-05
5.67064,1.8527E-05
5.68084,1.859E-05
5.69068,1.8593E-05
5.70068,1.8581E-05
5.71067,1.8575E-05
5.72068,1.8549E-05
5.73065,1.865E-05
5.74067,1.8637E-05
5.75064,1.86E-05
5.76138,1.8633E-05
5.77063,1.8627E-05
5.78064,1.8648E-05
5.79194,1.8649E-05
5.80063,1.861E-05
5.81064,1.8656E-05
5.8209,1.8622E-05
5.83064,1.8574E-05
5.84064,1.8557E-05
5.85068,1.867E-05
5.86064,1.8546E-05
5.87089,1.8657E-05
5.88068,1.8652E-05
5.89064,1.865E-05
5.90192,1.8685E-05
5.91068,1.8689E-05
5.92068,1.865E-05
5.9308,1.862E-05
5.94064,1.872E-05
5.95068,1.8647E-05
5.96068,1.8703E-05
5.97064,1.8742E-05
5.98068,1.8706E-05
5.99068,1.8609E-05
6.00068,1.8671E-05
6.01135,1.8645E-05
6.02067,1.8724E-05
6.03068,1.8795E-05
6.04201,1.8794E-05
6.05068,1.8782E-05
6.06068,1.8817E-05
6.07096,1.8787E-05
6.08064,1.8794E-05
6.09068,1.8839E-05
6.10064,1.8806E-05
6.11068,1.8814E-05
6.1208,1.8853E-05
6.13068,1.8855E-05
6.14068,1.8862E-05
6.15189,1.8798E-05
6.16063,1.8811E-05
6.17068,1.8833E-05
6.18084,1.8845E-05
6.19068,1.8809E-05
6.20068,1.8809E-05
6.21063,1.876E-05
6.22064,1.8782E-05
6.23064,1.8772E-05
6.24067,1.8798E-05
6.25068,1.8807E-05
6.26144,1.8811E-05
6.27064,1.8827E-05
6.28064,1.8806E-05
6.292,1.8808E-05
6.30068,1.8814E-05
6.31064,1.8817E-05
6.32088,1.8815E-05
6.33068,1.8784E-05
6.34064,1.882E-05
6.35063,1.8799E-05
6.36064,1.8799E-05
6.37079,1.8813E-05
6.38063,1.8832E-05
6.39068,1.8821E-05
6.40181,1.8886E-05
6.41068,1.8847E-05
6.42064,1.879E-05
6.43078,1.8836E-05
6.44072,1.8823E-05
6.45064,1.882E-05
6.46082,1.8889E-05
6.47068,1.8864E-05
6.48068,1.8863E-05
6.49063,1.8877E-05
6.50068,1.8879E-05
6.51133,1.8799E-05
6.52067,1.8753E-05
6.53068,1.8825E-05
6.54204,1.8718E-05
6.55068,1.8698E-05
6.56068,1.8704E-05
6.57089,1.889E-05
6.58068,1.8817E-05
6.59064,1.8886E-05
6.60068,1.8883E-05
6.61068,1.8868E-05
6.62087,1.8831E-05
6.63063,1.8913E-05
6.64068,1.8899E-05
6.65191,1.8844E-05
6.66068,1.8869E-05
6.67068,1.8861E-05
6.6808,1.8882E-05
6.69064,1.8887E-05
6.70068,1.8877E-05
6.71067,1.8859E-05
6.72068,1.8935E-05
6.73069,1.8882E-05
6.74063,1.8901E-05
6.75068,1.8894E-05
6.76115,1.889E-05
6.77068,1.8889E-05
6.78068,1.8891E-05
6.79205,1.8884E-05
6.80064,1.8877E-05
6.81068,1.8899E-05
6.82079,1.8884E-05
6.83064,1.8886E-05
6.84068,1.882E-05
6.85064,1.889E-05
6.86064,1.8881E-05
6.87088,1.891E-05
6.88064,1.8902E-05
6.89068,1.8897E-05
6.90166,1.89E-05
6.91068,1.891E-05
6.92064,1.8903E-05
6.93077,1.8896E-05
6.94068,1.8893E-05
6.95068,1.8904E-05
6.96083,1.8902E-05
6.97068,1.873E-05
6.98069,1.8752E-05
6.99063,1.8853E-05
7.00064,1.8885E-05
7.01137,1.8857E-05
7.02065,1.8861E-05
7.03068,1.8855E-05
7.042,1.8817E-05
7.05068,1.8874E-05
7.06068,1.8814E-05
7.07095,1.8861E-05
7.08071,1.8898E-05
7.09064,1.8886E-05
7.10067,1.8748E-05
7.11064,1.8805E-05
7.12086,1.882E-05
7.13068,1.8834E-05
7.14068,1.8806E-05
7.15166,1.8801E-05
7.16068,1.8869E-05
7.17068,1.8853E-05
7.18081,1.8834E-05
7.19068,1.8858E-05
7.20068,1.8834E-05
7.21067,1.8833E-05
7.22068,1.8862E-05
7.23069,1.879E-05
7.24063,1.878E-05
7.25068,1.8768E-05
7.26146,1.8771E-05
7.27064,1.8776E-05
7.28068,1.8831E-05
7.29204,1.8821E-05
7.30068,1.8824E-05
7.31068,1.8791E-05
7.32096,1.8844E-05
7.33064,1.8845E-05
7.34064,1.8835E-05
7.35067,1.8831E-05
7.36068,1.8879E-05
7.37084,1.8866E-05
7.38068,1.8795E-05
7.39064,1.8806E-05
7.40164,1.8819E-05
7.41068,1.8802E-05
7.42068,1.8812E-05
7.43081,1.8762E-05
7.44064,1.8818E-05
7.45068,1.8874E-05
7.46062,1.8867E-05
7.47068,1.8781E-05
7.48068,1.8785E-05
7.49063,1.8788E-05
7.50064,1.8768E-05
7.51137,1.8785E-05
7.52069,1.8768E-05
7.53068,1.8784E-05
7.542,1.8781E-05
7.55068,1.8835E-05
7.56068,1.8853E-05
7.57091,1.8816E-05
7.58064,1.8802E-05
7.59068,1.8861E-05
7.60067,1.879E-05
7.61064,1.8765E-05
7.62064,1.8768E-05
7.63068,1.8787E-05
7.64064,1.879E-05
7.65188,1.8869E-05
7.66063,1.8822E-05
7.67068,1.8806E-05
7.68082,1.8783E-05
7.69068,1.8827E-05
7.70068,1.882E-05
7.71063,1.8782E-05
7.72068,1.8754E-05
7.73066,1.876E-05
7.74062,1.8809E-05
7.75068,1.8781E-05
7.76133,1.876E-05
7.77063,1.8767E-05
7.78068,1.8777E-05
7.79197,1.8735E-05
7.80064,1.8664E-05
7.81064,1.8786E-05
7.82096,1.8806E-05
7.83067,1.8826E-05
7.84069,1.8793E-05
7.85067,1.8804E-05
7.86068,1.8813E-05
7.87068,1.883E-05
7.88064,1.8787E-05
7.89068,1.8803E-05
7.90178,1.8805E-05
7.91065,1.8832E-05
7.92064,1.8803E-05
7.93079,1.8826E-05
7.94068,1.8752E-05
7.95068,1.8775E-05
7.96082,1.8768E-05
7.97064,1.8783E-05
7.98068,1.8769E-05
7.99067,1.8776E-05
8.00064,1.8784E-05
8.01137,1.8765E-05
8.02068,1.8777E-05
8.03068,1.8794E-05
8.04193,1.8793E-05
8.05068,1.8801E-05
8.06064,1.878E-05
8.07095,1.8809E-05
8.08071,1.8784E-05
8.09068,1.88E-05
8.10067,1.88E-05
8.11064,1.8791E-05
8.12089,1.8801E-05
8.13068,1.8796E-05
8.14068,1.8741E-05
8.15178,1.878E-05
8.16065,1.8759E-05
8.17068,1.879E-05
8.1808,1.8793E-05
8.19064,1.8795E-05
8.20068,1.8761E-05
8.21082,1.8772E-05
8.22068,1.8757E-05
8.23064,1.8777E-05
8.24063,1.8738E-05
8.25068,1.8777E-05
8.26131,1.8773E-05
8.27064,1.8779E-05
8.28064,1.8787E-05
8.29197,1.8786E-05
8.30064,1.8796E-05
8.31068,1.8836E-05
8.32095,1.8852E-05
8.33068,1.8804E-05
8.34068,1.8798E-05
8.35067,1.8842E-05
8.36064,1.8795E-05
8.37088,1.8795E-05
8.38068,1.8802E-05
8.39064,1.8803E-05
8.4018,1.8784E-05
8.41068,1.883E-05
8.42068,1.8814E-05
8.43079,1.8745E-05
8.44068,1.8743E-05
8.45068,1.8773E-05
8.46063,1.8771E-05
8.47068,1.8775E-05
8.48064,1.8738E-05
8.49062,1.8745E-05
8.50068,1.8732E-05
8.51138,1.8814E-05
8.52064,1.8818E-05
8.53069,1.8806E-05
8.54196,1.8823E-05
8.55063,1.8801E-05
8.56064,1.8744E-05
8.57088,1.8794E-05
8.58064,1.8803E-05
8.59069,1.8836E-05
8.60067,1.8835E-05
8.61068,1.8822E-05
8.62068,1.8834E-05
8.63063,1.8842E-05
8.64068,1.8806E-05
8.65169,1.8805E-05
8.66068,1.8798E-05
8.67068,1.8783E-05
8.6808,1.8786E-05
8.69068,1.8851E-05
8.70068,1.8805E-05
8.71063,1.8812E-05
8.72064,1.8818E-05
8.73086,1.8836E-05
8.74064,1.8825E-05
8.75068,1.8839E-05
8.76112,1.8816E-05
8.77069,1.8815E-05
8.78068,1.8814E-05
8.79202,1.8842E-05
8.80068,1.8812E-05
8.81068,1.8828E-05
8.82096,1.8821E-05
8.83063,1.8841E-05
8.84092,1.8833E-05
8.85063,1.8828E-05
8.86065,1.8827E-05
8.8709,1.8809E-05
8.88068,1.8814E-05
8.89064,1.8847E-05
8.90159,1.8845E-05
8.91065,1.8817E-05
