Setup title,"I/V-t Sampling_50s_dark_3V"
0.48067,1.9813E-05
0.49068,1.9843E-05
0.50088,1.9844E-05
0.51063,1.9822E-05
0.52068,1.9835E-05
0.53063,1.981E-05
0.54068,1.9831E-05
0.55067,1.9838E-05
0.56068,1.9828E-05
0.57067,1.984E-05
0.58184,1.9844E-05
0.59067,1.985E-05
0.60068,1.9848E-05
0.61083,1.9852E-05
0.62068,1.9838E-05
0.63068,1.9835E-05
0.64067,1.9818E-05
0.65064,1.9805E-05
0.66067,1.9814E-05
0.67064,1.9833E-05
0.68063,1.984E-05
0.69106,1.9855E-05
0.70067,1.9817E-05
0.71068,1.9826E-05
0.72202,1.9835E-05
0.73068,1.9846E-05
0.74068,1.9834E-05
0.75088,1.9823E-05
0.76068,1.9828E-05
0.77068,1.9822E-05
0.78063,1.9805E-05
0.79068,1.9833E-05
0.80092,1.9796E-05
0.81068,1.9826E-05
0.82063,1.9805E-05
0.83186,1.9848E-05
0.84069,1.9838E-05
0.85068,1.9846E-05
0.86077,1.9825E-05
0.87068,1.9846E-05
0.88068,1.9906E-05
0.89062,1.9876E-05
0.90064,1.9876E-05
0.91068,1.9846E-05
0.92067,1.9849E-05
0.93068,1.9868E-05
0.94132,1.9872E-05
0.95069,1.9837E-05
0.96068,1.9859E-05
0.97198,1.9843E-05
0.98067,1.9906E-05
0.99068,1.9874E-05
1.0009,1.9878E-05
1.01064,1.9887E-05
1.02068,1.9872E-05
1.03067,1.9858E-05
1.04068,1.9854E-05
1.05093,1.987E-05
1.06068,1.9816E-05
1.07064,1.9833E-05
1.08191,1.9893E-05
1.09067,1.9838E-05
1.10064,1.9901E-05
1.11079,1.989E-05
1.12068,1.9868E-05
1.13068,1.9848E-05
1.14067,1.9836E-05
1.15068,1.992E-05
1.16091,1.989E-05
1.17064,1.9869E-05
1.18068,1.9894E-05
1.19114,1.9875E-05
1.20067,1.9873E-05
1.21064,1.9944E-05
1.22197,1.9876E-05
1.23068,1.9902E-05
1.24064,1.9884E-05
1.25088,1.9898E-05
1.26067,1.9828E-05
1.27068,1.9846E-05
1.28067,1.9799E-05
1.29068,1.9909E-05
1.30086,1.9888E-05
1.31068,1.9933E-05
1.32064,1.9939E-05
1.33186,1.9833E-05
1.34067,1.9868E-05
1.35068,1.995E-05
1.36083,1.9992E-05
1.37068,1.9949E-05
1.38063,1.9972E-05
1.39068,1.9909E-05
1.40068,1.9912E-05
1.41079,1.9919E-05
1.42067,1.9939E-05
1.43068,1.9944E-05
1.44116,1.9948E-05
1.45063,1.9915E-05
1.46064,1.9904E-05
1.47205,1.9961E-05
1.48068,1.995E-05
1.49068,1.9852E-05
1.50092,1.9892E-05
1.51068,1.9867E-05
1.52064,1.9901E-05
1.53064,1.9849E-05
1.54065,1.9868E-05
1.55069,1.9867E-05
1.56064,1.9889E-05
1.57064,1.9904E-05
1.58188,1.9906E-05
1.59068,1.9884E-05
1.60064,1.9895E-05
1.6108,1.9886E-05
1.62068,1.9888E-05
1.63068,1.989E-05
1.64067,1.9893E-05
1.65064,1.9878E-05
1.66092,1.985E-05
1.67067,1.9894E-05
1.68064,1.9873E-05
1.69117,1.9849E-05
1.70068,1.9857E-05
1.71068,1.9887E-05
1.722,1.9882E-05
1.73068,1.9832E-05
1.74068,1.9833E-05
1.75091,1.9857E-05
1.76064,1.9892E-05
1.77064,1.987E-05
1.78067,1.9846E-05
1.79068,1.9894E-05
1.80079,1.9877E-05
1.81067,1.9882E-05
1.82064,1.9844E-05
1.8319,1.9897E-05
1.84067,1.9871E-05
1.85068,1.9844E-05
1.86085,1.9892E-05
1.87064,1.9919E-05
1.88068,1.9824E-05
1.89068,1.9815E-05
1.90064,1.9808E-05
1.91092,1.9938E-05
1.92063,1.9861E-05
1.93068,1.977E-05
1.94109,1.9793E-05
1.95064,1.9871E-05
1.96068,1.9827E-05
1.97198,1.9841E-05
1.98068,1.9943E-05
1.99064,1.9942E-05
2.00089,1.9903E-05
2.01068,1.9905E-05
2.02068,1.9925E-05
2.03063,1.9938E-05
2.04068,1.9923E-05
2.05089,1.9915E-05
2.06063,1.9948E-05
2.07068,1.9864E-05
2.08189,1.9827E-05
2.09068,1.9814E-05
2.10064,1.9838E-05
2.11083,1.987E-05
2.12064,1.9898E-05
2.13068,1.9871E-05
2.14068,1.9867E-05
2.15064,1.9839E-05
2.16088,1.9851E-05
2.17063,1.9857E-05
2.18064,1.9852E-05
2.19114,1.9882E-05
2.20067,1.9842E-05
2.21064,1.9864E-05
2.22207,1.9914E-05
2.23067,1.9896E-05
2.24068,1.9889E-05
2.25091,1.9908E-05
2.26064,1.9825E-05
2.27068,1.9825E-05
2.28063,1.9823E-05
2.29064,1.9909E-05
2.30064,1.9876E-05
2.31064,1.9821E-05
2.32068,1.9848E-05
2.33162,1.9863E-05
2.34068,1.9876E-05
2.35068,1.9829E-05
2.36083,1.9866E-05
2.37068,1.9863E-05
2.38068,1.9939E-05
2.39063,1.9939E-05
2.40068,1.9924E-05
2.41091,1.9909E-05
2.42068,1.9917E-05
2.43068,1.9914E-05
2.44115,1.9866E-05
2.45068,1.9876E-05
2.46068,1.9864E-05
2.47203,1.9856E-05
2.48068,1.9861E-05
2.49064,1.9786E-05
2.50088,1.9849E-05
2.51064,1.9812E-05
2.52068,1.9758E-05
2.53067,1.9819E-05
2.54068,1.9865E-05
2.55093,1.9737E-05
2.56062,1.9743E-05
2.57064,1.978E-05
2.58192,1.9763E-05
2.59064,1.9665E-05
2.60064,1.9726E-05
2.61082,1.9717E-05
2.62064,1.9737E-05
2.63068,1.974E-05
2.64084,1.9717E-05
2.65064,1.9721E-05
2.66088,1.9811E-05
2.67067,1.978E-05
2.68064,1.9819E-05
2.69114,1.9839E-05
2.70064,1.9859E-05
2.71068,1.9845E-05
2.72197,1.9805E-05
2.73068,1.9775E-05
2.74064,1.9811E-05
2.75096,1.9736E-05
2.76068,1.9775E-05
2.77068,1.9747E-05
2.78063,1.9836E-05
2.79068,1.971E-05
2.80074,1.9842E-05
2.81067,1.9841E-05
2.82068,1.9767E-05
2.83166,1.9813E-05
2.84068,1.9847E-05
2.85068,1.9794E-05
2.86084,1.9747E-05
2.87073,1.9771E-05
2.88068,1.9745E-05
2.89068,1.9753E-05
2.90064,1.9786E-05
2.91083,1.9876E-05
2.92067,1.9775E-05
2.93068,1.984E-05
2.94137,1.9737E-05
2.95068,1.9884E-05
2.96068,1.9752E-05
2.97203,1.9725E-05
2.98068,1.975E-05
2.99087,1.9772E-05
3.0009,1.985E-05
3.01068,1.9865E-05
3.02068,1.9842E-05
3.03067,1.9794E-05
3.04068,1.9783E-05
3.05084,1.9816E-05
3.06067,1.9784E-05
3.07064,1.9779E-05
3.0819,1.9797E-05
3.09068,1.9796E-05
3.10064,1.9826E-05
3.11083,1.9859E-05
3.12068,1.9893E-05
3.13064,1.9915E-05
3.14064,1.9868E-05
3.15068,1.9857E-05
3.16092,1.9849E-05
3.17068,1.9833E-05
3.18064,1.9845E-05
3.19112,1.9835E-05
3.20069,1.9866E-05
3.21068,1.985E-05
3.22197,1.9855E-05
3.23064,1.9823E-05
3.24068,1.9827E-05
3.25088,1.9803E-05
3.26064,1.9817E-05
3.27064,1.9877E-05
3.28063,1.984E-05
3.29064,1.9794E-05
3.30084,1.9824E-05
3.31067,1.9839E-05
3.32064,1.9879E-05
3.33166,1.9866E-05
3.34067,1.9912E-05
3.35068,1.9935E-05
3.36084,1.9936E-05
3.37064,1.9887E-05
3.38068,1.9819E-05
3.39064,1.9865E-05
3.40068,1.9925E-05
3.41086,1.9902E-05
3.42067,1.9876E-05
3.43068,1.9966E-05
3.44113,1.9885E-05
3.45068,1.9945E-05
3.46068,1.9887E-05
3.47201,1.9924E-05
3.48068,1.9949E-05
3.4908,1.9868E-05
3.5009,1.9849E-05
3.51068,1.9909E-05
3.52091,1.9924E-05
3.53067,1.9942E-05
3.54064,1.9928E-05
3.55083,1.994E-05
3.56067,1.9896E-05
3.57068,1.9899E-05
3.58165,1.9901E-05
3.59068,1.9931E-05
3.60068,1.9906E-05
3.61084,1.9896E-05
3.62068,1.989E-05
3.63068,1.9865E-05
3.64064,1.9882E-05
3.65064,1.9874E-05
3.66068,1.9827E-05
3.67067,1.9855E-05
3.68064,1.9823E-05
3.69133,1.986E-05
3.70069,1.9898E-05
3.71068,1.9907E-05
3.72198,1.9955E-05
3.73064,1.9857E-05
3.74068,1.9894E-05
3.75094,1.99E-05
3.76068,1.9893E-05
3.77068,1.984E-05
3.78067,1.9857E-05
3.79068,1.9877E-05
3.80092,1.9802E-05
3.81063,1.9841E-05
3.82068,1.9817E-05
3.83165,1.9863E-05
3.84068,1.9868E-05
3.85064,1.9816E-05
3.8608,1.9842E-05
3.87068,1.9832E-05
3.88064,1.9837E-05
3.89084,1.9823E-05
3.90064,1.9848E-05
3.91068,1.9855E-05
3.92068,1.9904E-05
3.93064,1.9876E-05
3.94111,1.9853E-05
3.95063,1.9809E-05
3.96064,1.9813E-05
3.972,1.9817E-05
3.98068,1.9854E-05
3.99064,1.9857E-05
4.00087,1.9874E-05
4.01068,1.9853E-05
4.02068,1.9863E-05
4.03067,1.9822E-05
4.04064,1.9857E-05
4.05093,1.9772E-05
4.06067,1.9824E-05
4.07068,1.9799E-05
4.08185,1.9813E-05
4.09067,1.9783E-05
4.10068,1.9816E-05
4.11081,1.9777E-05
4.12072,1.9823E-05
4.13068,1.9806E-05
4.14068,1.9793E-05
4.15064,1.9766E-05
4.16088,1.9778E-05
4.17068,1.9779E-05
4.18068,1.9801E-05
4.19111,1.9806E-05
4.20068,1.9764E-05
4.21064,1.9762E-05
4.22196,1.9743E-05
4.23068,1.9718E-05
4.24064,1.9759E-05
4.25085,1.9747E-05
4.26068,1.9744E-05
4.27064,1.9764E-05
4.28068,1.977E-05
4.29068,1.971E-05
4.30088,1.9743E-05
4.31068,1.9742E-05
4.32064,1.9764E-05
4.3316,1.9821E-05
4.34067,1.976E-05
4.35068,1.972E-05
4.36083,1.9803E-05
4.37064,1.9832E-05
4.38064,1.9842E-05
4.39083,1.9826E-05
4.40068,1.9819E-05
4.41091,1.9802E-05
4.42067,1.9822E-05
4.43064,1.9803E-05
4.44109,1.9819E-05
4.45068,1.9805E-05
4.46068,1.9817E-05
4.47194,1.9811E-05
4.48068,1.9835E-05
4.49068,1.9813E-05
4.50097,1.9775E-05
4.51064,1.9743E-05
4.52064,1.9761E-05
4.53063,1.9762E-05
4.54068,1.973E-05
4.55088,1.9734E-05
4.56067,1.9742E-05
4.57068,1.9756E-05
4.58188,1.9777E-05
4.59068,1.9742E-05
4.60068,1.9769E-05
4.61081,1.9741E-05
4.62068,1.9769E-05
4.63068,1.9745E-05
4.64083,1.9726E-05
4.65064,1.975E-05
4.66087,1.9779E-05
4.67067,1.9783E-05
4.68064,1.9805E-05
4.69108,1.9681E-05
4.70069,1.972E-05
4.71068,1.9762E-05
4.72198,1.976E-05
4.73068,1.9731E-05
4.74068,1.9693E-05
4.75077,1.9691E-05
4.76068,1.9707E-05
4.77068,1.9753E-05
4.78067,1.9704E-05
4.79064,1.9723E-05
4.80092,1.9748E-05
4.81063,1.9769E-05
4.82068,1.9734E-05
4.83189,1.9759E-05
4.84068,1.9781E-05
4.85064,1.9761E-05
4.86078,1.9789E-05
4.87068,1.9767E-05
4.88064,1.9769E-05
4.89084,1.9757E-05
4.90064,1.9784E-05
4.91088,1.9749E-05
4.92063,1.9794E-05
4.93064,1.9786E-05
4.94106,1.9764E-05
4.95064,1.977E-05
4.96068,1.9782E-05
4.97195,1.9782E-05
4.98068,1.9829E-05
4.99068,1.9813E-05
5.00078,1.9829E-05
5.01068,1.9842E-05
5.02068,1.9856E-05
5.03064,1.9861E-05
5.04068,1.9845E-05
5.05092,1.9849E-05
5.06063,1.9837E-05
5.07068,1.9847E-05
5.08185,1.9846E-05
5.09063,1.9879E-05
5.10064,1.9898E-05
5.1108,1.9858E-05
5.12068,1.9861E-05
5.13068,1.991E-05
5.14083,1.9934E-05
5.15068,1.994E-05
5.16086,1.9955E-05
5.17062,1.9946E-05
5.18064,1.998E-05
5.19137,1.9956E-05
5.20063,1.9938E-05
5.21068,1.9912E-05
5.22193,1.9874E-05
5.23068,1.9856E-05
5.24064,1.9868E-05
5.25095,1.9854E-05
5.26068,1.986E-05
5.27064,1.9848E-05
5.28067,1.9852E-05
5.29064,1.9838E-05
5.30081,1.9863E-05
5.31062,1.9865E-05
5.32064,1.9851E-05
5.33191,1.9857E-05
5.34063,1.9904E-05
5.35068,1.9872E-05
5.3608,1.9857E-05
5.37068,1.9824E-05
5.38068,1.9867E-05
5.39063,1.9803E-05
5.40068,1.9803E-05
5.41088,1.9774E-05
5.42063,1.9786E-05
5.43068,1.9751E-05
5.4411,1.9791E-05
5.45064,1.98E-05
5.46068,1.9814E-05
5.47201,1.9796E-05
5.48068,1.9783E-05
5.49068,1.9844E-05
5.5009,1.9887E-05
5.51064,1.9859E-05
5.52068,1.9811E-05
5.53064,1.9817E-05
5.54064,1.9819E-05
5.55092,1.9883E-05
5.56067,1.9878E-05
5.57068,1.9849E-05
5.58161,1.9835E-05
5.59068,1.9833E-05
5.60068,1.9805E-05
5.61078,1.9781E-05
5.62064,1.9795E-05
5.63068,1.9766E-05
5.64063,1.9802E-05
5.65064,1.9817E-05
5.66088,1.9857E-05
5.67067,1.9844E-05
5.68064,1.9783E-05
5.69111,1.9852E-05
5.70069,1.9896E-05
5.71068,1.9836E-05
5.72194,1.9757E-05
5.73068,1.9738E-05
5.74068,1.9759E-05
5.75091,1.9744E-05
5.76064,1.9718E-05
5.77064,1.9762E-05
5.78063,1.9789E-05
5.79068,1.9766E-05
5.80092,1.974E-05
5.81067,1.9781E-05
5.82068,1.9811E-05
5.83184,1.9795E-05
5.84063,1.9819E-05
5.85091,1.977E-05
5.86083,1.9785E-05
5.87068,1.9761E-05
5.88064,1.9768E-05
5.89084,1.9831E-05
5.90064,1.9815E-05
5.91088,1.9803E-05
5.92067,1.9853E-05
5.93068,1.9863E-05
5.94112,1.9867E-05
5.95069,1.9865E-05
5.96068,1.9878E-05
5.972,1.986E-05
5.98064,1.9879E-05
5.99068,1.9899E-05
6.00096,1.989E-05
6.01068,1.9845E-05
6.02064,1.9844E-05
6.03067,1.9865E-05
6.04068,1.9824E-05
6.05088,1.9867E-05
6.06067,1.9876E-05
6.07064,1.9932E-05
6.08196,1.9957E-05
6.09063,1.9933E-05
6.10068,1.9922E-05
6.11078,1.9914E-05
6.12064,1.9951E-05
6.13068,1.9928E-05
6.14084,1.9908E-05
6.15068,1.9929E-05
6.16069,1.9912E-05
6.17063,1.9855E-05
6.18064,1.9874E-05
6.19132,1.9928E-05
6.20067,1.993E-05
6.21068,1.9931E-05
6.22228,1.9926E-05
6.23063,1.9891E-05
6.24064,1.9893E-05
6.25095,1.9935E-05
6.26068,1.9881E-05
6.27064,1.9871E-05
6.28068,1.9893E-05
6.29068,1.9897E-05
6.30093,1.9874E-05
6.31062,1.9912E-05
6.32068,1.9879E-05
6.33164,1.9896E-05
6.34068,1.9911E-05
6.35064,1.9849E-05
6.36083,1.9858E-05
6.37068,1.986E-05
6.38068,1.9892E-05
6.39064,1.9874E-05
6.40068,1.9853E-05
6.41091,1.9865E-05
6.42067,1.9895E-05
6.43064,1.9903E-05
6.44113,1.9868E-05
6.45063,1.9885E-05
6.46068,1.986E-05
6.47199,1.9908E-05
6.48068,1.9915E-05
6.49064,1.99E-05
6.50095,1.9893E-05
6.51068,1.9895E-05
6.52064,1.9898E-05
6.53068,1.9874E-05
6.54068,1.9881E-05
6.55064,1.9868E-05
6.56064,1.9883E-05
6.57064,1.9879E-05
6.58163,1.9873E-05
6.59068,1.9862E-05
6.60068,1.9864E-05
6.61078,1.9847E-05
6.62064,1.9866E-05
6.63068,1.9895E-05
6.64084,1.9869E-05
6.65068,1.9874E-05
6.66069,1.9911E-05
6.67067,1.9893E-05
6.68064,1.9898E-05
6.69107,1.9901E-05
6.70064,1.9879E-05
6.71068,1.988E-05
6.72198,1.9885E-05
6.73064,1.989E-05
6.74068,1.9882E-05
6.7509,1.9876E-05
6.76068,1.9869E-05
6.77068,1.986E-05
6.78063,1.9868E-05
6.79068,1.9833E-05
6.80075,1.9878E-05
6.81063,1.9845E-05
6.82068,1.9824E-05
6.83187,1.9917E-05
6.84068,1.9832E-05
6.85068,1.9842E-05
6.86079,1.9809E-05
6.87068,1.9937E-05
6.88068,1.9904E-05
6.89064,1.9905E-05
6.90068,1.988E-05
6.91092,1.9827E-05
6.92063,1.9898E-05
6.93064,1.9849E-05
6.94105,1.9885E-05
6.95068,1.9865E-05
6.96064,1.9861E-05
6.97206,1.9866E-05
6.98068,1.9886E-05
6.99068,1.9882E-05
7.00095,1.9903E-05
7.01068,1.9866E-05
7.02068,1.9854E-05
7.03067,1.9891E-05
7.04064,1.9862E-05
7.05088,1.9867E-05
7.06067,1.9887E-05
7.07068,1.988E-05
7.08165,1.9852E-05
7.09068,1.9827E-05
7.10064,1.9884E-05
7.11077,1.9863E-05
7.12068,1.9867E-05
7.13068,1.9879E-05
7.14064,1.9876E-05
7.15068,1.9875E-05
7.16064,1.9817E-05
7.17063,1.9819E-05
7.18068,1.9817E-05
7.19112,1.9849E-05
7.20069,1.9854E-05
7.21064,1.9874E-05
7.22194,1.9847E-05
7.23068,1.9863E-05
7.24068,1.9841E-05
7.25089,1.9835E-05
7.26064,1.9845E-05
7.27068,1.9898E-05
7.28063,1.9871E-05
7.29064,1.9844E-05
7.30088,1.9841E-05
7.31067,1.9827E-05
7.32068,1.9792E-05
7.3316,1.9704E-05
7.34068,1.9731E-05
7.35068,1.9751E-05
7.36081,1.9781E-05
7.37068,1.9714E-05
7.38068,1.9827E-05
7.39063,1.9868E-05
7.40068,1.9857E-05
7.41068,1.9844E-05
7.42067,1.9844E-05
7.43068,1.9866E-05
7.4413,1.983E-05
7.45063,1.9844E-05
7.46068,1.985E-05
7.47202,1.9874E-05
7.48068,1.983E-05
7.49068,1.9814E-05
7.50089,1.9846E-05
7.51064,1.9885E-05
7.52068,1.9863E-05
7.53064,1.9838E-05
7.54064,1.9829E-05
7.55088,1.9838E-05
7.56063,1.9855E-05
7.57068,1.9824E-05
7.58187,1.9854E-05
7.59068,1.9887E-05
7.60068,1.9923E-05
7.61077,1.9916E-05
7.62068,1.9926E-05
7.63064,1.9932E-05
7.6408,1.9938E-05
7.65064,1.9942E-05
7.66064,1.9935E-05
7.67067,1.9923E-05
7.68068,1.9946E-05
7.69137,1.9943E-05
7.70067,1.9933E-05
7.71068,1.9916E-05
7.72193,1.993E-05
7.73064,1.9848E-05
7.74068,1.9855E-05
7.75095,1.9868E-05
7.76064,1.9865E-05
7.77068,1.9882E-05
7.78067,1.985E-05
7.79068,1.9863E-05
7.80088,1.9868E-05
7.81067,1.9868E-05
7.82068,1.9879E-05
7.83188,1.9922E-05
7.84067,1.9934E-05
7.85064,1.9903E-05
7.86078,1.9898E-05
7.87064,1.989E-05
7.88068,1.9875E-05
7.89063,1.9895E-05
7.90064,1.9865E-05
7.91064,1.989E-05
7.92063,1.9898E-05
7.93068,1.9938E-05
7.94141,1.9916E-05
7.95067,1.9884E-05
7.96068,1.9876E-05
7.97199,1.9988E-05
7.98068,1.9967E-05
7.99064,1.9987E-05
8.00089,1.9996E-05
8.01064,1.9979E-05
8.02068,1.9981E-05
8.03064,1.9967E-05
8.04064,1.9978E-05
8.05091,1.9993E-05
8.06063,1.9871E-05
8.07064,1.9876E-05
8.08186,1.9914E-05
8.09063,1.9921E-05
8.10068,1.9912E-05
8.11077,1.9898E-05
8.12064,1.9898E-05
8.13064,1.9917E-05
8.14064,1.9901E-05
8.15068,1.9948E-05
8.16091,1.9917E-05
8.17063,1.9934E-05
8.18068,1.9896E-05
8.1911,1.9916E-05
8.20068,1.9915E-05
8.21064,1.9903E-05
8.22196,1.9916E-05
8.23064,1.9878E-05
8.24064,1.9934E-05
8.25095,1.9956E-05
8.26064,1.993E-05
8.27064,1.9932E-05
8.28063,1.9911E-05
8.29068,1.9876E-05
8.30068,1.9876E-05
8.31063,1.9917E-05
8.32064,1.991E-05
8.33159,1.9939E-05
8.34064,1.991E-05
8.35064,1.9904E-05
8.36079,1.9922E-05
8.37063,1.9953E-05
8.38068,1.9958E-05
8.39084,1.9956E-05
8.40068,1.9964E-05
8.41064,1.9956E-05
8.42063,1.9912E-05
8.43068,1.9964E-05
8.44131,1.9965E-05
8.45067,1.9961E-05
8.46068,1.9966E-05
8.47206,1.9953E-05
8.48063,1.9946E-05
8.49068,1.9928E-05
8.50096,1.992E-05
8.51068,1.9924E-05
8.52068,1.9939E-05
8.53068,1.9896E-05
8.54068,1.9915E-05
8.55087,1.9931E-05
8.56067,1.9921E-05
8.57064,1.9918E-05
8.58162,1.9931E-05
8.59065,1.9917E-05
8.60068,1.9925E-05
8.61083,1.9943E-05
8.62068,1.9923E-05
8.63064,1.9893E-05
8.64084,1.9908E-05
8.65064,1.9955E-05
8.66087,1.9935E-05
8.67063,1.9943E-05
8.68068,1.9909E-05
8.69126,1.9937E-05
8.70067,1.9948E-05
8.71068,1.9932E-05
8.72207,1.9916E-05
8.73068,1.9896E-05
8.74068,1.988E-05
8.75091,1.9893E-05
8.76068,1.9907E-05
8.77068,1.9915E-05
8.78068,1.9926E-05
8.79068,1.9898E-05
8.80085,1.9887E-05
8.81063,1.989E-05
8.82068,1.9887E-05
8.83158,1.9893E-05
8.84063,1.9952E-05
8.85068,1.9933E-05
8.86079,1.9932E-05
8.87064,1.9953E-05
8.88091,1.9934E-05
8.89084,1.9923E-05
8.90068,1.9979E-05
8.9108,1.9961E-05
8.92067,1.9967E-05
8.93064,1.9958E-05
