Setup title,"C-V Sweep_light_-6-2_100k_500k_1M"
-1.09,1.04976E-09
-1.08,1.05018E-09
-1.07,1.05087E-09
-1.06,1.05175E-09
-1.05,1.05241E-09
-1.04,1.05283E-09
-1.03,1.05393E-09
-1.02,1.05432E-09
-1.01,1.05538E-09
-1,1.05611E-09
-0.99,1.05667E-09
-0.98,1.0575E-09
-0.97,1.05803E-09
-0.96,1.05862E-09
-0.95,1.05974E-09
-0.94,1.06E-09
-0.93,1.06092E-09
-0.92,1.06175E-09
-0.91,1.06238E-09
-0.9,1.06315E-09
-0.89,1.06362E-09
-0.88,1.06461E-09
-0.87,1.06538E-09
-0.86,1.06604E-09
-0.85,1.06702E-09
-0.84,1.06758E-09
-0.83,1.06853E-09
-0.82,1.06927E-09
-0.81,1.07014E-09
-0.8,1.07092E-09
-0.79,1.07165E-09
-0.78,1.07272E-09
-0.77,1.07323E-09
-0.76,1.07451E-09
-0.75,1.07506E-09
-0.74,1.07607E-09
-0.73,1.07684E-09
-0.72,1.07755E-09
-0.71,1.07852E-09
-0.7,1.07927E-09
-0.69,1.08026E-09
-0.68,1.08147E-09
-0.67,1.08202E-09
-0.66,1.08314E-09
-0.65,1.08403E-09
-0.64,1.08483E-09
-0.63,1.08612E-09
-0.62,1.08688E-09
-0.61,1.08813E-09
-0.6,1.08881E-09
-0.59,1.0899E-09
-0.58,1.09123E-09
-0.57,1.09211E-09
-0.56,1.0932E-09
-0.55,1.09404E-09
-0.54,1.09503E-09
-0.53,1.09658E-09
-0.52,1.09735E-09
-0.51,1.09864E-09
-0.5,1.09963E-09
-0.49,1.10056E-09
-0.48,1.10203E-09
-0.47,1.10288E-09
-0.46,1.10422E-09
-0.45,1.10534E-09
-0.44,1.1063E-09
-0.43,1.10763E-09
-0.42,1.10876E-09
-0.41,1.11005E-09
-0.4,1.11104E-09
-0.39,1.11245E-09
-0.38,1.1136E-09
-0.37,1.11449E-09
-0.36,1.11581E-09
-0.35,1.11697E-09
-0.34,1.11793E-09
-0.33,1.11937E-09
-0.32,1.11999E-09
-0.31,1.12147E-09
-0.3,1.12239E-09
-0.29,1.12353E-09
-0.28,1.12459E-09
-0.27,1.12521E-09
-0.26,1.12645E-09
-0.25,1.12713E-09
-0.24,1.12822E-09
-0.23,1.12909E-09
-0.22,1.1297E-09
-0.21,1.13086E-09
-0.2,1.13147E-09
-0.19,1.13226E-09
-0.18,1.13292E-09
-0.17,1.1335E-09
-0.16,1.13418E-09
-0.15,1.13434E-09
-0.14,1.13539E-09
-0.13,1.13557E-09
-0.12,1.13574E-09
-0.11,1.13644E-09
-0.1,1.13634E-09
-0.09,1.13687E-09
-0.08,1.13711E-09
-0.07,1.13705E-09
-0.06,1.13752E-09
-0.05,1.13738E-09
-0.04,1.13772E-09
-0.03,1.13768E-09
-0.02,1.13772E-09
-0.01,1.13811E-09
0,1.13789E-09
0.01,1.13817E-09
0.02,1.1381E-09
0.03,1.13804E-09
0.04,1.13823E-09
0.05,1.1382E-09
0.06,1.13826E-09
0.07,1.13816E-09
0.08,1.13821E-09
0.09,1.13856E-09
0.1,1.13819E-09
0.11,1.13808E-09
0.12,1.13815E-09
0.13,1.1382E-09
0.14,1.13841E-09
0.15,1.13806E-09
0.16,1.13841E-09
0.17,1.13799E-09
0.18,1.13814E-09
0.19,1.13854E-09
0.2,1.13811E-09
0.21,1.1383E-09
0.22,1.13806E-09
0.23,1.13833E-09
0.24,1.13832E-09
0.25,1.13821E-09
0.26,1.13852E-09
0.27,1.13802E-09
0.28,1.1382E-09
0.29,1.13861E-09
0.3,1.13818E-09
0.31,1.13828E-09
0.32,1.13804E-09
0.33,1.1384E-09
0.34,1.13817E-09
0.35,1.13813E-09
0.36,1.13841E-09
0.37,1.13788E-09
0.38,1.13839E-09
0.39,1.13808E-09
0.4,1.13822E-09
0.41,1.13839E-09
0.42,1.13778E-09
0.43,1.13826E-09
0.44,1.13812E-09
0.45,1.13808E-09
0.46,1.13837E-09
0.47,1.13805E-09
0.48,1.13829E-09
0.49,1.13813E-09
0.5,1.13817E-09
0.51,1.1382E-09
0.52,1.13814E-09
0.53,1.13829E-09
0.54,1.13797E-09
0.55,1.13834E-09
0.56,1.13829E-09
0.57,1.13799E-09
0.58,1.13843E-09
0.59,1.13786E-09
0.6,1.13825E-09
0.61,1.13827E-09
0.62,1.13811E-09
0.63,1.13824E-09
0.64,1.13796E-09
0.65,1.13822E-09
0.66,1.13819E-09
0.67,1.13795E-09
0.68,1.13818E-09
0.69,1.13791E-09
0.7,1.13821E-09
0.71,1.13781E-09
0.72,1.13802E-09
0.73,1.13806E-09
0.74,1.13779E-09
0.75,1.13822E-09
0.76,1.13779E-09
0.77,1.13835E-09
0.78,1.13813E-09
0.79,1.13794E-09
0.8,1.13829E-09
0.81,1.13797E-09
0.82,1.13808E-09
0.83,1.13803E-09
0.84,1.13804E-09
0.85,1.13841E-09
0.86,1.1379E-09
0.87,1.13831E-09
0.88,1.13797E-09
0.89,1.13792E-09
0.9,1.13831E-09
0.91,1.13757E-09
0.92,1.13835E-09
0.93,1.13813E-09
0.94,1.13794E-09
0.95,1.13837E-09
0.96,1.13795E-09
0.97,1.13823E-09
0.98,1.13808E-09
0.99,1.13796E-09
1,1.13834E-09
1.01,1.13802E-09
1.02,1.13821E-09
1.03,1.13796E-09
1.04,1.13809E-09
1.05,1.13828E-09
1.06,1.13796E-09
1.07,1.13844E-09
1.08,1.13785E-09
1.09,1.13798E-09
1.1,1.13825E-09
1.11,1.13796E-09
1.12,1.13807E-09
1.13,1.13797E-09
1.14,1.13822E-09
1.15,1.13833E-09
1.16,1.13801E-09
1.17,1.13793E-09
1.18,1.13788E-09
1.19,1.13803E-09
1.2,1.13802E-09
1.21,1.13768E-09
1.22,1.13828E-09
1.23,1.13773E-09
1.24,1.13801E-09
1.25,1.13785E-09
1.26,1.13788E-09
1.27,1.13819E-09
1.28,1.13787E-09
1.29,1.13797E-09
1.3,1.13792E-09
1.31,1.13792E-09
1.32,1.13801E-09
1.33,1.13783E-09
1.34,1.13796E-09
1.35,1.1379E-09
1.36,1.1378E-09
1.37,1.13808E-09
1.38,1.13773E-09
1.39,1.13812E-09
1.4,1.13798E-09
1.41,1.13787E-09
1.42,1.1381E-09
1.43,1.13767E-09
1.44,1.13792E-09
1.45,1.13786E-09
1.46,1.13797E-09
1.47,1.13822E-09
1.48,1.13785E-09
1.49,1.13801E-09
1.5,1.13799E-09
1.51,1.13772E-09
1.52,1.13795E-09
1.53,1.1378E-09
1.54,1.1382E-09
1.55,1.13786E-09
1.56,1.13799E-09
1.57,1.138E-09
1.58,1.13788E-09
1.59,1.13806E-09
1.6,1.13766E-09
1.61,1.13796E-09
1.62,1.13797E-09
1.63,1.13788E-09
1.64,1.138E-09
1.65,1.13782E-09
1.66,1.13781E-09
1.67,1.13801E-09
1.68,1.13762E-09
1.69,1.13803E-09
1.7,1.13779E-09
1.71,1.13784E-09
1.72,1.13807E-09
1.73,1.13769E-09
1.74,1.13822E-09
1.75,1.13778E-09
1.76,1.13812E-09
1.77,1.13784E-09
1.78,1.13777E-09
1.79,1.1381E-09
1.8,1.13771E-09
1.81,1.13833E-09
1.82,1.13775E-09
1.83,1.13819E-09
1.84,1.13798E-09
1.85,1.13799E-09
1.86,1.13813E-09
1.87,1.1377E-09
1.88,1.1382E-09
1.89,1.138E-09
1.9,1.1378E-09
1.91,1.13805E-09
1.92,1.13779E-09
1.93,1.13788E-09
1.94,1.13792E-09
1.95,1.13779E-09
1.96,1.1381E-09
1.97,1.13774E-09
1.98,1.13833E-09
1.99,1.13774E-09
2,1.13802E-09
2,1.13799E-09
1.99,1.13775E-09
1.98,1.138E-09
1.97,1.13786E-09
1.96,1.13772E-09
1.95,1.13819E-09
1.94,1.13784E-09
1.93,1.138E-09
1.92,1.138E-09
1.91,1.13795E-09
1.9,1.13792E-09
1.89,1.13787E-09
1.88,1.13808E-09
1.87,1.13776E-09
1.86,1.13823E-09
1.85,1.13783E-09
1.84,1.13808E-09
1.83,1.13798E-09
1.82,1.13785E-09
1.81,1.13791E-09
1.8,1.13783E-09
1.79,1.13791E-09
1.78,1.13813E-09
1.77,1.13792E-09
1.76,1.13814E-09
1.75,1.13792E-09
1.74,1.13785E-09
1.73,1.13815E-09
1.72,1.13767E-09
1.71,1.13817E-09
1.7,1.13774E-09
1.69,1.13763E-09
1.68,1.13806E-09
1.67,1.1378E-09
1.66,1.13801E-09
1.65,1.13767E-09
1.64,1.13788E-09
1.63,1.13788E-09
1.62,1.13777E-09
1.61,1.13795E-09
1.6,1.13781E-09
1.59,1.13782E-09
1.58,1.13811E-09
1.57,1.13777E-09
1.56,1.1382E-09
1.55,1.13747E-09
1.54,1.13799E-09
1.53,1.13776E-09
1.52,1.13757E-09
1.51,1.13832E-09
1.5,1.13758E-09
1.49,1.13799E-09
1.48,1.13793E-09
1.47,1.13767E-09
1.46,1.13804E-09
1.45,1.13746E-09
1.44,1.13782E-09
1.43,1.13796E-09
1.42,1.13776E-09
1.41,1.138E-09
1.4,1.13772E-09
1.39,1.13795E-09
1.38,1.13794E-09
1.37,1.13765E-09
1.36,1.13817E-09
1.35,1.13766E-09
1.34,1.13794E-09
1.33,1.13764E-09
1.32,1.13795E-09
1.31,1.13801E-09
1.3,1.13755E-09
1.29,1.13819E-09
1.28,1.13758E-09
1.27,1.13782E-09
1.26,1.13791E-09
1.25,1.13776E-09
1.24,1.13795E-09
1.23,1.13768E-09
1.22,1.13794E-09
1.21,1.13794E-09
1.2,1.13765E-09
1.19,1.13785E-09
1.18,1.13764E-09
1.17,1.13784E-09
1.16,1.13791E-09
1.15,1.13773E-09
1.14,1.1382E-09
1.13,1.13779E-09
1.12,1.1379E-09
1.11,1.1378E-09
1.1,1.13787E-09
1.09,1.13814E-09
1.08,1.13784E-09
1.07,1.13802E-09
1.06,1.13792E-09
1.05,1.13783E-09
1.04,1.13797E-09
1.03,1.1376E-09
1.02,1.13805E-09
1.01,1.13782E-09
1,1.13783E-09
0.99,1.13791E-09
0.98,1.13774E-09
0.97,1.13805E-09
0.96,1.13757E-09
0.95,1.13795E-09
0.94,1.13793E-09
0.93,1.13783E-09
0.92,1.13806E-09
0.91,1.13786E-09
0.9,1.13793E-09
0.89,1.13805E-09
0.88,1.13781E-09
