Setup title,"I/V Sweep_dark_0_0.8V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,16:10:20
Device ID,"FTO_Contact check"
Count,11
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,0.8
Measurement.Primary.Step,0.01
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,4.44112E-09
0.01,1.003825E-06
0.02,2.01241E-06
0.03,3.01756E-06
0.04,4.02954E-06
0.05,5.04519E-06
0.06,6.06101E-06
0.07,7.09959E-06
0.08,8.1337E-06
0.09,9.18291E-06
0.1,1.00889E-05
0.11,1.12861E-05
0.12,8.56243E-06
0.13,8.68884E-06
0.14,9.68378E-06
0.15,1.06678E-05
0.16,1.24289E-05
0.17,1.40808E-05
0.18,1.50737E-05
0.19,1.6756E-05
0.2,1.78737E-05
0.21,1.92766E-05
0.22,2.04146E-05
0.23,2.19889E-05
0.24,2.23819E-05
0.25,2.45639E-05
0.26,2.44711E-05
0.27,2.88933E-05
0.28,2.90066E-05
0.29,2.88937E-05
0.3,2.73229E-05
0.31,2.89668E-05
0.32,2.88829E-05
0.33,2.91641E-05
0.34,2.9238E-05
0.35,3.06436E-05
0.36,3.17314E-05
0.37,3.26642E-05
0.38,4.10111E-05
0.39,4.09733E-05
0.4,4.21547E-05
0.41,4.24675E-05
0.42,4.48165E-05
0.43,4.47906E-05
0.44,4.40584E-05
0.45,4.75144E-05
0.46,5.10172E-05
0.47,4.92488E-05
0.48,5.42655E-05
0.49,4.67205E-05
0.5,5.23862E-05
0.51,5.20743E-05
0.52,5.34337E-05
0.53,5.64956E-05
0.54,5.72365E-05
0.55,5.60321E-05
0.56,6.24042E-05
0.57,7.06128E-05
0.58,7.19836E-05
0.59,8.37809E-05
0.6,8.33833E-05
0.61,8.45714E-05
0.62,7.62875E-05
0.63,7.60253E-05
0.64,7.87876E-05
0.65,8.56471E-05
0.66,8.30313E-05
0.67,8.32966E-05
0.68,7.88242E-05
0.69,7.69785E-05
0.7,8.48095E-05
0.71,8.82236E-05
0.72,8.76439E-05
0.73,8.17138E-05
0.74,8.68344E-05
0.75,8.50577E-05
0.76,7.84732E-05
0.77,7.05621E-05
0.78,6.74609E-05
0.79,6.86183E-05
0.8,6.70826E-05
0.8,6.62155E-05
0.79,6.27608E-05
0.78,6.13512E-05
0.77,6.15313E-05
0.76,6.55714E-05
0.75,6.71324E-05
0.74,6.37344E-05
0.73,5.87754E-05
0.72,5.80397E-05
0.71,5.74124E-05
0.7,5.96028E-05
0.69,5.92853E-05
0.68,5.56178E-05
0.67,5.53285E-05
0.66,5.47306E-05
0.65,5.83918E-05
0.64,4.92587E-05
0.63,4.807E-05
0.62,4.59661E-05
0.61,4.59936E-05
0.6,4.52561E-05
0.59,4.32041E-05
0.58,4.28218E-05
0.57,4.11078E-05
0.56,4.03478E-05
0.55,3.90491E-05
0.54,3.848E-05
0.53,3.77805E-05
0.52,3.63412E-05
0.51,3.53054E-05
0.5,3.45409E-05
0.49,3.34134E-05
0.48,3.42874E-05
0.47,3.32428E-05
0.46,3.22196E-05
0.45,3.12102E-05
0.44,2.8374E-05
0.43,2.88655E-05
0.42,2.84726E-05
0.41,2.70746E-05
0.4,2.6112E-05
0.39,2.45444E-05
0.38,2.36726E-05
0.37,2.33207E-05
0.36,2.28008E-05
0.35,2.18355E-05
0.34,2.10577E-05
0.33,2.0344E-05
0.32,1.98596E-05
0.31,1.90286E-05
0.3,1.84251E-05
0.29,1.75331E-05
0.28,1.65488E-05
0.27,1.58084E-05
0.26,1.52242E-05
0.25,1.43803E-05
0.24,1.38496E-05
0.23,1.30672E-05
0.22,1.26428E-05
0.21,1.18647E-05
0.2,1.09958E-05
0.19,1.04077E-05
0.18,9.76533E-06
0.17,9.08811E-06
0.16,8.56696E-06
0.15,7.91307E-06
0.14,7.39025E-06
0.13,6.77178E-06
0.12,6.24837E-06
0.11,5.65227E-06
0.1,5.07014E-06
0.09,4.52351E-06
0.08,4.01234E-06
0.07,3.51409E-06
0.06,2.96918E-06
0.05,2.45984E-06
0.04,1.96145E-06
0.03,1.46575E-06
0.02,9.7553E-07
0.01,4.86321E-07
0,2.29916E-09
