Setup title,"I/V Sweep_dark_0_0.5V"
Classic test name,"I/V Sweep"
Test date,4/26/2023
Test time,16:13:02
Device ID,"FTO_Contact check"
Count,14
Flags,
Remarks,
Context.MainFrame,B1500A
Channel.UnitType,SMU,SMU
Channel.Unit,SMU4:HR,SMU3:HR
Channel.IName,I1,l2
Channel.VName,V1,V2
Channel.Mode,V,COMMON
Channel.Func,VAR1,CONST
Channel.Index,
Channel.Time,
Measurement.Port.Unit,SMU4:HR,SMU3:HR
Measurement.Port.SeriesResistor,NONE,NONE
Measurement.Port.Filter,ON,ON
Measurement.Port.OutputVoltageComparison,0,0
Measurement.Primary.Locus,Double
Measurement.Primary.Scale,LINEAR
Measurement.Primary.Start,0
Measurement.Primary.Stop,0.5
Measurement.Primary.Step,0.00625
Measurement.Primary.Compliance,0.0005
Measurement.Primary.PowerCompliance,0
Measurement.Aborting.Condition,"CONTINUE AT ANY"
Measurement.PostOutput.Value,START
Measurement.PostOutput.Retention,OFF
Measurement.Bias.Source,0,0
Measurement.Bias.Compliance,0.0005,0.1
Measurement.Monitor.Unit,SMU4:HR,SMU3:HR
Measurement.Monitor.Adc,"HR ADC","HR ADC"
Measurement.Monitor.Measurement,"Compliance Side","Compliance Side"
Measurement.Monitor.RangingMode,LIMITED,LIMITED
Measurement.Monitor.RangeBoundary,1nA,1nA
Measurement.Monitor.RangeRating,"BY FULL RANGE","BY FULL RANGE"
Measurement.Monitor.RangeRatingCoeff,50,50
Measurement.Timing.Hold,0
Measurement.Timing.Delay,0
Measurement.Adc.HighSpeed.Mode,PLC
Measurement.Adc.HighSpeed.Coeff,10
Measurement.Adc.HighResolution.AutoZero,OFF
Measurement.Adc.HighResolution.Mode,PLC
Measurement.Adc.HighResolution.Coeff,10
Measurement.WaitTime.Source.Coeff,1
Measurement.WaitTime.Source.Offset,0
Measurement.WaitTime.Monitor.Coeff,1
Measurement.WaitTime.Monitor.Offset,0
Output.Graph.Enabled,true
Output.Graph.AutoScaling,false
Output.Graph.XAxis.Data,V1
Output.Graph.XAxis.Scale,Linear
Output.Graph.XAxis.Left,-1
Output.Graph.XAxis.Right,1
Output.Graph.XAxis.RunTimeAutoScale,true
Output.Graph.YAxis.Data,I1
Output.Graph.YAxis.Scale,Linear
Output.Graph.YAxis.Bottom,-0.1
Output.Graph.YAxis.Top,0.1
Output.Graph.YAxis.Group,
Output.Graph.YAxis.RunTimeAutoScale,true
AutoAnalysis.Interpolation,false
AutoAnalysis.Line1.Enabled,false
AutoAnalysis.Line1.Type,1
AutoAnalysis.Line1.Fix,True
AutoAnalysis.Line1.YAxis,0
AutoAnalysis.Line1.Point1.Type,0
AutoAnalysis.Line1.Point1.XY.X,
AutoAnalysis.Line1.Point1.XY.Y,
AutoAnalysis.Line1.Point1.Data.Var,
AutoAnalysis.Line1.Point1.Data.Condition,
AutoAnalysis.Line1.Point1.Data.Start,false
AutoAnalysis.Line1.Point1.Data.StartVar,
AutoAnalysis.Line1.Point1.Data.StartCondition,
AutoAnalysis.Line1.Point2.Type,0
AutoAnalysis.Line1.Point2.XY.X,
AutoAnalysis.Line1.Point2.XY.Y,
AutoAnalysis.Line1.Point2.Data.Var,
AutoAnalysis.Line1.Point2.Data.Condition,
AutoAnalysis.Line1.Point2.Data.Start,false
AutoAnalysis.Line1.Point2.Data.StartVar,
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
V1,I1
0,1.94656E-08
0.00625,6.52687E-06
0.0125,1.30092E-05
0.01875,1.95022E-05
0.025,2.59892E-05
0.03125,3.24802E-05
0.0375,3.9007E-05
0.04375,4.55109E-05
0.05,5.20309E-05
0.05625,5.85606E-05
0.0625,6.50949E-05
0.06875,7.1643E-05
0.075,7.82099E-05
0.08125,8.48081E-05
0.0875,9.1374E-05
0.09375,9.79859E-05
0.1,0.0001045936
0.10625,0.0001112486
0.1125,0.000118999
0.11875,0.000125702
0.125,0.000132415
0.13125,0.000139138
0.1375,0.000145896
0.14375,0.000152508
0.15,0.000157993
0.15625,0.00016486
0.1625,0.0001715
0.16875,0.000178808
0.175,0.000186608
0.18125,0.000193279
0.1875,0.000200229
0.19375,0.000207318
0.2,0.000214325
0.20625,0.000221542
0.2125,0.000228448
0.21875,0.000238012
0.225,0.000245248
0.23125,0.000252381
0.2375,0.000259525
0.24375,0.000266529
0.25,0.000273361
0.25625,0.000280846
0.2625,0.000289542
0.26875,0.000296686
0.275,0.000303317
0.28125,0.000310369
0.2875,0.000318883
0.29375,0.00032614
0.3,0.000334696
0.30625,0.000343843
0.3125,0.00035129
0.31875,0.000358753
0.325,0.000366473
0.33125,0.000375599
0.3375,0.00038165
0.34375,0.0003892
0.35,0.000397869
0.35625,0.000404715
0.3625,0.000414974
0.36875,0.000425298
0.375,0.000434087
0.38125,0.000442688
0.3875,0.000448866
0.39375,0.000461255
0.4,0.000467135
0.40625,0.000466303
0.4125,0.000474322
0.41875,0.000476487
0.425,0.000475457
0.43125,0.000484859
0.4375,0.000491819
0.44375,0.000499976
0.45,0.000499976
0.45625,0.000499975
0.4625,0.000499976
0.46875,0.000499975
0.475,0.000499975
0.48125,0.000499976
0.4875,0.000499976
0.49375,0.000499975
0.5,0.000499975
0.5,0.000499975
0.49375,0.000499975
0.4875,0.000499976
0.48125,0.000499977
0.475,0.000499976
0.46875,0.000499976
0.4625,0.000499976
0.45625,0.000499976
0.45,0.000499977
0.44375,0.000499975
0.4375,0.000499976
0.43125,0.000499976
0.425,0.000499965
0.41875,0.000496793
0.4125,0.000487004
0.40625,0.000477733
0.4,0.000469076
0.39375,0.000463581
0.3875,0.00045458
0.38125,0.000447301
0.375,0.000440607
0.36875,0.000433031
0.3625,0.000424921
0.35625,0.000417824
0.35,0.000409764
0.34375,0.000401174
0.3375,0.000394988
0.33125,0.000387561
0.325,0.000380184
0.31875,0.000372914
0.3125,0.000365072
0.30625,0.000357444
0.3,0.000349749
0.29375,0.000342032
0.2875,0.000334775
0.28125,0.000327191
0.275,0.000319772
0.26875,0.000312203
0.2625,0.000304966
0.25625,0.000297557
0.25,0.000290291
0.24375,0.000282848
0.2375,0.000275366
0.23125,0.000268099
0.225,0.000260569
0.21875,0.0002532
0.2125,0.000245784
0.20625,0.000238384
0.2,0.000230935
0.19375,0.000223779
0.1875,0.000216525
0.18125,0.000209133
0.175,0.000201682
0.16875,0.000194313
0.1625,0.000187195
0.15625,0.000179917
0.15,0.000172708
0.14375,0.000165448
0.1375,0.000158168
0.13125,0.000151
0.125,0.000143581
0.11875,0.000136402
0.1125,0.000129207
0.10625,0.000121909
0.1,0.000114833
0.09375,0.000107678
0.0875,0.000100399
0.08125,9.32322E-05
0.075,8.6041E-05
0.06875,7.88502E-05
0.0625,7.16297E-05
0.05625,6.44596E-05
0.05,5.7301E-05
0.04375,5.01071E-05
0.0375,4.29688E-05
0.03125,3.58158E-05
0.025,2.86525E-05
0.01875,2.14902E-05
0.0125,1.43398E-05
0.00625,7.19188E-06
0,2.8828E-08
