VBias,C
0.5,4.27204E-10
0.51,4.28355E-10
0.52,4.28442E-10
0.53,4.27933E-10
0.54,4.26665E-10
0.55,4.2762E-10
0.56,4.28364E-10
0.57,4.28355E-10
0.58,4.28158E-10
0.59,4.29138E-10
0.6,4.29879E-10
0.61,4.29897E-10
0.62,4.28904E-10
0.63,4.28491E-10
0.64,4.28857E-10
0.65,4.2948E-10
0.66,4.28633E-10
0.67,4.29161E-10
0.68,4.30283E-10
0.69,4.30414E-10
0.7,4.30923E-10
0.71,4.30595E-10
0.72,4.29209E-10
0.73,4.30203E-10
0.74,4.30218E-10
0.75,4.29705E-10
0.76,4.29538E-10
0.77,4.30707E-10
0.78,4.32036E-10
0.79,4.314E-10
0.8,4.30499E-10
0.81,4.30003E-10
0.82,4.31118E-10
0.83,4.31679E-10
0.84,4.30212E-10
0.85,4.31567E-10
0.86,4.32121E-10
0.87,4.31943E-10
0.88,4.31058E-10
0.89,4.30881E-10
0.9,4.32448E-10
0.91,4.32693E-10
0.92,4.32144E-10
0.93,4.32836E-10
0.94,4.32728E-10
0.95,4.31537E-10
0.96,4.31283E-10
0.97,4.32194E-10
0.98,4.33402E-10
0.99,4.32181E-10
1,4.33317E-10
1.01,4.33735E-10
1.02,4.32623E-10
1.03,4.32252E-10
1.04,4.32021E-10
1.05,4.3232E-10
1.06,4.33907E-10
1.07,4.33705E-10
1.08,4.32527E-10
1.09,4.33459E-10
1.1,4.33044E-10
1.11,4.32974E-10
1.12,4.32645E-10
1.13,4.3252E-10
1.14,4.32779E-10
1.15,4.33463E-10
1.16,4.34169E-10
1.17,4.34021E-10
1.18,4.33442E-10
1.19,4.33493E-10
1.2,4.34349E-10
1.21,4.34237E-10
1.22,4.33056E-10
1.23,4.33062E-10
1.24,4.32812E-10
1.25,4.33135E-10
1.26,4.33956E-10
1.27,4.34885E-10
1.28,4.3324E-10
1.29,4.34263E-10
1.3,4.3447E-10
1.31,4.34651E-10
1.32,4.34032E-10
1.33,4.32709E-10
1.34,4.3272E-10
1.35,4.33651E-10
1.36,4.34269E-10
1.37,4.33252E-10
1.38,4.34387E-10
1.39,4.34641E-10
1.4,4.34888E-10
1.41,4.34116E-10
