Time,I1
61.50152,-4.412E-11
61.75064,-4.408E-11
62.0015,-4.417E-11
62.2522,-4.404E-11
62.50153,-4.408E-11
62.75064,-4.408E-11
63.00219,-4.412E-11
63.2522,-4.412E-11
63.50153,-4.4E-11
63.75068,-4.409E-11
64.00218,-4.387E-11
64.2522,-4.4E-11
64.50153,-4.387E-11
64.75068,-4.409E-11
65.00218,-4.393E-11
65.25242,-4.396E-11
65.50248,-4.387E-11
65.75229,-4.403E-11
66.00245,-4.386E-11
66.25242,-4.397E-11
66.50333,-4.391E-11
66.75229,-4.385E-11
67.00314,-4.375E-11
67.25321,-4.388E-11
67.50324,-4.371E-11
67.7536,-4.397E-11
68.00319,-4.38E-11
68.25323,-4.39E-11
68.50321,-4.381E-11
68.75365,-4.38E-11
69.00382,-4.372E-11
69.2546,-4.384E-11
69.50463,-4.366E-11
69.755,-4.381E-11
70.00519,-4.372E-11
70.25521,-4.374E-11
70.50461,-4.365E-11
70.75496,-4.379E-11
71.00516,-4.367E-11
71.25515,-4.36E-11
71.50599,-4.361E-11
71.75635,-4.374E-11
72.00651,-4.361E-11
72.25655,-4.372E-11
72.5059,-4.36E-11
72.75635,-4.365E-11
73.00647,-4.363E-11
73.25655,-4.357E-11
73.50726,-4.354E-11
73.75068,-4.358E-11
74.00214,-4.36E-11
74.25216,-4.35E-11
74.5022,-4.359E-11
74.75064,-4.354E-11
75.00214,-4.345E-11
75.25215,-4.341E-11
75.50215,-4.346E-11
75.75068,-4.352E-11
76.00212,-4.33E-11
76.25209,-4.351E-11
76.50215,-4.339E-11
76.75064,-4.339E-11
77.00212,-4.34E-11
77.25213,-4.35E-11
77.50214,-4.329E-11
77.75064,-4.325E-11
78.00211,-4.335E-11
78.25213,-4.331E-11
78.50213,-4.333E-11
78.75069,-4.324E-11
79.00211,-4.337E-11
79.25213,-4.322E-11
79.50243,-4.332E-11
79.75095,-4.321E-11
80.00239,-4.331E-11
80.2527,-4.32E-11
80.50241,-4.325E-11
80.75225,-4.326E-11
81.00247,-4.319E-11
81.25268,-4.316E-11
81.50384,-4.327E-11
81.7523,-4.321E-11
82.00244,-4.318E-11
82.25269,-4.301E-11
82.50378,-4.306E-11
82.75361,-4.299E-11
83.00377,-4.322E-11
83.25383,-4.31E-11
83.50382,-4.309E-11
83.75365,-4.31E-11
84.00377,-4.315E-11
84.25378,-4.307E-11
84.50513,-4.306E-11
84.755,-4.303E-11
85.00516,-4.313E-11
85.25517,-4.302E-11
85.50516,-4.312E-11
85.755,-4.294E-11
86.00516,-4.3E-11
86.25517,-4.296E-11
86.50652,-4.302E-11
86.75635,-4.292E-11
87.00647,-4.299E-11
87.25652,-4.286E-11
87.50651,-4.297E-11
87.75631,-4.294E-11
88.00645,-4.29E-11
88.25651,-4.281E-11
88.50782,-4.292E-11
88.75064,-4.283E-11
89.00215,-4.28E-11
89.25211,-4.281E-11
89.50215,-4.28E-11
89.75068,-4.269E-11
90.00209,-4.278E-11
90.25211,-4.278E-11
90.50215,-4.269E-11
90.75068,-4.273E-11
91.00209,-4.27E-11
91.25212,-4.271E-11
91.50214,-4.278E-11
91.75068,-4.284E-11
92.00211,-4.279E-11
92.2521,-4.262E-11
92.50211,-4.281E-11
92.75064,-4.276E-11
93.0021,-4.275E-11
93.25208,-4.272E-11
93.50211,-4.273E-11
93.75064,-4.267E-11
94.00212,-4.264E-11
94.25213,-4.266E-11
94.50215,-4.248E-11
94.7509,-4.257E-11
95.00212,-4.251E-11
95.25214,-4.261E-11
95.50269,-4.252E-11
95.75225,-4.264E-11
96.00237,-4.261E-11
96.25266,-4.269E-11
96.50265,-4.246E-11
96.75225,-4.256E-11
97.00237,-4.256E-11
97.25375,-4.261E-11
97.50376,-4.242E-11
97.75365,-4.248E-11
98.00377,-4.247E-11
98.25378,-4.242E-11
98.5038,-4.25E-11
98.75496,-4.254E-11
99.0051,-4.237E-11
99.25513,-4.26E-11
99.50511,-4.245E-11
99.755,-4.245E-11
100.00505,-4.242E-11
100.25508,-4.231E-11
100.50511,-4.248E-11
100.75635,-4.246E-11
101.00643,-4.224E-11
101.25646,-4.244E-11
101.50648,-4.234E-11
101.75635,-4.237E-11
102.00643,-4.238E-11
102.25776,-4.233E-11
102.50783,-4.232E-11
102.75068,-4.237E-11
103.00778,-4.228E-11
103.25209,-4.22E-11
103.50206,-4.234E-11
103.75068,-4.233E-11
104.00209,-4.244E-11
104.25204,-4.224E-11
104.50213,-4.211E-11
104.75068,-4.221E-11
105.00204,-4.223E-11
105.25209,-4.228E-11
105.50211,-4.206E-11
105.75068,-4.206E-11
106.00209,-4.218E-11
106.25206,-4.215E-11
106.50205,-4.244E-11
106.75068,-4.224E-11
107.00208,-4.226E-11
107.25206,-4.203E-11
107.50206,-4.221E-11
107.7523,-4.22E-11
108.00233,-4.217E-11
108.25257,-4.203E-11
108.50374,-4.215E-11
108.7536,-4.199E-11
109.00368,-4.222E-11
109.2537,-4.213E-11
109.5037,-4.203E-11
109.75361,-4.21E-11
110.00501,-4.225E-11
110.25505,-4.191E-11
110.50509,-4.215E-11
110.75496,-4.197E-11
111.00496,-4.201E-11
111.25502,-4.205E-11
111.5064,-4.219E-11
111.75635,-4.197E-11
112.00631,-4.206E-11
112.25637,-4.204E-11
112.50644,-4.205E-11
112.7577,-4.179E-11
113.00769,-4.215E-11
113.25772,-4.199E-11
113.50776,-4.208E-11
113.75064,-4.179E-11
114.002,-4.188E-11
114.25196,-4.2E-11
114.50205,-4.191E-11
114.75064,-4.189E-11
115.00195,-4.194E-11
115.25232,-4.173E-11
115.502,-4.192E-11
115.75068,-4.199E-11
116.00199,-4.183E-11
116.25204,-4.185E-11
116.50205,-4.183E-11
116.75068,-4.177E-11
117.00203,-4.168E-11
117.25231,-4.194E-11
117.50202,-4.178E-11
117.75226,-4.194E-11
118.00203,-4.172E-11
118.25227,-4.182E-11
118.50252,-4.18E-11
118.75365,-4.205E-11
119.00368,-4.17E-11
119.25367,-4.181E-11
119.50366,-4.184E-11
119.75496,-4.197E-11
120.005,-4.166E-11
120.25501,-4.187E-11
120.50499,-4.168E-11
120.755,-4.172E-11
121.00502,-4.174E-11
121.25639,-4.176E-11
121.50635,-4.156E-11
121.75694,-4.182E-11
122.00632,-4.166E-11
122.25662,-4.175E-11
122.50774,-4.166E-11
122.75064,-4.178E-11
123.00772,-4.169E-11
123.25769,-4.166E-11
123.50197,-4.161E-11
123.75064,-4.17E-11
124.002,-4.156E-11
124.25228,-4.178E-11
124.50197,-4.157E-11
124.75068,-4.147E-11
125.00199,-4.16E-11
125.25199,-4.165E-11
125.50231,-4.164E-11
125.75068,-4.154E-11
126.00204,-4.172E-11
126.252,-4.147E-11
126.50229,-4.16E-11
126.75229,-4.145E-11
127.00197,-4.157E-11
127.25252,-4.152E-11
127.50369,-4.16E-11
127.75365,-4.146E-11
128.00363,-4.153E-11
128.25365,-4.15E-11
128.50369,-4.147E-11
128.75501,-4.14E-11
129.00496,-4.158E-11
129.25495,-4.135E-11
129.50502,-4.147E-11
129.755,-4.147E-11
130.0063,-4.147E-11
130.25631,-4.13E-11
130.50632,-4.14E-11
130.75636,-4.137E-11
131.00765,-4.152E-11
131.25762,-4.137E-11
131.50773,-4.159E-11
131.75064,-4.13E-11
132.00764,-4.143E-11
132.25761,-4.151E-11
132.50203,-4.139E-11
132.75064,-4.135E-11
133.00196,-4.147E-11
133.25219,-4.12E-11
133.50201,-4.147E-11
133.75069,-4.152E-11
134.00209,-4.142E-11
134.25193,-4.133E-11
134.50203,-4.128E-11
134.75069,-4.131E-11
135.00209,-4.118E-11
135.25224,-4.14E-11
135.50199,-4.128E-11
135.75225,-4.147E-11
136.00203,-4.133E-11
136.25232,-4.128E-11
136.50364,-4.116E-11
136.75361,-4.138E-11
137.00365,-4.122E-11
137.25397,-4.144E-11
137.50361,-4.125E-11
137.755,-4.131E-11
138.00499,-4.12E-11
138.2553,-4.133E-11
138.50496,-4.115E-11
138.755,-4.115E-11
139.00637,-4.11E-11
139.25664,-4.134E-11
139.5063,-4.115E-11
139.75631,-4.118E-11
140.0064,-4.11E-11
140.25664,-4.12E-11
140.50667,-4.12E-11
140.75068,-4.12E-11
141.00775,-4.155E-11
141.25799,-4.114E-11
141.50802,-4.118E-11
141.75064,-4.122E-11
142.00206,-4.11E-11
142.25225,-4.11E-11
142.5023,-4.099E-11
142.75065,-4.11E-11
143.00205,-4.113E-11
143.25224,-4.123E-11
143.50231,-4.108E-11
143.75069,-4.102E-11
144.00204,-4.119E-11
144.25224,-4.082E-11
144.5023,-4.112E-11
144.75095,-4.11E-11
145.00202,-4.109E-11
145.25216,-4.1E-11
145.50222,-4.108E-11
145.7523,-4.107E-11
146.00231,-4.102E-11
146.25391,-4.089E-11
146.50389,-4.111E-11
146.75365,-4.093E-11
147.00362,-4.103E-11
147.25384,-4.102E-11
147.50394,-4.098E-11
147.755,-4.091E-11
148.00493,-4.103E-11
148.25518,-4.091E-11
148.50524,-4.106E-11
148.755,-4.093E-11
149.00632,-4.106E-11
149.25653,-4.08E-11
149.50663,-4.154E-11
149.75631,-4.08E-11
150.00631,-4.082E-11
150.25653,-4.096E-11
150.50797,-4.095E-11
150.75068,-4.074E-11
151.00761,-4.1E-11
151.25786,-4.09E-11
151.50797,-4.081E-11
151.75068,-4.079E-11
152.00194,-4.103E-11
152.25217,-4.079E-11
152.50222,-4.096E-11
152.75069,-4.096E-11
