Setup title,"I/V-t Sampling_-3V_1000S__Dark"
315.00069,-1.1E-13
316.00231,7.7E-13
317.0023,-3E-14
318.00366,-6.2E-13
319.00365,4E-13
320.00496,3.3E-13
321.00636,1.7E-13
322.00636,-2.9E-13
323.00069,-1.7E-13
324.00064,-4.7E-13
325.00069,-2.5E-13
326.00064,-1.2E-13
327.00069,1E-14
328.00095,-4.3E-13
329.00226,-1.2E-13
330.00361,-1E-14
331.00365,-2E-14
332.005,-1.6E-13
333.00496,-4.9E-13
334.00636,-2.6E-13
335.00064,-9E-14
336.00069,2.2E-13
337.00064,-3.5E-13
338.00064,-4E-13
339.00069,-1.4E-13
340.0023,-2.2E-13
341.00361,-4.4E-13
342.00496,-3.7E-13
343.00636,-3.8E-13
344.00635,-1.3E-13
345.00069,-1.6E-13
346.00069,-1.7E-13
347.00065,-8E-14
348.0023,0
349.0023,-4E-13
350.00361,-2.6E-13
351.00496,-4.8E-13
352.00635,-3.3E-13
353.00064,-3E-13
354.00069,-2.7E-13
355.00069,-6.2E-13
356.00069,-3.5E-13
357.00231,-3.3E-13
358.00366,-1.8E-13
359.00501,-3.7E-13
360.00636,-5.8E-13
361.00771,-5.2E-13
362.0007,-5.9E-13
363.00069,-3E-13
364.00069,-1.7E-13
365.00231,-1.4E-13
366.00365,-2E-14
367.00496,1.1E-13
368.005,-2E-14
369.00635,-2.5E-13
370.00064,-1.3E-13
371.00069,-2.1E-13
372.00064,-2.8E-13
373.0023,-1.6E-13
374.00365,-3.1E-13
375.005,-1.33E-12
376.00636,3E-13
377.00064,-1.6E-13
378.00064,7E-14
379.00069,1.7E-13
380.00064,-3.3E-13
381.0023,-4.1E-13
382.00365,-3.9E-13
383.00496,2E-14
384.00636,4.4E-13
385.00064,-6E-14
386.00069,6.2E-13
387.00064,2.1E-13
388.0023,7.4E-13
389.00365,-2.4E-13
390.005,-4.3E-13
391.00631,-5.8E-13
392.00064,-5.3E-13
393.00064,-1.19E-12
394.00064,-2.3E-13
395.00091,-1.9E-13
396.0023,3.5E-13
397.00365,-4.7E-13
398.00501,8E-14
399.00636,3E-14
400.00064,-7.9E-13
401.00064,-2.3E-13
402.00069,2.3E-13
403.00231,-5.7E-13
404.00366,-8.8E-13
405.00501,-4.3E-13
406.00632,-2E-14
407.00068,-3.4E-13
408.00069,-1E-14
409.00064,3.2E-13
410.00095,-1.5E-13
411.00226,-7.9E-13
412.00365,-5E-13
413.00496,-1.03E-12
414.00635,-1.8E-12
415.00069,3E-14
416.00069,-1.8E-13
417.00069,7.2E-13
418.0023,-4E-13
419.00365,-3.5E-13
420.00501,-1.7E-13
421.00636,-4.3E-13
422.00771,-4E-13
423.0007,-2.6E-13
424.00064,-1.01E-12
425.00069,-5.1E-13
426.00226,1.5E-13
427.00361,-1.46E-12
428.00501,4E-14
429.00636,4.2E-13
430.00064,-6.7E-13
431.00064,-1.9E-13
432.00064,5.3E-13
433.00069,1.7E-13
434.0023,2.2E-13
435.00361,-4.4E-13
436.00496,4.4E-13
437.00635,-4.8E-13
438.00069,5E-14
439.00069,-9E-14
440.00068,-4.3E-13
441.00226,-1E-14
442.00501,-6E-14
443.00636,1.1E-13
444.00069,-2.3E-13
445.00064,-7E-14
446.00069,-4.4E-13
447.00231,-3.1E-13
448.00361,-5.1E-13
449.00501,-3.8E-13
450.00636,-8.7E-13
451.00069,-4.9E-13
452.00069,-3.9E-13
453.00069,-1.5E-13
454.00226,-5E-14
455.00365,-2E-13
456.00496,-4.7E-13
457.00631,-3.1E-13
458.00064,-2.2E-13
459.00064,-6.3E-13
460.00091,-3.6E-13
461.00365,-5.2E-13
462.00501,-4.7E-13
463.00636,-2E-13
464.00069,-1.11E-12
465.00069,-2.3E-13
466.00069,5.4E-13
467.00226,8E-14
468.00361,5E-14
469.005,7.5E-13
470.00636,-5.3E-13
471.00064,9.4E-13
472.00069,1E-14
473.00064,-5E-13
474.00226,-1E-13
475.00365,-5.5E-13
476.00496,-6.5E-13
477.00766,2.9E-13
478.00065,2.6E-13
479.00069,4E-14
480.00064,-5.7E-13
481.00226,7.2E-13
482.00496,-5.1E-13
483.00631,-5.6E-13
484.00069,1E-14
485.00064,-1.4E-13
486.00069,-1.6E-13
487.00226,-5.3E-13
488.00365,-1.8E-13
489.00636,-6.6E-13
490.00064,-2.8E-13
491.00069,6E-14
492.00069,1.3E-13
493.0023,-5.2E-13
494.00496,-4.3E-13
495.00631,-9.6E-13
496.00064,2.2E-13
497.00068,-2E-13
498.0023,-6E-14
499.00365,-5.5E-13
500.005,-2.4E-13
501.00635,3.3E-13
502.00069,-6.4E-13
503.00064,7.8E-13
504.00226,2.3E-13
505.00365,3.3E-13
506.00496,-6.4E-13
507.00636,7E-14
508.00064,3.8E-13
509.00069,-6.7E-13
510.00231,6.7E-13
511.00361,-7.7E-13
512.00496,-4.1E-13
513.00636,-4.7E-13
514.00069,-1E-12
515.00069,1.4E-13
516.00226,4.2E-13
517.00365,-3.7E-13
518.00496,-4.9E-13
519.00635,1E-13
520.00069,-1.26E-12
521.00069,-4.6E-13
522.0023,-3.8E-13
523.00361,-3.4E-13
524.00496,2.4E-13
525.00636,-5.3E-13
526.00064,-4.8E-13
527.00069,-4.7E-13
528.0023,-3.7E-13
529.00365,1.5E-13
530.00501,-2.5E-13
531.00771,3E-13
532.00066,4.4E-13
533.00064,-1E-13
534.00226,-1.5E-13
535.00361,-1.9E-13
536.00636,-3.5E-13
537.00068,-7.7E-13
538.00069,2E-14
539.00064,-1.4E-13
540.00361,2.5E-13
541.00496,-1.8E-13
542.00631,-3.1E-13
543.00068,7E-14
544.00069,-3.7E-13
545.0023,-1.28E-12
546.00365,-5.1E-13
547.005,2.1E-13
548.00636,9E-14
549.00069,2.9E-13
550.00064,-1.1E-12
551.0023,-5.4E-13
552.00361,-3.3E-13
553.00501,-3E-14
554.00771,0
555.00066,2.6E-13
556.00069,-2.4E-13
557.00231,-2.3E-13
558.00361,3.7E-13
559.00631,-3.2E-13
560.00069,-4.3E-13
561.00064,-8E-14
562.00069,-5.4E-13
563.00365,1.6E-13
564.005,2.6E-13
565.00635,1.1E-13
566.00069,2.7E-13
567.00068,-1.02E-12
568.00069,3.2E-13
569.0023,1E-14
570.00496,-3.7E-13
571.00636,-3E-13
572.00064,-8.7E-13
573.00069,-1E-13
574.00064,5.1E-13
575.0023,-1.34E-12
576.00365,-1.7E-13
577.00632,-2E-14
578.00069,1.8E-13
579.00064,-8.7E-13
580.00069,1.5E-13
581.0023,-3.7E-13
582.00365,-3.4E-13
583.00631,-6.6E-13
584.00064,-4E-14
585.00069,-3.5E-13
586.00064,2E-14
587.0023,-8E-13
588.00365,-1.51E-12
589.00636,-3.1E-13
590.00069,-4.3E-13
591.00069,7E-14
592.00069,9E-14
593.00231,-4E-13
594.00361,2.5E-13
595.00497,1.3E-13
596.00636,6E-14
597.00068,-3.7E-13
598.00069,8.3E-13
599.00064,-4E-13
600.00231,1.7E-13
601.00366,-2.9E-13
602.00496,-5.7E-13
603.00782,-3.3E-13
604.0007,4.7E-13
605.00069,-3.1E-13
606.00091,-1.7E-13
607.0023,-3.5E-13
608.00501,2.2E-13
609.00636,1.7E-13
610.00069,-3.2E-13
611.00065,-6.5E-13
612.00069,-1.4E-13
613.00091,2.4E-13
614.00226,-5E-13
615.00366,-5.4E-13
616.00501,-7.3E-13
617.00632,-3.9E-13
618.00065,1.2E-13
619.00069,1.3E-13
620.00065,-1.68E-12
621.00226,-1.57E-12
622.00366,4E-14
623.00501,-2.8E-13
624.00636,-1.84E-12
625.00069,-5.3E-13
626.00065,-2.53E-12
627.00069,-1.6E-13
628.00069,-3.8E-13
629.0023,5.5E-13
630.00361,-4.3E-13
631.005,-5.8E-13
632.00631,5.1E-13
633.00631,2.2E-13
634.00069,-1.4E-13
635.00069,1.6E-13
636.00069,-6.6E-13
637.00095,-5.7E-13
638.00226,1.5E-13
639.00366,3.4E-13
640.00497,1.9E-13
641.00636,-5.1E-13
642.00065,-5.6E-13
643.00065,-5E-13
644.00064,1.4E-13
645.00069,-1E-13
646.0023,-1.45E-12
647.00361,-5E-14
648.00496,8E-14
649.00631,-5E-13
650.00069,1.5E-13
651.00069,-7.4E-13
652.00069,-7.5E-13
653.0023,-2.2E-13
654.00361,-2.7E-13
655.00501,-1.6E-13
656.00636,-2.23E-12
657.00065,-4.9E-13
658.00069,6.4E-13
659.00069,-4.6E-13
660.00231,-6.8E-13
661.00366,1.5E-13
662.00496,-2.5E-13
663.00632,-9.4E-13
664.00069,7.8E-13
665.00065,-3.2E-13
666.00069,7.5E-13
667.00226,-6.9E-13
668.00361,-3.07E-12
669.00636,-5.8E-13
670.00065,2.5E-13
671.00069,2.5E-13
672.00069,2.2E-13
673.00226,1.5E-13
674.00365,-7E-14
675.005,3.2E-13
676.00635,-8E-13
677.00069,-5.1E-13
678.00069,1E-13
679.00064,-3.3E-13
680.00231,-1.41E-12
681.00361,-7E-14
682.00632,-1.08E-12
683.00069,-3E-14
684.00065,-9E-14
685.00065,-8.7E-13
686.00231,-1E-13
687.00365,5.7E-13
688.005,1.8E-13
689.00635,-2.11E-12
690.00064,3.4E-13
691.00069,-2.6E-13
692.00069,-1.9E-13
693.00226,-4.5E-13
694.00365,-1.8E-13
695.00501,-3.7E-13
696.00631,-6.7E-13
697.00636,-4.4E-13
698.00065,1.5E-13
699.00069,0
700.00064,-3.1E-13
701.00231,-7.5E-13
702.00361,1E-14
703.00496,1.2E-13
704.00632,-6.7E-13
705.00069,-3E-14
706.00069,1.9E-13
707.00065,-1.93E-12
708.00069,1.7E-13
709.00226,-2.8E-13
710.0023,3E-14
711.00361,-8E-14
712.00501,-4.1E-13
713.00631,3.4E-13
714.00069,-2.6E-13
715.00065,-6.9E-13
716.00069,-4.1E-13
717.00065,1.1E-13
718.00091,-8E-13
719.0023,-2.8E-13
720.00366,-1.7E-13
721.00496,-1.2E-13
722.00501,-1.3E-13
723.00636,-1.8E-13
724.00069,2E-14
725.00069,-4.9E-13
726.00065,-5.1E-13
727.00064,-3.3E-13
728.00069,-4.3E-13
729.00065,-3.7E-13
730.00226,-3E-13
731.0023,0
732.00365,-1.4E-13
733.00366,-2.7E-13
734.00366,-5E-14
735.005,1.6E-13
736.00496,2.5E-13
737.00496,9E-14
738.00501,-1E-13
739.00496,-8E-14
740.00631,-1.3E-13
741.00636,0
742.00636,-1.4E-13
743.00632,-4.1E-13
744.00636,-2.8E-13
745.00636,-7.8E-13
746.00501,-3E-14
747.00501,1.9E-13
748.00501,-8E-13
749.00501,3E-14
750.00497,-3.4E-13
751.00501,-1.8E-13
752.005,2E-14
753.00501,-8E-13
754.00501,-1.6E-13
755.00365,2.4E-13
756.00361,-5.2E-13
757.00365,-1.88E-12
758.00361,-6.4E-13
759.00365,3.9E-13
760.00361,-1.8E-13
761.00365,-5E-14
762.0023,-4.2E-13
763.00227,-9.2E-13
764.00231,-1E-12
765.00226,-6.4E-13
766.00226,-5.1E-13
767.00231,-3E-14
768.00069,-4.7E-13
769.00065,-7E-14
770.00069,-1.16E-12
771.00069,-8.7E-13
772.00064,-5.5E-13
773.00069,-1.3E-12
774.00069,-6.4E-13
775.00069,-2.9E-13
776.00069,3.8E-13
777.00064,-5E-14
778.00069,-1.5E-13
779.00069,-1.42E-12
780.00064,2.5E-13
781.00069,-7E-14
782.00631,-1E-14
783.00656,-2.11E-12
784.00636,-1E-14
785.00632,-3.6E-13
786.00497,-1E-14
787.00501,-1.04E-12
788.00497,-6.8E-13
789.00501,3E-13
790.00366,1E-13
791.00366,-3.1E-13
792.00361,1.4E-13
793.00361,-3E-14
794.00231,-2.8E-13
795.00226,-1.8E-13
796.00095,-8E-14
797.00065,-2.5E-13
798.00069,-6.2E-13
799.00069,-7.7E-13
800.00064,8E-14
801.00069,-2.3E-13
802.00065,-8.2E-13
803.00771,-5E-14
804.00632,-9E-14
805.00636,3.3E-13
806.00501,6E-14
807.00497,2.7E-13
808.00366,-6E-13
809.00366,-6E-13
810.00226,-3.5E-13
811.00231,-5E-13
812.00064,1E-14
813.00069,-5.5E-13
814.00069,-1.6E-13
815.00065,-3.2E-13
816.00069,4.4E-13
817.00069,5E-14
818.00069,-3E-13
819.00069,-1.04E-12
820.00069,2.1E-13
821.00771,-4.4E-13
822.00636,-3.2E-13
823.00635,-3.3E-13
824.00635,-2.7E-13
825.00496,-6E-13
826.00496,1E-13
827.00501,-7.2E-13
828.00496,-5.2E-13
829.00361,-2.3E-13
830.00366,-5.8E-13
831.00366,4E-14
832.00361,-5.2E-13
833.00231,-1E-14
834.0023,-1.7E-13
835.00226,-2E-13
836.00095,-2.9E-13
837.00069,-1.3E-13
838.00065,-4.6E-13
839.00069,-1.08E-12
840.00065,5E-14
841.00065,1E-14
842.00065,-3.8E-13
843.00069,-5E-14
844.00065,-1E-13
845.00064,-6.6E-13
846.00065,-1.9E-13
847.00065,-2.6E-13
848.00065,-5.3E-13
849.00065,-4.1E-13
850.00065,-2.2E-13
851.00069,-2.2E-13
852.00771,-6E-14
853.00637,-4E-14
854.00636,-3E-13
855.00649,-1.9E-13
856.00636,-3.8E-13
857.00636,1.9E-13
858.00636,-1.6E-13
859.00636,-1E-14
860.00636,-8.5E-13
861.00651,-5.5E-13
862.00631,1.3E-13
863.00635,-1.88E-12
864.00631,2.8E-13
865.00635,2E-13
866.00651,-1.5E-13
867.00068,-1.9E-13
868.00069,-1.4E-13
869.00064,-4.1E-13
870.00069,-2.2E-13
871.00069,-4.4E-13
872.00064,-2.1E-13
873.00064,-3.1E-13
874.00069,7E-14
875.00064,2.7E-13
876.00069,-9.3E-13
877.0023,-2.1E-13
878.0023,-2.1E-13
879.00361,-1.3E-13
880.00361,-4.5E-13
881.005,-8E-14
882.00496,-7.6E-13
883.0065,-3.3E-13
884.00069,1.3E-13
885.00069,2E-14
886.00069,-2.7E-13
887.00069,-3E-13
888.00069,-2.1E-13
889.00231,-2.4E-13
890.00226,-6E-14
891.00361,-5.1E-13
892.00497,-3.3E-13
893.00501,-2.1E-13
894.00632,-1.7E-13
895.00069,-2.5E-13
896.00069,-1.8E-13
897.00065,-1.4E-13
898.00065,-1.7E-13
899.00069,-3.2E-13
900.00065,-4.6E-13
901.00231,-5.9E-13
902.0023,-2E-13
903.00365,-4.2E-13
904.00361,-2.2E-13
905.00496,-3E-13
906.00631,8E-14
907.00644,-2.1E-13
908.00069,-1E-14
909.00064,-1.5E-13
910.00069,-1.7E-13
911.00064,-1.8E-13
912.00091,-4.5E-13
913.00226,-3.3E-13
914.00365,-4.4E-13
915.00501,-9E-14
916.00496,5E-14
917.00636,-1.1E-13
918.00064,-2.9E-13
919.00069,-2E-13
920.00064,-2.9E-13
921.00065,5.9E-13
922.00231,-3.9E-13
923.00365,-5.7E-13
924.005,-3.8E-13
925.0065,-3.1E-13
926.00064,-1.6E-13
927.00068,-2.2E-13
928.00064,-4.9E-13
929.00068,-1.4E-13
930.00226,-3.1E-13
