Setup title,C-V_device2_100k_500k_1M_dark_post_IV
0.9,4.36192E-10
0.91,4.36407E-10
0.92,4.36328E-10
0.93,4.36412E-10
0.94,4.36462E-10
0.95,4.36241E-10
0.96,4.3659E-10
0.97,4.36116E-10
0.98,4.36381E-10
0.99,4.36335E-10
1,4.36488E-10
1.01,4.36471E-10
1.02,4.36179E-10
1.03,4.36497E-10
1.04,4.36527E-10
1.05,4.3628E-10
1.06,4.36673E-10
1.07,4.36307E-10
1.08,4.36548E-10
1.09,4.36262E-10
1.1,4.36345E-10
1.11,4.36537E-10
1.12,4.36395E-10
1.13,4.36516E-10
1.14,4.3635E-10
1.15,4.36523E-10
1.16,4.36396E-10
1.17,4.3613E-10
1.18,4.36518E-10
1.19,4.36277E-10
1.2,4.36575E-10
1.21,4.36529E-10
1.22,4.36214E-10
1.23,4.36591E-10
1.24,4.36246E-10
1.25,4.36465E-10
1.26,4.36488E-10
1.27,4.36591E-10
1.28,4.36657E-10
1.29,4.3637E-10
1.3,4.36631E-10
1.31,4.36408E-10
1.32,4.36506E-10
1.33,4.36507E-10
1.34,4.36474E-10
1.35,4.36629E-10
1.36,4.36307E-10
1.37,4.36505E-10
1.38,4.36727E-10
1.39,4.3639E-10
1.4,4.36644E-10
1.41,4.36298E-10
1.42,4.36502E-10
1.43,4.36563E-10
1.44,4.36523E-10
1.45,4.36751E-10
1.46,4.36588E-10
1.47,4.36644E-10
1.48,4.36774E-10
1.49,4.36293E-10
1.5,4.36779E-10
1.51,4.3638E-10
1.52,4.36682E-10
1.53,4.36503E-10
1.54,4.36499E-10
1.55,4.36658E-10
1.56,4.36339E-10
1.57,4.36572E-10
1.58,4.36462E-10
1.59,4.36352E-10
1.6,4.3665E-10
1.61,4.36501E-10
1.62,4.36463E-10
1.63,4.36761E-10
1.64,4.36415E-10
1.65,4.36513E-10
1.66,4.36466E-10
1.67,4.36724E-10
1.68,4.36764E-10
1.69,4.36308E-10
1.7,4.36694E-10
1.71,4.36344E-10
1.72,4.36528E-10
1.73,4.36726E-10
1.74,4.36542E-10
1.75,4.36714E-10
1.76,4.36254E-10
1.77,4.36779E-10
1.78,4.36678E-10
1.79,4.36568E-10
1.8,4.36829E-10
1.81,4.36477E-10
1.82,4.36678E-10
1.83,4.3665E-10
1.84,4.36551E-10
1.85,4.36633E-10
1.86,4.36416E-10
1.87,4.36693E-10
1.88,4.3659E-10
1.89,4.36705E-10
1.9,4.36887E-10
1.91,4.36475E-10
1.92,4.36858E-10
1.93,4.36599E-10
1.94,4.36594E-10
1.95,4.36765E-10
1.96,4.36566E-10
1.97,4.3663E-10
1.98,4.36525E-10
1.99,4.36731E-10
2,4.36693E-10
2.01,4.36449E-10
2.02,4.368E-10
2.03,4.36372E-10
2.04,4.36711E-10
2.05,4.36641E-10
2.06,4.36661E-10
2.07,4.36802E-10
2.08,4.36429E-10
2.09,4.36773E-10
2.1,4.36776E-10
2.11,4.36378E-10
2.12,4.36901E-10
2.13,4.36474E-10
2.14,4.36646E-10
2.15,4.3668E-10
2.16,4.36638E-10
2.17,4.36995E-10
2.18,4.36412E-10
2.19,4.36616E-10
2.2,4.36696E-10
2.21,4.36549E-10
2.22,4.36815E-10
2.23,4.3664E-10
2.24,4.36845E-10
2.25,4.36563E-10
2.26,4.36653E-10
2.27,4.36721E-10
2.28,4.36566E-10
2.29,4.36783E-10
2.3,4.36476E-10
2.31,4.36715E-10
2.32,4.36708E-10
2.33,4.36612E-10
2.34,4.36876E-10
2.35,4.36477E-10
2.36,4.36877E-10
2.37,4.36593E-10
2.38,4.36744E-10
2.39,4.36752E-10
2.4,4.36505E-10
2.41,4.36695E-10
2.42,4.36763E-10
2.43,4.3658E-10
2.44,4.36873E-10
2.45,4.36552E-10
2.46,4.37015E-10
2.47,4.36555E-10
2.48,4.36521E-10
2.49,4.37066E-10
2.5,4.3664E-10
2.5,4.37023E-10
2.49,4.36621E-10
2.48,4.3674E-10
2.47,4.3662E-10
2.46,4.36712E-10
2.45,4.36902E-10
2.44,4.36471E-10
2.43,4.36825E-10
2.42,4.36743E-10
2.41,4.36724E-10
2.4,4.36897E-10
2.39,4.3649E-10
2.38,4.36844E-10
2.37,4.36835E-10
2.36,4.36544E-10
2.35,4.36896E-10
2.34,4.36442E-10
2.33,4.36906E-10
2.32,4.36792E-10
2.31,4.36792E-10
2.3,4.36925E-10
2.29,4.36609E-10
2.28,4.36858E-10
2.27,4.36724E-10
2.26,4.36825E-10
2.25,4.36864E-10
2.24,4.368E-10
2.23,4.36727E-10
2.22,4.36777E-10
2.21,4.36809E-10
2.2,4.37036E-10
2.19,4.3671E-10
2.18,4.36912E-10
2.17,4.36667E-10
2.16,4.36818E-10
2.15,4.36798E-10
2.14,4.36652E-10
2.13,4.36757E-10
2.12,4.36663E-10
2.11,4.36878E-10
2.1,4.36767E-10
2.09,4.3688E-10
2.08,4.36736E-10
2.07,4.36629E-10
2.06,4.36816E-10
2.05,4.36544E-10
2.04,4.3665E-10
2.03,4.3687E-10
2.02,4.36602E-10
2.01,4.37001E-10
2,4.36793E-10
1.99,4.36504E-10
1.98,4.37097E-10
1.97,4.36564E-10
1.96,4.36949E-10
1.95,4.36698E-10
1.94,4.36693E-10
1.93,4.3687E-10
1.92,4.36829E-10
1.91,4.36899E-10
1.9,4.36728E-10
1.89,4.36738E-10
1.88,4.36753E-10
