Setup title,"C-V Sweep_19042023"
AutoAnalysis.Line1.Point2.Data.StartCondition,
AutoAnalysis.Line1.GradientExpr,0
AutoAnalysis.Line2.Enabled,false
AutoAnalysis.Line2.Type,1
AutoAnalysis.Line2.Fix,True
AutoAnalysis.Line2.YAxis,0
AutoAnalysis.Line2.Point1.Type,0
AutoAnalysis.Line2.Point1.XY.X,
AutoAnalysis.Line2.Point1.XY.Y,
AutoAnalysis.Line2.Point1.Data.Var,
AutoAnalysis.Line2.Point1.Data.Condition,
AutoAnalysis.Line2.Point1.Data.Start,false
AutoAnalysis.Line2.Point1.Data.StartVar,
AutoAnalysis.Line2.Point1.Data.StartCondition,
AutoAnalysis.Line2.Point2.Type,0
AutoAnalysis.Line2.Point2.XY.X,
AutoAnalysis.Line2.Point2.XY.Y,
AutoAnalysis.Line2.Point2.Data.Var,
AutoAnalysis.Line2.Point2.Data.Condition,
AutoAnalysis.Line2.Point2.Data.Start,false
AutoAnalysis.Line2.Point2.Data.StartVar,
AutoAnalysis.Line2.Point2.Data.StartCondition,
AutoAnalysis.Line2.GradientExpr,0
AutoAnalysis.Marker.Enabled,false
AutoAnalysis.Marker.Data.Var,
AutoAnalysis.Marker.Data.Condition,
AutoAnalysis.Marker.Data.Start,false
AutoAnalysis.Marker.Data.StartVar,
AutoAnalysis.Marker.Data.StartCondition,
VBias,C
-3,2.3704E-13
-2.99,2.41612E-13
-2.98,2.39915E-13
-2.97,2.33122E-13
-2.96,2.33453E-13
-2.95,2.39601E-13
-2.94,2.37081E-13
-2.93,2.51197E-13
-2.92,2.49767E-13
-2.91,2.31872E-13
-2.9,2.47742E-13
-2.89,2.40493E-13
-2.88,2.29072E-13
-2.87,2.42902E-13
-2.86,2.44569E-13
-2.85,2.27299E-13
-2.84,2.53802E-13
-2.83,2.34408E-13
-2.82,2.36669E-13
-2.81,2.42159E-13
-2.8,2.3232E-13
-2.79,2.44727E-13
-2.78,2.43958E-13
-2.77,2.49991E-13
-2.76,2.35491E-13
-2.75,2.44031E-13
-2.74,2.48597E-13
-2.73,2.37627E-13
-2.72,2.38725E-13
-2.71,2.43889E-13
-2.7,2.44402E-13
-2.69,2.28674E-13
-2.68,2.4733E-13
-2.67,2.48598E-13
-2.66,2.43386E-13
-2.65,2.4064E-13
-2.64,2.49198E-13
-2.63,2.57113E-13
-2.62,2.34277E-13
-2.61,2.4464E-13
-2.6,2.45186E-13
-2.59,2.37297E-13
-2.58,2.43478E-13
-2.57,2.35311E-13
-2.56,2.30664E-13
-2.55,2.45309E-13
-2.54,2.27272E-13
-2.53,2.47136E-13
-2.52,2.41298E-13
-2.51,2.4693E-13
-2.5,2.4701E-13
-2.49,2.31896E-13
-2.48,2.4459E-13
-2.47,2.45887E-13
-2.46,2.59676E-13
-2.45,2.37131E-13
-2.44,2.54212E-13
-2.43,2.46579E-13
-2.42,2.64351E-13
-2.41,2.40709E-13
-2.4,2.57467E-13
-2.39,2.44565E-13
-2.38,2.52462E-13
-2.37,2.45192E-13
-2.36,2.38861E-13
-2.35,2.50006E-13
-2.34,2.41161E-13
-2.33,2.49795E-13
-2.32,2.43302E-13
-2.31,2.48861E-13
-2.3,2.46183E-13
-2.29,2.3259E-13
-2.28,2.45726E-13
-2.27,2.43213E-13
-2.26,2.4875E-13
-2.25,2.40825E-13
-2.24,2.34044E-13
-2.23,2.31768E-13
-2.22,2.42062E-13
-2.21,2.53471E-13
-2.2,2.38984E-13
-2.19,2.55967E-13
-2.18,2.37292E-13
-2.17,2.45941E-13
-2.16,2.53824E-13
-2.15,2.44562E-13
-2.14,2.39087E-13
-2.13,2.54042E-13
-2.12,2.37179E-13
-2.11,2.43606E-13
-2.1,2.46593E-13
-2.09,2.43449E-13
-2.08,2.50023E-13
-2.07,2.41124E-13
-2.06,2.37413E-13
-2.05,2.41738E-13
-2.04,2.48451E-13
-2.03,2.33034E-13
-2.02,2.27822E-13
-2.01,2.41268E-13
-2,2.29698E-13
-1.99,2.43545E-13
-1.98,2.43948E-13
-1.97,2.6048E-13
-1.96,2.46095E-13
-1.95,2.41193E-13
-1.94,2.5354E-13
-1.93,2.39607E-13
-1.92,2.55027E-13
-1.91,2.34323E-13
-1.9,2.52169E-13
-1.89,2.41899E-13
-1.88,2.34956E-13
-1.87,2.48202E-13
-1.86,2.36867E-13
-1.85,2.46796E-13
-1.84,2.44116E-13
-1.83,2.59016E-13
-1.82,2.36144E-13
-1.81,2.4604E-13
-1.8,2.35391E-13
-1.79,2.39631E-13
-1.78,2.33126E-13
-1.77,2.45599E-13
-1.76,2.523E-13
-1.75,2.34866E-13
-1.74,2.34424E-13
-1.73,2.44768E-13
-1.72,2.2599E-13
-1.71,2.38625E-13
-1.7,2.5677E-13
-1.69,2.28352E-13
-1.68,2.44416E-13
-1.67,2.40005E-13
-1.66,2.43883E-13
-1.65,2.44992E-13
-1.64,2.47829E-13
-1.63,2.44083E-13
-1.62,2.36615E-13
-1.61,2.53724E-13
-1.6,2.33113E-13
-1.59,2.30702E-13
-1.58,2.47285E-13
-1.57,2.3706E-13
-1.56,2.48051E-13
-1.55,2.38833E-13
-1.54,2.45629E-13
-1.53,2.42575E-13
-1.52,2.43047E-13
-1.51,2.35936E-13
-1.5,2.42829E-13
-1.49,2.37589E-13
-1.48,2.42529E-13
-1.47,2.35618E-13
-1.46,2.48144E-13
-1.45,2.53553E-13
-1.44,2.43481E-13
-1.43,2.39633E-13
-1.42,2.39138E-13
-1.41,2.53721E-13
-1.4,2.26025E-13
-1.39,2.39052E-13
-1.38,2.25121E-13
-1.37,2.29616E-13
-1.36,2.44635E-13
-1.35,2.4235E-13
-1.34,2.32564E-13
-1.33,2.37315E-13
-1.32,2.44174E-13
-1.31,2.41135E-13
-1.3,2.35077E-13
-1.29,2.38958E-13
-1.28,2.38745E-13
-1.27,2.49578E-13
-1.26,2.47176E-13
-1.25,2.42216E-13
-1.24,2.5387E-13
-1.23,2.41143E-13
-1.22,2.38204E-13
-1.21,2.47364E-13
-1.2,2.29781E-13
-1.19,2.36896E-13
-1.18,2.4092E-13
-1.17,2.37027E-13
-1.16,2.48293E-13
-1.15,2.38914E-13
-1.14,2.4623E-13
-1.13,2.40744E-13
-1.12,2.35769E-13
-1.11,2.45206E-13
-1.1,2.43649E-13
-1.09,2.44522E-13
-1.08,2.43605E-13
-1.07,2.51457E-13
-1.06,2.36887E-13
-1.05,2.47495E-13
-1.04,2.45129E-13
-1.03,2.33609E-13
-1.02,2.40518E-13
-1.01,2.45105E-13
-1,2.49865E-13
-0.99,2.4593E-13
-0.98,2.33372E-13
-0.97,2.49686E-13
-0.96,2.26448E-13
-0.95,2.39531E-13
-0.94,2.43234E-13
-0.93,2.40053E-13
-0.92,2.43036E-13
-0.91,2.34015E-13
-0.9,2.42186E-13
-0.89,2.23518E-13
-0.88,2.43574E-13
-0.87,2.38288E-13
-0.86,2.45382E-13
-0.85,2.41438E-13
-0.84,2.38154E-13
-0.83,2.43952E-13
-0.82,2.46564E-13
-0.81,2.45204E-13
-0.8,2.42473E-13
-0.79,2.36984E-13
-0.78,2.33862E-13
-0.77,2.37965E-13
-0.76,2.35221E-13
-0.75,2.39737E-13
-0.74,2.30298E-13
-0.73,2.25263E-13
-0.72,2.35568E-13
-0.71,2.43186E-13
-0.7,2.45022E-13
-0.69,2.36194E-13
-0.68,2.44642E-13
-0.67,2.50498E-13
-0.66,2.34605E-13
-0.65,2.51762E-13
-0.64,2.4089E-13
-0.63,2.42316E-13
-0.62,2.47805E-13
-0.61,2.43438E-13
-0.6,2.50068E-13
-0.59,2.43453E-13
-0.58,2.39444E-13
-0.57,2.37007E-13
-0.56,2.3682E-13
-0.55,2.40281E-13
-0.54,2.37078E-13
-0.53,2.41431E-13
-0.52,2.51427E-13
-0.51,2.34119E-13
-0.5,2.50031E-13
-0.49,2.27043E-13
-0.48,2.53329E-13
-0.47,2.47893E-13
-0.46,2.54666E-13
-0.45,2.49832E-13
-0.44,2.36444E-13
-0.43,2.4222E-13
-0.42,2.41351E-13
-0.41,2.39706E-13
-0.4,2.49272E-13
-0.39,2.5065E-13
-0.38,2.46267E-13
-0.37,2.45322E-13
-0.36,2.46969E-13
-0.35,2.29403E-13
-0.34,2.41398E-13
-0.33,2.41274E-13
-0.32,2.50743E-13
-0.31,2.41978E-13
-0.3,2.4052E-13
-0.29,2.32082E-13
-0.28,2.42558E-13
-0.27,2.35332E-13
-0.26,2.43165E-13
-0.25,2.47191E-13
-0.24,2.37011E-13
-0.23,2.39321E-13
-0.22,2.42673E-13
-0.21,2.56147E-13
-0.2,2.46099E-13
-0.19,2.42103E-13
-0.18,2.58227E-13
-0.17,2.47806E-13
-0.16,2.35272E-13
-0.15,2.42192E-13
-0.14,2.42508E-13
-0.13,2.43273E-13
-0.12,2.32067E-13
-0.11,2.37372E-13
-0.1,2.34952E-13
-0.09,2.42407E-13
-0.08,2.50004E-13
-0.07,2.42802E-13
-0.06,2.35114E-13
-0.05,2.54291E-13
-0.04,2.37392E-13
-0.03,2.42299E-13
-0.02,2.39401E-13
-0.01,2.44104E-13
0,2.35246E-13
0.01,2.34658E-13
0.02,2.42223E-13
0.03,2.38737E-13
0.04,2.50106E-13
0.05,2.38658E-13
0.06,2.33158E-13
0.07,2.45708E-13
0.08,2.34517E-13
0.09,2.37056E-13
0.1,2.57885E-13
0.11,2.26473E-13
0.12,2.45758E-13
0.13,2.34577E-13
0.14,2.43467E-13
0.15,2.50929E-13
0.16,2.42005E-13
0.17,2.4319E-13
0.18,2.27347E-13
0.19,2.49106E-13
0.2,2.32821E-13
0.21,2.5337E-13
0.22,2.43856E-13
0.23,2.47958E-13
0.24,2.46975E-13
0.25,2.44532E-13
0.26,2.39708E-13
0.27,2.49771E-13
0.28,2.44395E-13
0.29,2.44114E-13
0.3,2.36041E-13
0.31,2.43611E-13
0.32,2.34697E-13
0.33,2.47559E-13
0.34,2.44698E-13
0.35,2.4063E-13
0.36,2.36434E-13
0.37,2.38441E-13
0.38,2.5202E-13
0.39,2.29789E-13
0.4,2.29002E-13
0.41,2.495E-13
0.42,2.33056E-13
0.43,2.3817E-13
0.44,2.35676E-13
0.45,2.47986E-13
0.46,2.43529E-13
0.47,2.33866E-13
0.48,2.42412E-13
0.49,2.38608E-13
0.5,2.43764E-13
0.51,2.42144E-13
0.52,2.41179E-13
0.53,2.31795E-13
0.54,2.39571E-13
0.55,2.31167E-13
0.56,2.53191E-13
0.57,2.38167E-13
0.58,2.45023E-13
0.59,2.41998E-13
0.6,2.30032E-13
0.61,2.18788E-13
0.62,2.37283E-13
0.63,2.46824E-13
0.64,2.4732E-13
0.65,2.36692E-13
0.66,2.38103E-13
0.67,2.26945E-13
0.68,2.44199E-13
0.69,2.34344E-13
0.7,2.2853E-13
0.71,2.37861E-13
0.72,2.42329E-13
0.73,2.39974E-13
0.74,2.32895E-13
0.75,2.4962E-13
0.76,2.4379E-13
0.77,2.46314E-13
0.78,2.40585E-13
0.79,2.51885E-13
0.8,2.43499E-13
0.81,2.42234E-13
0.82,2.40881E-13
0.83,2.40895E-13
0.84,2.40889E-13
0.85,2.353E-13
0.86,2.27157E-13
0.87,2.40575E-13
0.88,2.52829E-13
0.89,2.34894E-13
0.9,2.41359E-13
0.91,2.44484E-13
0.92,2.3237E-13
0.93,2.52916E-13
0.94,2.36931E-13
0.95,2.48539E-13
0.96,2.52633E-13
0.97,2.43334E-13
0.98,2.41746E-13
0.99,2.4162E-13
1,2.3542E-13
1.01,2.44343E-13
1.02,2.37536E-13
1.03,2.42761E-13
1.04,2.45541E-13
1.05,2.42878E-13
1.06,2.43411E-13
1.07,2.32634E-13
1.08,2.4357E-13
1.09,2.45033E-13
1.1,2.54074E-13
1.11,2.31013E-13
1.12,2.48371E-13
1.13,2.21066E-13
1.14,2.35967E-13
1.15,2.40945E-13
1.16,2.32156E-13
1.17,2.48714E-13
1.18,2.40157E-13
1.19,2.38946E-13
1.2,2.41682E-13
1.21,2.45942E-13
1.22,2.44154E-13
1.23,2.41239E-13
1.24,2.47013E-13
1.25,2.45838E-13
1.26,2.41434E-13
1.27,2.31047E-13
1.28,2.42122E-13
1.29,2.38701E-13
1.3,2.37811E-13
1.31,2.42122E-13
1.32,2.46889E-13
1.33,2.43879E-13
1.34,2.37379E-13
1.35,2.35903E-13
1.36,2.45698E-13
1.37,2.44582E-13
1.38,2.33147E-13
1.39,2.28432E-13
1.4,2.56131E-13
1.41,2.30882E-13
1.42,2.38763E-13
1.43,2.36318E-13
1.44,2.40968E-13
1.45,2.58504E-13
1.46,2.43208E-13
1.47,2.42447E-13
1.48,2.4257E-13
1.49,2.40851E-13
1.5,2.36837E-13
1.51,2.37882E-13
1.52,2.3111E-13
1.53,2.43013E-13
1.54,2.43223E-13
1.55,2.45557E-13
1.56,2.39289E-13
1.57,2.48117E-13
1.58,2.38807E-13
1.59,2.32925E-13
1.6,2.40246E-13
1.61,2.3857E-13
1.62,2.33652E-13
1.63,2.38506E-13
1.64,2.43708E-13
1.65,2.33611E-13
1.66,2.32081E-13
1.67,2.50213E-13
1.68,2.34625E-13
1.69,2.33155E-13
1.7,2.45722E-13
1.71,2.39043E-13
1.72,2.40165E-13
1.73,2.38811E-13
1.74,2.42756E-13
1.75,2.45734E-13
1.76,2.42821E-13
1.77,2.36157E-13
1.78,2.26261E-13
1.79,2.38584E-13
1.8,2.49998E-13
1.81,2.39604E-13
1.82,2.43534E-13
1.83,2.27752E-13
1.84,2.4413E-13
1.85,2.43223E-13
1.86,2.38346E-13
1.87,2.44054E-13
1.88,2.47145E-13
1.89,2.4097E-13
1.9,2.5099E-13
1.91,2.38305E-13
1.92,2.50039E-13
1.93,2.35845E-13
1.94,2.32579E-13
1.95,2.35974E-13
1.96,2.38067E-13
1.97,2.44301E-13
1.98,2.332E-13
1.99,2.50382E-13
2,2.41976E-13
2.01,2.22803E-13
2.02,2.51122E-13
2.03,2.45245E-13
2.04,2.41414E-13
2.05,2.41894E-13
2.06,2.30573E-13
2.07,2.54462E-13
2.08,2.36147E-13
2.09,2.37804E-13
2.1,2.43826E-13
2.11,2.40729E-13
2.12,2.29031E-13
2.13,2.41409E-13
2.14,2.43678E-13
2.15,2.52782E-13
2.16,2.45662E-13
2.17,2.5102E-13
2.18,2.29425E-13
2.19,2.49585E-13
2.2,2.48495E-13
2.21,2.45941E-13
2.22,2.44484E-13
2.23,2.525E-13
2.24,2.40064E-13
2.25,2.45439E-13
2.26,2.33416E-13
2.27,2.45831E-13
2.28,2.30948E-13
2.29,2.58666E-13
2.3,2.30252E-13
2.31,2.53528E-13
2.32,2.43262E-13
2.33,2.29825E-13
2.34,2.43887E-13
2.35,2.4632E-13
2.36,2.3786E-13
2.37,2.39397E-13
2.38,2.40988E-13
2.39,2.34861E-13
2.4,2.41733E-13
2.41,2.54599E-13
2.42,2.5381E-13
2.43,2.33524E-13
2.44,2.4447E-13
2.45,2.48447E-13
2.46,2.28804E-13
2.47,2.50621E-13
2.48,2.47282E-13
2.49,2.44792E-13
2.5,2.34832E-13
2.51,2.50249E-13
2.52,2.36302E-13
2.53,2.41711E-13
2.54,2.4733E-13
2.55,2.38314E-13
2.56,2.36165E-13
2.57,2.33889E-13
2.58,2.4518E-13
2.59,2.4718E-13
2.6,2.36612E-13
2.61,2.49183E-13
2.62,2.42306E-13
2.63,2.48249E-13
2.64,2.39478E-13
2.65,2.35071E-13
2.66,2.43133E-13
2.67,2.51581E-13
2.68,2.44923E-13
2.69,2.43573E-13
2.7,2.47393E-13
2.71,2.44327E-13
2.72,2.45626E-13
2.73,2.55416E-13
2.74,2.3453E-13
2.75,2.49241E-13
2.76,2.38247E-13
2.77,2.36488E-13
2.78,2.36977E-13
2.79,2.466E-13
2.8,2.46416E-13
2.81,2.3588E-13
2.82,2.5306E-13
2.83,2.51414E-13
2.84,2.41563E-13
2.85,2.40076E-13
2.86,2.41745E-13
2.87,2.32159E-13
2.88,2.46895E-13
2.89,2.39259E-13
2.9,2.38684E-13
2.91,2.44506E-13
2.92,2.42131E-13
2.93,2.27673E-13
2.94,2.51669E-13
2.95,2.40252E-13
2.96,2.48674E-13
2.97,2.57245E-13
2.98,2.46843E-13
2.99,2.4565E-13
3,2.34386E-13
